企業名,法人番号,採用担当者名,担当者根拠,部署,メール,電話番号,採用予定人数,マイナビ掲載,取得元媒体,根拠URL
イチカワ株式会社,1010001000708,,マイナビ掲載確認(担当者名は非公開),,,03-3816-1126,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp2703/outline.html
商船三井ロジスティクス株式会社,1010001012546,,マイナビ掲載確認(担当者名は非公開),人事総務部,,03-6731-7500,11,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp69113/outline.html
ＮＴＴ都市開発株式会社,1010001012372,,マイナビ掲載確認(担当者名は非公開),,,03-6811-6300,21,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp75507/outline.html
株式会社大塚商会,1010001012983,,マイナビ掲載確認(担当者名は非公開),,,03-6361-2120,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp547/outline.html
日本高周波鋼業株式会社,1010001016852,,マイナビ掲載確認(担当者名は非公開),,,03-5687-6023,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp54672/outline.html
株式会社ニッスイ,1010001016860,,マイナビ掲載確認(担当者名は非公開),,,03-6206-7000,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp392/outline.html
株式会社ミクニ,1010001008791,,マイナビ掲載確認(担当者名は非公開),,,03-3833-0392,6,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp66896/outline.html
株式会社ザイエンス,1010001017941,,マイナビ掲載確認(担当者名は非公開),,saiyou@xyence.co.jp,03-3284-0501,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp244812/outline.html
ミズホ株式会社,1010001007612,,マイナビ掲載確認(担当者名は非公開),,,03-3815-3191,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp227148/outline.html
ソリッドコミュニケーション株式会社,1010001021349,,マイナビ掲載確認(担当者名は非公開),,recruit@solidcom.co.jp,03-5212-5235,21,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp205218/outline.html
株式会社中央経済社ホールディングス,1010001022710,,マイナビ掲載確認(担当者名は非公開),,recruit@chuokeizai.co,03-3293-3371,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp287832/outline.html
株式会社ティ・オー・エス,1010001023378,相良,マイナビ掲載確認(担当者名は非公開) / メール推定(sagara→相良),総務部,Tsagara@tos-kk.co.jp,03-5295-0431,6,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp258590/outline.html
東光電気工事株式会社,1010001024087,,マイナビ掲載確認(担当者名は非公開),,,03-3292-2111,46,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp1493/outline.html
株式会社内藤一水社,1010001025135,,マイナビ掲載確認(担当者名は非公開),,,03-3265-9111,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp52040/outline.html
イー・アンド・エム株式会社,1010001010847,,マイナビ掲載確認(担当者名は非公開),,,03-3230-1301,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp94494/outline.html
ＮＸ商事株式会社,1010001025515,,マイナビ掲載確認(担当者名は非公開),,,0120-372-242,51,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp258256/outline.html
日信防災株式会社,1010001025449,,マイナビ掲載確認(担当者名は非公開),総務部,,03-3862-4172,6,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp261909/outline.html
株式会社野澤組,1010001026166,,マイナビ掲載確認(担当者名は非公開),,,03-3528-8101,1,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp85981/outline.html
株式会社共立メンテナンス,1010001014427,,マイナビ掲載確認(担当者名は非公開),,,03-5295-7793,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp98878/outline.html
株式会社読売アルスＡ,1010001031728,,マイナビ掲載確認(担当者名は非公開),,yarsa-recruit@yomiarsa.co.jp,03-5226-9900,1,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp103531/outline.html
株式会社ＪＰＦ,1010001033237,,マイナビ掲載確認(担当者名は非公開),総務部,jpf-saiyo@jpf.co.jp,03-3265-4851,6,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp207850/outline.html
ＣＨＥＭＩＰＡＺ株式会社,1010001033609,,マイナビ掲載確認(担当者名は非公開),管理本部,recruit@chemipaz.co.jp,03-6202-7331,1,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp100248/outline.html
株式会社内田洋行,1010001034730,,マイナビ掲載確認(担当者名は非公開),,,03-3555-4061,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp62325/outline.html
株式会社岡三証券グループ,1010001034747,,マイナビ掲載確認(担当者名は非公開),人事総務部,jinji1@sanen-sec.co.jp,052-561-1811,6,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp93586/outline.html
三菱ＵＦＪファクター株式会社,1010001022149,,マイナビ掲載確認(担当者名は非公開),,,03-3251-8399,16,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp89287/outline.html
株式会社資生堂,1010001034813,,マイナビ掲載確認(担当者名は非公開),,,03-6218-5804,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp51014/outline.html
ＤＭ三井製糖株式会社,1010001034929,,マイナビ掲載確認(担当者名は非公開),三井製糖人事部,Info.Recruit@msdm-hd.com,03-6453-6164,1,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp289949/outline.html
日清オイリオグループ株式会社,1010001034887,,マイナビ掲載確認(担当者名は非公開),,,03-3206-5032,11,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp1581/outline.html
株式会社松屋,1010001034945,,マイナビ掲載確認(担当者名は非公開),,,0422-38-1121,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp270271/outline.html
株式会社ジェイエイシーリクルートメント,1010001019483,,マイナビ掲載確認(担当者名は非公開),,,03-5259-9904,201,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp66198/outline.html
日本紙パルプ商事株式会社,1010001034978,,マイナビ掲載確認(担当者名は非公開),人事部,person@kamipa.co.jp,03-5548-4029,21,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp2124/outline.html
わかもと製薬株式会社,1010001035010,,マイナビ掲載確認(担当者名は非公開),,,03-3279-0373,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp57539/outline.html
日本パーカライジング株式会社,1010001034994,,マイナビ掲載確認(担当者名は非公開),,,03-3278-4318,2,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp249188/outline.html
東海東京フィナンシャル・ホールディングス株式会社,1010001034202,,マイナビ掲載確認(担当者名は非公開),,,03-3517-7676,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp68638/outline.html
株式会社教映社,1120001000341,高橋,マイナビ掲載確認(担当者名は非公開) / メール推定(takahashi→高橋),,takahashi@kyoeisha.com,06-6951-9652,6,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp242331/outline.html
シャープマーケティングジャパン株式会社,1040001008905,,マイナビ掲載確認(担当者名は非公開),総務部,smj-recruit@sharp.co.jp,06-6796-1535,101,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp235418/outline.html
平和不動産株式会社,1010001034920,,マイナビ掲載確認(担当者名は非公開),,heiwa.saiyou@heiwa-net.co.jp,03-3666-0182,1,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp37263/outline.html
ＳＡＮＥＩ株式会社,1120001012428,,マイナビ掲載確認(担当者名は非公開),,,06-6972-5921,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp95012/outline.html
ＦＣＭ株式会社,1120001011859,,マイナビ掲載確認(担当者名は非公開),人事総務課,fcm_recruiting@fc-m.co.jp,06-6975-1324,1,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp112032/outline.html
株式会社ぐるなび,1010001034565,,マイナビ掲載確認(担当者名は非公開),,,03-6744-6463,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp68073/outline.html
永大化工株式会社,1120001019704,,マイナビ掲載確認(担当者名は非公開),,,06-6791-3355,6,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp215054/outline.html
アイコム株式会社,1120001019349,,マイナビ掲載確認(担当者名は非公開),,,06-6777-1317,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp52258/outline.html
ホシザキ京阪株式会社,1120001025289,,マイナビ掲載確認(担当者名は非公開),,,06-6762-5351,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp40189/outline.html
大日本塗料株式会社,1120001026551,,マイナビ掲載確認(担当者名は非公開),,,06-6266-3105,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp2059/outline.html
大阪製鐵株式会社,1120001028390,,マイナビ掲載確認(担当者名は非公開),大阪製鐵株式会社総務部,saiyou@osaka-seitetu.co.jp,06-6204-0161,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp100201/outline.html
株式会社クボタ,1120001037978,井上,マイナビ掲載確認(担当者名は非公開) / メール推定(inoue→井上),本社総務部,yoshimi.inoue@kubota.com,06-6648-3281,6,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp215086/outline.html
日本インシュレーション株式会社,1120001040610,,マイナビ掲載確認(担当者名は非公開),,,06-6210-1253,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp57225/outline.html
因幡電機産業株式会社,1120001041352,,マイナビ掲載確認(担当者名は非公開),,,0120-728-178,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp54762/outline.html
サンキン株式会社,1120001043596,,マイナビ掲載確認(担当者名は非公開),,,06-6539-3201,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp223707/outline.html
サムテック株式会社,1120001043522,,マイナビ掲載確認(担当者名は非公開),本社管理部,h_r@samtech.co.jp,072-977-8851,1,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp263715/outline.html
株式会社浜正,1120001046590,,マイナビ掲載確認(担当者名は非公開),,,06-6531-1383,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp74419/outline.html
中外商工株式会社,1120001045403,,マイナビ掲載確認(担当者名は非公開),,,06-6443-7747,1,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp283432/outline.html
株式会社マコト電気,1120001047424,,マイナビ掲載確認(担当者名は非公開),,,06-7175-7950,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp272969/outline.html
株式会社栗本鐵工所,1120001048991,,マイナビ掲載確認(担当者名は非公開),,,06-6538-7602,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp437/outline.html
株式会社山善,1120001049040,,マイナビ掲載確認(担当者名は非公開),,,046-288-1345,1,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp202379/outline.html
株式会社サガミホールディングス,1180001000443,,マイナビ掲載確認(担当者名は非公開),グループ管理部,sagamisaiyou@sagami.co.jp,0120-197-655,51,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp234179/outline.html
株式会社つむら工芸,1120001045502,,マイナビ掲載確認(担当者名は非公開),,,06-6448-2761,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp258443/outline.html
中部資材株式会社,1180001006837,,マイナビ掲載確認(担当者名は非公開),人事部,recruit@chubushizai.co.jp,052-661-7232,16,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp104582/outline.html
レンゴー株式会社,1120001036880,,マイナビ掲載確認(担当者名は非公開),レンゴー株式会社人事本部,tjinji@rengo.co.jp,0120-303-621,46,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp39309/outline.html
明星工業株式会社,1120001049032,,マイナビ掲載確認(担当者名は非公開),人事課,,06-6447-0271,11,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp10005/outline.html
日邦産業株式会社,1120901007832,,マイナビ掲載確認(担当者名は非公開),,,052-218-3161,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp89772/outline.html
朝日金属株式会社,1180001011481,,マイナビ掲載確認(担当者名は非公開),,,052-901-2111,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp82206/outline.html
大同メタル工業株式会社,1180001012595,,マイナビ掲載確認(担当者名は非公開),人事企画センター,jinji@daidometal.com,0568-61-2539,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp1034/outline.html
株式会社ニットー,1180001013107,,マイナビ掲載確認(担当者名は非公開),,,026-245-0637,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp80781/outline.html
株式会社チップトン,1180001014914,,マイナビ掲載確認(担当者名は非公開),人事課,soumu@tipton.co.jp,052-691-5177,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp89297/outline.html
愛知株式会社,1180001015879,,マイナビ掲載確認(担当者名は非公開),採用コールセンター,recruit@alsok.co.jp,0120-034-314,11,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp106885/outline.html
株式会社スズケン,1180001017009,,マイナビ掲載確認(担当者名は非公開),管理課,soumu@suzukenokinawa.co.jp,098-835-6363,1,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp232586/outline.html
敷島製パン株式会社,1180001016877,,マイナビ掲載確認(担当者名は非公開),,,052-933-2117,11,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp332/outline.html
カネ美食品株式会社,1180001023411,,マイナビ掲載確認(担当者名は非公開),,,052-879-6126,51,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp2064/outline.html
クロスプラス株式会社,1180001025507,,マイナビ掲載確認(担当者名は非公開),,,03-3669-6767,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp104444/outline.html
名工建設株式会社,1180001027354,,マイナビ掲載確認(担当者名は非公開),,,052-589-1501,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp58051/outline.html
株式会社アオキスーパー,1180001029202,,マイナビ掲載確認(担当者名は非公開),人事部,,052-414-3601,26,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp104837/outline.html
株式会社ＥＶＥＲＹＦＯＯＤ,1180001001037,,マイナビ掲載確認(担当者名は非公開),,,052-251-1134,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp235709/outline.html
東海ソフト株式会社,1180001031538,,マイナビ掲載確認(担当者名は非公開),経営管理本部,recruit_newgraduate@tokai-soft.co.jp,052-307-7939,36,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp52336/outline.html
メイラ株式会社,1180001031884,,マイナビ掲載確認(担当者名は非公開),,,052-459-1271,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp201383/outline.html
ＭＨＩエアロテクノロジーズ株式会社,1180001031934,,マイナビ掲載確認(担当者名は非公開),,MHIAT-saiyou@mhi.com,0120-133-193,51,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp212270/outline.html
教育産業株式会社,1180001035456,,マイナビ掲載確認(担当者名は非公開),,,052-971-3011,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp216000/outline.html
興和株式会社,1180001035811,,マイナビ掲載確認(担当者名は非公開),,,052-963-3159,51,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp866/outline.html
株式会社ＣＢＣクリエイション,1180001036669,,マイナビ掲載確認(担当者名は非公開),総務部,saiyo@cbc-creation.co.jp,052-241-5503,1,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp226511/outline.html
株式会社コアズ,1180001035761,,マイナビ掲載確認(担当者名は非公開),,,06-6105-1125,6,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp240283/outline.html
大同興業株式会社,1180001037502,,マイナビ掲載確認(担当者名は非公開),,dkk_saiyo@daidokogyo.co.jp,052-963-7600,11,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp71974/outline.html
株式会社新東通信,1180001036792,,マイナビ掲載確認(担当者名は非公開),,,03-3538-8011,11,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp76272/outline.html
オイレス工業株式会社,1010401006049,,マイナビ掲載確認(担当者名は非公開),,,0466-44-4828,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp2626/outline.html
川北電気工業株式会社,1180001035290,,マイナビ掲載確認(担当者名は非公開),,,052-251-7111,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp54605/outline.html
ラピスセミコンダクタ株式会社,1010101008452,,マイナビ掲載確認(担当者名は非公開),,,045-476-9212,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp259297/outline.html
株式会社アート,1010701014775,,マイナビ掲載確認(担当者名は非公開),,,089-961-1400,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp232089/outline.html
日本飛行機株式会社,1020001006613,,マイナビ掲載確認(担当者名は非公開),人事課,,045-773-5103,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp1101/outline.html
海洋電子工業株式会社,1020001006043,,マイナビ掲載確認(担当者名は非公開),,,045-771-1241,11,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp16912/outline.html
株式会社信友建設,1020001007520,,マイナビ掲載確認(担当者名は非公開),,,045-860-2615,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp103092/outline.html
株式会社アルファ,1020001005862,,マイナビ掲載確認(担当者名は非公開),,,03-6635-5140,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp99742/outline.html
株式会社シバックス,1020001008907,,マイナビ掲載確認(担当者名は非公開),,,045-934-7211,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp72809/outline.html
ジオマテック株式会社,1020001015003,,マイナビ掲載確認(担当者名は非公開),人事部,recruit@geomatec.co.jp,045-222-5725,1,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp38469/outline.html
横浜植木株式会社,1020001013956,,マイナビ掲載確認(担当者名は非公開),,,045-262-7417,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp286386/outline.html
株式会社ジャスト,1020001011844,,マイナビ掲載確認(担当者名は非公開),,,0586-85-8161,1,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp247660/outline.html
株式会社ＣＩＪ,1020001015606,,マイナビ掲載確認(担当者名は非公開),,,045-222-0555,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp65990/outline.html
株式会社浜銀総合研究所,1020001015795,,マイナビ掲載確認(担当者名は非公開),銀総合研究所企画総務部,saiyo@yokohama-ri.co.jp,045-225-2374,6,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp239677/outline.html
株式会社ＫＳＰ,1020001026487,,マイナビ掲載確認(担当者名は非公開),総務人事グループ,,045-650-3185,16,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp209149/outline.html
株式会社宇徳,1020001025489,,マイナビ掲載確認(担当者名は非公開),人事部,,045-201-6582,16,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp91465/outline.html
株式会社日商物産,1020001028194,,マイナビ掲載確認(担当者名は非公開),,,045-731-5611,5,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp108469/outline.html
ＡＬＳＯＫ神奈川株式会社,1020001030159,,マイナビ掲載確認(担当者名は非公開),採用コールセンター,recruit@alsok.co.jp,0120-034-314,16,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp106891/outline.html
横浜冷凍株式会社,1020001030638,,マイナビ掲載確認(担当者名は非公開),,,045-210-0011,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp74457/outline.html
株式会社ティー・アール・シー,1020001033203,,マイナビ掲載確認(担当者名は非公開),,,045-450-3391,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp200811/outline.html
トキコシステムソリューションズ株式会社,1020001033723,,マイナビ掲載確認(担当者名は非公開),,,050-3537-2868,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp106256/outline.html
インバースネット株式会社,1020001036619,,マイナビ掲載確認(担当者名は非公開),,,045-451-2411,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp217321/outline.html
株式会社横浜グランドインターコンチネンタルホテル,1020001016001,,マイナビ掲載確認(担当者名は非公開),人事部,saiyo@icyokohama.com,045-221-0701,21,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp74420/outline.html
イリソ電子工業株式会社,1020001053696,,マイナビ掲載確認(担当者名は非公開),人事課,jinji@iriso.co.jp,045-478-3111,16,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp13959/outline.html
株式会社福岡銀行,1290001004367,,マイナビ掲載確認(担当者名は非公開),株式会社福岡銀行人事部,,092-723-2601,201,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp200763/outline.html
株式会社ニシコー,1290001009498,,マイナビ掲載確認(担当者名は非公開),,,092-711-8811,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp203226/outline.html
株式会社インフォグラム,1290001011611,,マイナビ掲載確認(担当者名は非公開),,,092-452-2733,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp105432/outline.html
九州総合サービス株式会社,1290001012411,,マイナビ掲載確認(担当者名は非公開),,,092-441-1714,1,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp96374/outline.html
株式会社カンサイ,1290001012221,,マイナビ掲載確認(担当者名は非公開),,,092-481-9110,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp273487/outline.html
空研工業株式会社,1290001007221,,マイナビ掲載確認(担当者名は非公開),,,092-923-1161,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp249727/outline.html
ＪＲ九州商事株式会社,1290001019794,,マイナビ掲載確認(担当者名は非公開),,,092-402-5590,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp220452/outline.html
メディアファイブ株式会社,1290001018160,,マイナビ掲載確認(担当者名は非公開),,,092-762-0555,9,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp68591/outline.html
ホシザキ北九株式会社,1290001016577,,マイナビ掲載確認(担当者名は非公開),総務人事課,kitakyu-saiyou@hoshizaki.co.jp,092-471-7396,11,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp84324/outline.html
株式会社ジェイウェイブ,1290001020686,,マイナビ掲載確認(担当者名は非公開),,,092-433-7227,6,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp220633/outline.html
株式会社オービット,1290001020645,,マイナビ掲載確認(担当者名は非公開),,recruit@orbit9806.co.jp,06-6441-3060,6,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp80871/outline.html
イワタニ九州株式会社,1290001024695,,マイナビ掲載確認(担当者名は非公開),,,092-483-5850,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp233096/outline.html
池田煖房工業株式会社,1430001001267,,マイナビ掲載確認(担当者名は非公開),,,011-726-1151,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp21929/outline.html
株式会社じょうてつ,1430001007925,,マイナビ掲載確認(担当者名は非公開),うてつ経営戦略室総務グループ,recruit@jotetsu.co.jp,011-811-6141,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp96733/outline.html
株式会社アルテクス,1290001023417,,マイナビ掲載確認(担当者名は非公開),,,092-832-6522,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp243654/outline.html
株式会社なの花北海道,1430001005219,,マイナビ掲載確認(担当者名は非公開),,,011-612-1069,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp273490/outline.html
日本乾溜工業株式会社,1290001028382,,マイナビ掲載確認(担当者名は非公開),,,092-632-1050,6,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp50793/outline.html
株式会社通電技術,1430001010557,小倉,マイナビ掲載確認(担当者名は非公開) / メール推定(ogura→小倉),,ogura.a@tsuuden.co.jp,011-863-0921,1,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp243091/outline.html
株式会社モロオ,1430001017032,,マイナビ掲載確認(担当者名は非公開),,,011-618-2351,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp3908/outline.html
株式会社アークス,1430001018377,,マイナビ掲載確認(担当者名は非公開),,arcs-saiyo@arcs-g.co.jp,011-530-1210,1,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp107755/outline.html
日本ニューホランド株式会社,1430001021026,,マイナビ掲載確認(担当者名は非公開),管理本部,,011-221-2130,36,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp61967/outline.html
日本高圧コンクリート株式会社,1430001020829,,マイナビ掲載確認(担当者名は非公開),総務部,y.fukuhara@nihonkoatsu.co.jp,011-241-7105,6,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp52108/outline.html
株式会社ユニテック,1430001021645,,マイナビ掲載確認(担当者名は非公開),,,0463-96-1132,1,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp103002/outline.html
ＡＬＳＯＫ北海道株式会社,1430001021959,,マイナビ掲載確認(担当者名は非公開),,,011-747-2203,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp217709/outline.html
株式会社北海道日立,1430001022461,,マイナビ掲載確認(担当者名は非公開),,,011-722-1221,4,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp258259/outline.html
中道リース株式会社,1430001024094,,マイナビ掲載確認(担当者名は非公開),,recruit@nakamichi-leasing.co.jp,011-280-2171,6,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp58036/outline.html
ビットスター株式会社,1430001037773,,マイナビ掲載確認(担当者名は非公開),,recruit@bitstar.jp,011-241-0064,1,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp218921/outline.html
馬淵建設株式会社,1430001046675,,マイナビ掲載確認(担当者名は非公開),総務人事部,jinjika@mzec.co.jp,045-712-4842,16,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp84644/outline.html
