企業名,法人番号,業種,都道府県,従業員数,設立年,補助金,代表者名,公式URL
エア・ウォーター産業・医療ガス株式会社,2430001022196,,北海道札幌市中央区北三条西３丁目１番地６,361,1982,,粕谷智樹,https://img-awi.co.jp/
丸彦渡辺建設株式会社,2430001023599,建設業,北海道札幌市豊平区豊平六条６丁目５番８号,502,1948,,鵜飼勇人,https://www.maruhiko.co.jp/
ネクスト・ワン株式会社,1140001043264,各種高圧ガス卸販売,兵庫県加古川市加古川町粟津８０５番地の３,200,1951,,新藤英治,https://www.next-1.co.jp/
株式会社ＭＣエバテック,1140001048230,"【炭素材事業】
　活性炭・高機能活性炭の開発・製造、活性炭再生
【精密洗浄事業】
　半導体・ＰＤＦ・太陽電池製造装置等の",兵庫県尼崎市潮江１丁目２番６号,479,1979,,山口洋史,http://www.mcet.co.jp/
日本スピンドル製造株式会社,1140001050327,産業機械、集塵装置、空調・冷熱機器の設計開発・製造・販売,兵庫県尼崎市潮江４丁目２番３０号,380,1949,,近藤茂雄,http://www.spindle.co.jp/company/woman.html
日本電子材料株式会社,1140001050335,半導体検査部品の開発・製造・販売,兵庫県尼崎市西長洲町２丁目５番１３号,602,,,坂田輝久,https://www.jem-net.co.jp/images/recruit/2023_joseikouhyou.pdf
株式会社日興商会,1140001050558,"印刷・事務用品販売業
オフィス家具・OA機器の販売",兵庫県尼崎市東難波町５丁目１０番３０号,650,1948,,藤縄修平,https://nikko.bunguclub.co.jp/
日本山村硝子株式会社,1140001054947,,兵庫県尼崎市西向島町１５番１,750,,,山村昇,
永井産業株式会社,1140001060318,紙類・化成品の卸売及び加工、製本、不動産賃貸、農業、太陽光発電,兵庫県姫路市北条宮の町３８５番地,73,1947,,永井敬裕,
ハリマ共和物産株式会社,1140001060846,日用雑貨卸売業、受託物流業,兵庫県姫路市飾東町庄３１３番地,863,,,土屋匡輝,
株式会社システムリサーチ,1140001056258,ソフトウェア開発・機器販売,兵庫県豊岡市日高町国分寺１５８番地１,126,1985,,山田良作,https://www.sr-co.co.jp/about/wlb.html
株式会社ワンステップ,1140001062280,,兵庫県姫路市北条口２丁目６６番地,150,1990,,橋本昌彦,
ヤマトスチール株式会社,1140001063741,鉄鋼製品ならびに重工加工品の製造・販売,兵庫県姫路市大津区吉美３８０番地,412,2003,,山内靖彦,http://www.yamatokogyo.co.jp/steel/index.html
新明和ソフトテクノロジ株式会社,1140001069045,,兵庫県西宮市田近野町６番８４号,182,1986,,吉村眞由美,
株式会社ジオテクノ関西,1140001068971,,兵庫県西宮市池田町１２番２０号,79,1965,,相原修,
阪神園芸株式会社,1140001070003,"造園工事業
緑地管理業
運動場の整備・設計・施工
公園等の指定管理業務",兵庫県西宮市甲子園浦風町１６番２４号,263,1968,,植村弘,https://www.hanshinengei.co.jp/
株式会社ＮＥＯ　ＤＡＩＳＥＩ,1140001077898,,兵庫県神戸市中央区栄町通２丁目４番１４号,118,2012,,平井良治,
株式会社ハイレックスコーポレーション,1140001081875,"①コントロール・システムの製造並びに販売 
②コントロール・システムの製造設備の設計、製造並びに販売 
③自動車、船舶、",兵庫県宝塚市栄町１丁目１２番２８号,904,,,寺浦太郎,http://www.hi-lex.co.jp/
西菱電機株式会社,1140001078509,"・防災情報通信システムの販売、保守等
・携帯電話、パソコン等情報通信端末の販売、修理等",兵庫県伊丹市藤ノ木３丁目５番３３号,420,1966,,西井希伊,http://www.seiryodenki.co.jp/
ヤンマー舶用システム株式会社,1140001083756,舟艇、船舶用エンジン、船舶用部品・関連機器の卸小売、並びにメンテナンス整備、修理他,兵庫県伊丹市中央３丁目１番１７号,390,2002,,前垣内敏郎,https://www.yanmar.com/jp/about/company/yms/
トレスエンジニアリング株式会社,2100001015489,,兵庫県加東市大門２９４番地３,66,1983,,六車徹,
株式会社山本清掃,2130001011948,,京都府京都市伏見区横大路千両松町１９６番地の１,99,1992,,山本智也,
ＳＧシステム株式会社,2130001010677,"・情報システムに関する企画、設計、開発、保守、運用業務
・労働者派遣事業
・情報処理機器、事務用機械および工業用機械類の",京都府京都市南区上鳥羽角田町２５番地,3376,1983,,丸山信二,http://www.sg-systems.co.jp/
日本新薬株式会社,2130001012236,医薬品・機能食品の製造及び販売,京都府京都市南区吉祥院西ノ庄門口町１４番地,1827,,,中井亨,https://www.nippon-shinyaku.co.jp/sustainability/esg/social/diversity_inclusion.php#anchor01
株式会社白鳩,2130001014736,オンラインショッピングサイトの運営,京都府京都市伏見区竹田向代町５０５番地,152,,,菅原知樹,https://www.shirohato.co.jp
株式会社ジェイ・エス・ビー,2130001017499,,京都府京都市下京区因幡堂町６５５番地,245,1990,,森高広,
株式会社地域計画建築研究所,2130001018043,"建設コンサルタント
建築設計",京都府京都市下京区四条通柳馬場西入立売中之町９９番地,97,1967,,中塚一,
株式会社演算工房,2130001020098,ソフトウェア業・測量機器等の販売,京都府京都市上京区智恵光院通中立売下る山里町２３７番地３,129,2001,,林稔,
株式会社サンコンタクトレンズ,2130001020932,眼科用医療機器製造販売,京都府京都市下京区中堂寺庄ノ内町４６番１,132,1971,,笹川泰弘,http://www.sun-con.com
ニチコン株式会社,2130001022029,"アルミ電解コンデンサ、フィルムコンデンサ、
正特性サーミスタ“ポジアール?”、Ｖ２Ｈシステム、
家庭用蓄電システム、ＥＶ",京都府京都市中京区烏丸通御池上る二条殿町５５１番地,581,1950,,森克彦,http://www.nichicon.co.jp/
ワールドビジネスセンター株式会社,2130001012070,システム運用管理、システム開発、ネットワークシステムの保守、コンピュータ及び周辺機器・消耗品等の販売、パッケージソフトの,京都府京都市南区西九条東御幸田町２５番２,634,1966,,萩原秀樹,http://www.wbc.co.jp/
株式会社トーセ,2130001030304,"家庭用ゲームソフトの企画・開発・運営
モバイル・インターネット関連コンテンツの企画・開発・運営",京都府乙訓郡大山崎町字下植野小字二階下１３番地,496,1979,,渡辺康人,
株式会社日新システムズ,2130001018398,"(1) 制御系・組込系ソフトウェアの受託開発
(2) ソフトウェアライセンスの販売
(3) ＥＭＳ関連機器、ネットワーク",京都府京都市下京区堀川通綾小路下る綾堀川町２９３番地の１,223,1984,,永井秀明,https://www.co-nss.co.jp/company/
京都電子計算株式会社,2130001023349,システム販売／パッケージソフト開発販売、ソフトウェア開発、アウトソーシングサービス、Webサイト構築、教育サービス、セキ,京都府京都市下京区木津屋橋通新町西入東塩小路町６０１番地ＮＵＰビルディング京都駅前,309,1964,,森口健吾,http://www.kip.co.jp
サイレックス・テクノロジー株式会社,2130001037373,ネットワーク・ワイヤレス技術を活かした製品の開発・製造・販売,京都府相楽郡精華町光台２丁目３番地１,245,1973,,三浦暢彦,http://www.silex.jp/
信和商事株式会社,2130001038082,古紙回収業,京都府八幡市八幡久保田１番地,92,1979,,中村貴敏,https://shinwasyouji.co.jp/company/about/
株式会社丹新ビルサービス,2130001041160,総合ビルメンテナンス業,京都府福知山市東羽合町１６４番地,121,1986,,新庄昭仁,https://tanshin-bs.co.jp/
株式会社ニチダイ,2130001038818,"精密鍛造金型の開発・製造・販売
精密部品の組立て
積層焼結金網フィルタの開発・製造・販売",京都府京田辺市薪北町田１３番地,383,,,伊藤直紀,http://www.nichidai.jp/
株式会社関東甲信クボタ,1030001072877,,埼玉県さいたま市桜区西堀５丁目２番３６号,563,1966,,冠康夫,
日東精工株式会社,2130001041813,金属製品製造業,京都府綾部市井倉町梅ケ畑２０番地,519,,,荒賀誠,https://www.nittoseiko.co.jp/
株式会社京滋マツダ,2130001024529,"自動車販売
自動車修理
自動車レンタル
損害保険代理業",京都府京都市南区吉祥院向田西町１番地,410,1982,,田嶋誠治,https://website.keiji-mazda.jp/
株式会社バッファロー,1030001076804,カー用品総合小売業,埼玉県川口市本町４丁目１番８号,405,,,営業本部長坂本裕二,
株式会社前澤エンジニアリングサービス,1030001082736,上下水道用機器・水処理装置の修繕・据付工事、維持管理,埼玉県川口市仲町５番１１号,307,1985,,絹笠淳,http://www.maezawa-es.co.jp
東日本メディコム株式会社,1030001087058,"・電子カルテ等、医療事務コンピューターの販売及びサポート
・医療機関及び調剤薬局用ソフトウェアの開発・販売
・Webを利",埼玉県行田市大字斎条１２８番地,194,1979,,松本運造,https://www.e-medicom.co.jp/
株式会社エイリイ・エンジニアリング,1030001089962,宇宙、航空機、船舶、車両搭載機器、通信、電子、電波、光学、環境関連機器の保守整備及び設計、製造、販売,埼玉県飯能市大字双柳１０５４番地,58,1978,,二ノ宮啓,https://www.alae.co.jp
株式会社グラファイトデザイン,1030001090714,"1.ゴルフクラブシャフトの製造・販売
2.ゴルフクラブの組立加工
3.その他炭素繊維(カーボン繊維)を使用した各種パイプ",埼玉県秩父市太田２４７４番地１,130,,,山田拓郎,https://www.gd-inc.co.jp/
関東建設マネジメント株式会社,1030001098427,,埼玉県さいたま市大宮区吉敷町４丁目２６２番地１６マルキュービル,600,2013,,藤田清二,
朝日アグリア株式会社,1030001135964,,埼玉県児玉郡神川町大字渡瀬２２２番地,180,2020,,中村紀之,
株式会社ＤＮＰデータテクノ,1050001028118,"■ IPS（Information Processing Solution）分野
請求書、お取引明細、ダイレクトメール、",埼玉県蕨市錦町４丁目５番１号,3196,1998,,中西祐幾,
朝日工業株式会社,2013301000418,,埼玉県児玉郡神川町大字渡瀬２２２番地,252,,,村上政徳,
株式会社テクアノーツ,1120901030611,潜水工事、浮体構造物や水草刈取船の設計・製作、水中ロボットによる水道施設メンテナンスなど水環境社会インフラの整備,埼玉県川口市芝下１丁目１番３号,150,1973,,稲葉靖規,https://www.tequanauts.co.jp/
ＡＧＳ株式会社,2030001000011,"情報処理サービス
ソフトウェア開発
その他情報サービス
システム機器販売",埼玉県さいたま市浦和区針ヶ谷４丁目３番２５号,800,1971,,中野真治,http://www.ags.co.jp
株式会社イマギイレ,2030001000820,建設機械器具賃貸業,埼玉県さいたま市西区大字内野本郷２１９番３,197,1973,,今給黎宣成,https://www.imagiire.co.jp/
株式会社スズキ自販埼玉,2030001004499,"スズキ軽四輪車、小型車の卸売・小売
中古自動車の卸売・小売
スズキセニアカー・電動車椅子の販売
自動車部品の販売
自動車",埼玉県さいたま市北区吉野町２丁目２２２番地１０,365,1965,,東智彦,https://www.suzuki.co.jp/dealer/sj-saitama/
日本環境クリアー株式会社,2030001006446,,埼玉県さいたま市大宮区桜木町１丁目１１番地９,900,1976,,杉山英司,
ビソー工業株式会社,2030001007106,,埼玉県さいたま市西区大字西新井５０５番地１２１,1000,1979,,戸張剛,
株式会社サイオー,2030001012551,,埼玉県さいたま市浦和区岸町７丁目１２番４号,850,1970,,橋本一憲,
富士共同物流株式会社,2030001010670,"一般貨物自動車運送業
貨物利用運送業
警備輸送業",埼玉県さいたま市浦和区上木崎３丁目９番６号,120,1989,,中村信也,http://www.fkb.co.jp
株式会社ツツミ,2030001021115,宝飾品・貴金属製品の製造・卸売・小売業,埼玉県蕨市中央４丁目２４番２６号,878,,,互智司,https://www.tsutsumi.co.jp
株式会社ビクセン,2030001024877,光学機器製造販売、,埼玉県所沢市東所沢５丁目１７番地３,102,1954,,新妻和重,
株式会社ピックルスコーポレーション,2030001024893,浅漬け漬物、キムチ、惣菜製造,埼玉県所沢市東住吉７番８号,1167,,,影山直司,http://www.pickles.co.jp/
マザーサンヤチヨ・オートモーティブシステムズ株式会社,2030001026675,輸送用機器及び関連部品等の研究・開発・製造・販売,埼玉県狭山市柏原３９３番地,892,,,可知浩幸,http://www.yachiyo-ind.co.jp/
株式会社奥井組,2030001026824,"運輸業
建設業（建築・土木等）
機械設置業
物流業",埼玉県入間市新光１９１番地１,180,1966,,奥井祐介,https://okuigumi.co.jp/
大成ラミックグループ株式会社,2030001031015,食品を中心とした液体・粘体自動充填用プラスチックフィルムおよび高速自動充填機ダンガンの開発・製造・販売,埼玉県白岡市下大崎８７３番地１,57,,,長谷部正,https://www.lamick.co.jp/
株式会社鴨川グランドホテル（閉鎖）,1040001074815,,千葉県鴨川市広場８２０番地,165,,,鈴木健史,
東日本イワタニガス株式会社,2010401057116,高圧ガス等の卸売業,千葉県市川市塩浜２丁目１７番地,228,2005,,上田恭久,https://www.hig-iwatani.co.jp/
ＪＦＥ環境テクノロジー株式会社,2010001144314,廃棄物処理施設における設計・調達・建設・運転管理・メンテナンス,千葉県千葉市美浜区中瀬２丁目６番地１,664,1985,,渡辺重世,http://www.jfe-et.co.jp/
株式会社ミック,2011101020553,,千葉県柏市若柴２２６番地４４中央１４１街区１,181,1976,,大谷純一,
株式会社エイド,2040001000836,,千葉県千葉市中央区新宿１丁目５番２３号,164,1991,,齋藤豊,
イオンリテール株式会社,2040001000456,総合小売業,千葉県千葉市美浜区中瀬１丁目５番地１,114984,2008,,古澤康之,http://www.aeonretail.jp/company/gaiyo.html
株式会社千葉銀行,2040001000019,普通銀行業,千葉県千葉市中央区千葉港１番２号,4366,,,頭取米本努,https://www.chibabank.co.jp/
新日本建設株式会社,2040001003186,総合建設業、不動産開発事業,千葉県千葉市美浜区ひび野１丁目４番３,587,,,髙見克司,https://www.shinnihon-c.co.jp
協和ビル管理株式会社,2040001001784,建物の総合管理業務,千葉県千葉市中央区汐見丘町１６番１１号,608,1977,,福田誠子,http://www.kyowakeibi.co.jp
イオンコンパス株式会社,2040001008549,旅行業,千葉県千葉市美浜区中瀬２丁目６番地１,270,1971,,城友美,http://www.aeoncompass.co.jp/
株式会社京葉ビル管理,2040001019257,"建築物の環境衛生管理、その他ビルメンテナンス業務
ハウスクリーニング
保安・防災管理業務
マンションの管理
日本語・外国",千葉県船橋市本町３丁目２２番２２号,180,1978,,松山典夫,
株式会社市進ホールディングス,2040001025619,学習塾、介護事業等の運営補佐,千葉県市川市八幡２丁目３番１１号,157,1979,,福住一彦,
株式会社加藤新聞舗,2040001025932,,千葉県市川市市川２丁目４番９号,230,1967,,加藤憲一,
株式会社サンリツ,2040001020768,"臨床検査
食品衛生検査
衛生点検
理化学検査",千葉県八千代市上高野１３５３番地２５,427,1968,,伊丹淳,http://www.san-g.com/
株式会社一家ダイニングプロジェクト,2040001027978,飲食事業、ブライダル事業,千葉県市川市東大和田２丁目４番１０号,1875,,,武長太郎,https://ikkadining.co.jp/company/
株式会社マツキヨココカラ＆カンパニー,2040001040238,,千葉県松戸市新松戸東９番地１,100,,,松本清雄,
マブチモーター株式会社,2040001036954,小型モーターの製造販売,千葉県松戸市松飛台４３０番地,900,,,高橋徹,https://www.mabuchi-motor.co.jp/csr/employees/balance.html
サンコーテクノ株式会社,2040001040188,建設資材（あと施工アンカー・ドリルビット・ファスナー等）、複合材、防水材、各種測定器の企画開発・製造・販売・施工および輸,千葉県流山市南流山３丁目１０番地１６,444,,,洞下英人,http://www.sanko-techno.co.jp/
岩渕薬品株式会社,2040001046615,医薬品の卸売業,千葉県佐倉市鏑木町５１番地,499,1948,,岩渕琢磨,http://www.iwabuchi-net.co.jp/
ダイハツ東京販売株式会社,1010001086185,"自動車、その他周辺商品の販売
自動車の修理・点検
顧客様への点検等のご案内など管理",東京都中央区月島２丁目１５番１号,744,1983,,武田裕介,http://dd.daihatsu.co.jp/Dtokyo/
加賀ソルネット株式会社,1010001087332,コンヒ?ュータ・システムの導入及ひ?機器・ソフトウェアの販売・サホ?ート、ハ?ソコン関連商品、映像関連商品、AV関連商品,東京都中央区八丁堀３丁目２７番１０号,200,1995,,熊部光洋,
千葉ビル・メンテナンス株式会社,2040001054287,ビル総合管理,千葉県市原市君塚３丁目８番地１９,398,1972,,岡澤正博,https://www.chibabill.jp/
サミットエナジー株式会社,1010001087737,国内における発電事業の企画・開発と統括管理および小売電気事業,東京都千代田区内神田２丁目３番４号,95,1990,,小林政司,https://www.summit-energy.co.jp/
テプコ・ソリューション・アドバンス株式会社,1010001086672,"情報処理サービス事業、電気等の売買,供給",東京都港区芝３丁目２番１８号,2352,1999,,種橋章,https://www.tepco-sa.co.jp/ssl/
株式会社プレステージ・インターナショナル,1010001089262,"BPO（ビジネス・プロセス・アウトソーシング）事業
・オートモーティブ事業
・プロパティ事業
・グローバル事業
・ワラン",東京都千代田区麹町２丁目４番地１,4295,,,グループ玉上進一,http://www.prestigein.com/index.html
田辺薬局株式会社,1010001090468,調剤薬局の運営,東京都中央区築地４丁目３番８号,623,1984,,佐藤淳一,http://www.tnb.co.jp/
株式会社セブン－イレブン・ジャパン,1010001088181,コンビニエンスストアのフランチャイズチェーン本部,東京都千代田区二番町８番地８,8064,1939,,阿久津知洋,http://www.sej.co.jp/
古河産機システムズ株式会社,1010001087927,荷役運搬設備、破砕設備、粉砕設備、環境設備、ポンプ設備、鋼構造物などの製造・販売・施工,東京都千代田区大手町２丁目６番４号,478,2004,,岩間和義,https://www.furukawa-sanki.co.jp/
セントラルコンサルタント株式会社,1010001088264,建設コンサルタント（土木、都市計画、造園、建築等の調査、計画、設計及び施工管理）,東京都中央区晴海２丁目５番２４号,545,1967,,中田健一,https://www.central-con.co.jp/
ＥＮＥＯＳグローブ株式会社,1010001090889,液化石油ガスの輸入・販売、新エネルギー関連機器の販売,東京都千代田区永田町２丁目１１番１号,211,2004,,江澤和彦,http://www.eneos-globe.co.jp/
アイティメディア株式会社,1010001092299,,東京都千代田区紀尾井町３番１２号,339,,,兼小林教至,
株式会社三友システムアプレイザル,1010001094048,,東京都千代田区平河町１丁目２番１０号,163,1980,,谷秀千代,
ヤマト運輸株式会社,1010001092605,宅急便を中心とした一般消費者・企業向け小口貨物輸送サービス事業、その他物流事業全般および関連事業,東京都中央区銀座２丁目１６番１０号,158295,2005,,阿波誠一,http://www.kuronekoyamato.co.jp/
グローウィン・パートナーズ株式会社,1010001094857,,東京都千代田区紀尾井町１番３号,101,2004,,佐野哲哉,
第一三共株式会社,1010001095640,医療用医薬品の研究開発、製造、販売等,東京都中央区日本橋本町３丁目５番１号,8525,,,奥澤宏幸,http://www.daiichisankyo.co.jp/
株式会社セブン＆アイ・ホールディングス,1010001095203,コンビニエンスストア・総合スーパー・百貨店・食品スーパー・フードサービス・金融サービス・ＩＴ／サービス各事業を中心とした,東京都千代田区二番町８番地８,1017,,,最高経営責任者（）スティーブン・ヘイズ・デイカス,http://www.7andi.com/
スローガン株式会社,1010001096077,人材紹介業,東京都港区南青山２丁目１１番１７号,121,,,仁平理斗,https://www.slogan.jp/news/2023/0424-1852/
株式会社ケンツー,1010001098247,,東京都千代田区岩本町２丁目５番１２号,260,2006,,山田佑樹,
日鉄物流株式会社,1010001098619,"海上輸送
自動車輸送
港湾物流
構内物流（工場内物流）",東京都中央区日本橋１丁目１３番１号,6518,2006,,米澤公敏,
アウトルックコンサルティング株式会社,1010001098759,,東京都港区南青山３丁目１番３号スプライン青山東急ビル,80,2006,,平尾泰文,
株式会社ぎょうせい,1010001100425,"●図書総合
　法令関連の書籍を中心に、時宜にかなった書籍を企画・編集・出版
●システム
　法令・例規関連システムをはじめ",東京都中央区銀座７丁目４番１２号,713,1970,,西本功二,https://gyosei.jp/
株式会社バリューデザイン,1010001101786,,東京都中央区京橋３丁目１番１号,74,2006,,尾上徹,
株式会社クロスパワー,1010001103634,"業務としては、企業年金システム・証券会社向けパッケージ開発・社内資産管理システム等、企業向け業務を行っております。
PC",東京都千代田区外神田１丁目１６番８号ＧＥＥＫＳＡＫＩＨＡＢＡＲＡ３階,160,2006,,大江龍介,
株式会社クリーク・アンド・リバー社,1010001101101,"エージェンシー事業（派遣・紹介）
プロデュース事業（請負・アウトソーシング）
ライツマネジメント事業（知的財産）
教育事",東京都港区新橋４丁目１番１号,2049,1990,,黒崎淳,https://www.cri.co.jp/sustainability/
日本リック株式会社,1010001101679,人材サービス業、福祉介護事業,東京都千代田区飯田橋４丁目８番１３号,210,1984,,日高一隆,https://www.nipponrick.co.jp/
Ｘｓｐｅａｒ　Ｃｏｎｓｕｌｔｉｎｇ株式会社,1010001103304,"事業戦略、テクノロジーに関するビジネスコンサルティング事業
労働者派遣に関する事業＜労働者派遣事業許可(派 13-302",東京都港区虎ノ門１丁目２３番１号,250,1998,,早田政孝,https://www.simplex.holdings/sustainability/
サインポスト株式会社,1010001107305,,東京都中央区日本橋本町４丁目１２番２０号,213,2007,,蒲原寧,
株式会社トライ・アットリソース,1010001107536,,東京都千代田区九段北１丁目６番４号,1533,2004,,高橋義定,
株式会社セントラルユニ,1010001103857,医療設備機器の製造及び販売,東京都千代田区西神田２丁目３番１６号,221,1951,,河村将之,http://www.central-uni.co.jp/
株式会社クマヒラ,1010001108872,,東京都中央区日本橋室町２丁目１番１号,710,1944,,渡邉秀隆,
株式会社アミファ,1010001110663,ライフスタイル雑貨卸売業,東京都渋谷区神宮前５丁目５２番２号,65,,,藤井愉三,http://www.amifa.co.jp/
リコージャパン株式会社,1010001110829,ドキュメントソリューションをベースとした、リコーのデジタル複写機、プリンター、ネットワーク関連商品、消耗品の販売、及び機,東京都大田区中馬込１丁目３番６号,16420,1959,,笠井徹,https://jp.ricoh.com/companies/ricoh-japan/our-workstyle
株式会社アミット,1010001112214,翻訳・通訳派遣・海外調査,東京都中央区日本橋兜町１３番１号兜町偕成ビル別館９Ｆ,54,2006,,芦塚洋美,https://recruit.amitt.co.jp/
株式会社昭和メディカルサイエンス,1010001112338,臨床検査受託業,東京都千代田区麹町４丁目７番５号,730,1979,,氏家永一郎,http://www.sms.co.jp
ＳＭＦＬレンタル株式会社,1010001114136,"パソコン・ワークステーション等IT機器のリースおよびレンタル、売買、IT機器導入支援・保守等オプションサービス
電子計測",東京都千代田区一ツ橋２丁目１番１号,206,1978,,大村尚之,https://www.smfl-r.co.jp
日本郵便株式会社,1010001112577,郵便業務、銀行窓口業務、保険窓口業務、印紙の売りさばき、地方公共団体からの受託業務、前記以外の銀行業、生命保険業及び損害,東京都千代田区大手町２丁目３番１号,331994,2007,,小池信也,http://www.post.japanpost.jp/
株式会社チームスピリット,1010001116826,,東京都千代田区内幸町２丁目１番６号,205,1996,,道下和良,
タイムズサービス株式会社,1010001115423,"『駐車場総合管理』
無人時間貸駐車場の機器メンテナンス及び、巡回、清掃、駐車場管理コンサルティング、駐車場有人管理 、駐",東京都品川区西五反田２丁目２０番４号,2498,1992,,川上紀文,https://www.park24.co.jp/company/timesservice/
三機テクノサポート株式会社,1010001116842,建築設備工事業,東京都中央区明石町８番１号,231,1980,,朝日義之,http://www.sanki.co.jp/sts/
リックソフト株式会社,1010001124218,ソフトウェア開発,東京都千代田区大手町２丁目１番１号,87,2005,,大貫浩,
オフィスコム株式会社,1010001125570,,東京都千代田区九段北４丁目１番７号,196,2007,,室木剛,
フロンティア・マネジメント株式会社,1010001121867,経営コンサルティング事業・ファイナンシャル・アドバイザリー事業・再生支援事業・制度関連助言業務・教育研修事業・資金支援業,東京都港区六本木３丁目２番１号,433,2007,,（）大西正一郎,https://www.frontier-mgmt.com/
サンライズ・エンジニアリング株式会社,1010001123335,電気工事業、電気通信工事業,東京都中央区日本橋小舟町２番９号,171,1980,,馬場誉一,https://sec-sunrise.co.jp/
商船三井興産株式会社,1010001126189,ビル総合管理、マンション・寮などの運営管理、不動産業、保険代理店業務,東京都港区虎ノ門２丁目３番１７号,383,1977,,中島孝,http://www.mo-kosan.co.jp/
日本アイ・ビー・エム株式会社,1010001128061,"情報システムに関わる製品、サービスの提供。
世界170カ国でITシステムの構築・保守運用の一貫サービスを行っています。",東京都港区虎ノ門２丁目６番１号,9400,1937,,山口明夫,http://www.ibm.com/jp/ja/
ソフトブレーン株式会社（閉鎖）,1010001132006,,東京都中央区日本橋１丁目１３番１号,141,,,豊田浩文,
ＪＣＯＭ株式会社,1010001132055,"・ケーブルテレビ局の統括運営を通じた有線テレビジョン放送事業及び電気通信事業
・ケーブルテレビ局及びデジタル衛星放送向け",東京都千代田区丸の内１丁目８番１号,15672,1995,,岩木陽一,https://www.jcom.co.jp/corporate/sustainability/well_being/health/#attempt
株式会社エー・エム・サポート,1010001133763,,東京都千代田区神田三崎町３丁目３番１２号少年画報ビル６階,150,2010,,山口和哉,
株式会社コンステック,1120001108515,,大阪府大阪市中央区北浜東４番３３号,321,1969,,茶家義明,
バルテス・ホールディングス株式会社,1120001107293,,大阪府大阪市西区阿波座１丁目３番１５号,114,2004,,兼田中真史,https://www.valtes-hd.co.jp/
株式会社ＧＳＰ,1120001107450,,大阪府大阪市西区新町１丁目２７番５号,54,2004,,竹上喜一郎,https://www.mic-west.co.jp/gsp/
パナソニックデジタル株式会社,1120001110280,情報サービス,大阪府大阪市北区末広町２番４０号,2200,1999,,阿部裕,https://panasonic.co.jp/is-c/
ＭＲＫホールディングス株式会社,1120001120362,,大阪府大阪市北区大淀中１丁目１番３０号,56,,,塩田徹,
株式会社キングプリンターズ,1120001122177,出版・印刷業,大阪府大阪市西淀川区千舟２丁目１０番２１号,113,1999,,上山健,
株式会社カスタマーリレーションテレマーケティング,1120001123274,,大阪府大阪市北区曾根崎１丁目２番９号,3589,2007,,伊藤佳奈子,
株式会社イーエフユーアドウィス,1120001129651,,大阪府大阪市北区中之島２丁目３番３３号,144,2008,,加藤文和,
株式会社トライトエンジニアリング,1120001131178,,大阪府大阪市北区曾根崎２丁目１２番７号,2166,2004,,笹井英孝,https://tryt-group.co.jp/sustainability/human/
ダイキンＭＲエンジニアリング株式会社,1120001133315,"船舶用空調装置エンジニアリング
船舶用冷凍装置エンジニアリング",大阪府大阪市淀川区西中島５丁目５番１５号,127,2008,,鶴田幸大,https://www.dmre.daikin.co.jp/
株式会社アクティブゲーミングメディア,1120001139972,,大阪府大阪市西区靱本町１丁目１２番６号,90,2008,,ビーニヤス・アメストイ・イバイ,
株式会社アド近鉄,1120001143421,"○　広告（テレビ・ラジオ・新聞・雑誌・交通広告、セールスプロモーション、マーケティング、映像・音響）
○　ネットビジネス",大阪府大阪市天王寺区生玉町３番１０号,287,2010,,村上正浩,
株式会社エクセディ,1120001147463,,大阪府寝屋川市木田元宮１丁目１番１号,3729,,,吉永徹也,
エクスポート・ジャパン株式会社,1120001129008,多言語によるWebサイトの企画、制作、コンサルティング、マーケティング／外国語コンテンツ制作／訪日外国人向け日本情報サイ,大阪府大阪市中央区北浜３丁目６番２２号,53,2000,,高岡謙二,https://www.export-japan.co.jp/
株式会社ｅＷｅＬＬ,1120001171257,情報サービス業,大阪府大阪市中央区久太郎町４丁目１番３号,90,,,中野剛人,
株式会社プロディライト,1120001146779,モバイルシステム開発・販売,大阪府大阪市中央区高麗橋３丁目３番１１号淀屋橋フレックスタワー２階,55,,,小南秀光,http://www.prodelight.co.jp/
株式会社サンユウ,1120001149666,"みがき棒鋼の製造、加工及び販売
冷間圧造用鋼線の製造、加工及び販売",大阪府枚方市春日北町３丁目１番１号,203,,,喜多章,http://www.sanyu-cfs.co.jp
奥村機械株式会社,1120001155391,建設機械の賃貸・販売・メンテナンス業,大阪府守口市佐太中町２丁目５番３号,270,1964,,奥村弘幸,https://www.okumura-kikai.co.jp
株式会社Ｄｅｆ　ｔｒｉｂｅ,1120001176149,"経営コンサルティング業務
システムコンサルティング業務
システム開発全般
IT技術教育",大阪府大阪市西区靱本町１丁目１２番４号信濃橋東洋ビル７階,150,2013,,河野浩明,https://www.e-deftribe.com/
株式会社ＳｃｅｎｅＬｉｖｅ,1120001163130,"・業務効率化アプリケーション等の製品開発、運用
・IP電話ソリューションシステム開発
・WEBマーケティング
・その他コ",大阪府大阪市中央区備後町３丁目４番１号,75,2011,,磯村亮典,https://scene-live.com/
株式会社ディスカバリー,1120001194092,"デジタルマーケティング支援
クリエイティブ・制作
通販支援
キャスティング
プロダクト・メディア開発・運営",大阪府大阪市中央区安土町１丁目８番１５号,141,2015,,篠木隆秀,https://discovery-inc.com/
八翔ビル管理株式会社,1120001220674,,大阪府大阪市大正区三軒家東１丁目１７番２６号,98,2019,,田中大翔,https://hassho-build.com/
