[2026-06-29T18:10:15.706Z] PR TIMES リリースURL収集（目標 1300社）…
[2026-06-29T18:10:20.459Z]   keyword「新卒採用」まで 累計リリースURL 213
[2026-06-29T18:14:26.864Z]   keyword「展示会」まで 累計リリースURL 637
[2026-06-29T18:14:32.731Z]   keyword「セミナー」まで 累計リリースURL 642
[2026-06-29T18:14:38.662Z]   keyword「ウェビナー」まで 累計リリースURL 648
[2026-06-29T18:14:44.558Z]   keyword「調査」まで 累計リリースURL 656
[2026-06-29T18:14:50.476Z]   keyword「ランキング」まで 累計リリースURL 660
[2026-06-29T18:14:56.358Z]   keyword「キャッシュレス」まで 累計リリースURL 669
[2026-06-29T18:15:02.254Z]   keyword「サブスク」まで 累計リリースURL 679
[2026-06-29T18:15:08.151Z]   keyword「D2C」まで 累計リリースURL 689
[2026-06-29T18:15:14.115Z]   keyword「フィンテック」まで 累計リリースURL 697
[2026-06-29T18:15:20.043Z]   keyword「ヘルスケア」まで 累計リリースURL 704
[2026-06-29T18:15:26.056Z]   keyword「介護」まで 累計リリースURL 714
[2026-06-29T18:15:32.018Z]   keyword「保育」まで 累計リリースURL 723
[2026-06-29T18:15:37.931Z]   keyword「教育」まで 累計リリースURL 730
[2026-06-29T18:15:43.797Z]   keyword「EdTech」まで 累計リリースURL 740
[2026-06-29T18:15:49.694Z]   keyword「不動産」まで 累計リリースURL 746
[2026-06-29T18:15:55.567Z]   keyword「建設」まで 累計リリースURL 756
[2026-06-29T18:16:01.490Z]   keyword「物流」まで 累計リリースURL 763
[2026-06-29T18:16:07.450Z]   keyword「製造業」まで 累計リリースURL 768
[2026-06-29T18:16:13.391Z]   keyword「飲食」まで 累計リリースURL 777
[2026-06-29T18:16:19.289Z]   keyword「小売」まで 累計リリースURL 786
[2026-06-29T18:16:25.154Z]   keyword「アパレル」まで 累計リリースURL 796
[2026-06-29T18:16:31.079Z]   keyword「美容」まで 累計リリースURL 802
[2026-06-29T18:16:37.040Z]   keyword「旅行」まで 累計リリースURL 811
[2026-06-29T18:16:42.921Z]   keyword「観光」まで 累計リリースURL 819
[2026-06-29T18:16:48.834Z]   keyword「ペット」まで 累計リリースURL 826
[2026-06-29T18:16:54.715Z]   keyword「食品」まで 累計リリースURL 835
[2026-06-29T18:17:00.580Z]   keyword「農業」まで 累計リリースURL 844
[2026-06-29T18:17:06.446Z]   keyword「エネルギー」まで 累計リリースURL 854
[2026-06-29T18:17:12.344Z]   keyword「環境」まで 累計リリースURL 862
[2026-06-29T18:17:18.283Z]   keyword「IoT」まで 累計リリースURL 872
[2026-06-29T18:17:24.188Z]   keyword「ロボット」まで 累計リリースURL 879
[2026-06-29T18:17:30.071Z]   keyword「ドローン」まで 累計リリースURL 887
[2026-06-29T18:17:36.016Z]   keyword「メタバース」まで 累計リリースURL 896
[2026-06-29T18:17:41.897Z]   keyword「NFT」まで 累計リリースURL 905
[2026-06-29T18:17:47.745Z]   keyword「Web3」まで 累計リリースURL 913
[2026-06-29T18:17:53.656Z]   keyword「ゲーム」まで 累計リリースURL 922
[2026-06-29T18:17:59.556Z]   keyword「動画」まで 累計リリースURL 931
[2026-06-29T18:18:05.471Z]   keyword「EC支援」まで 累計リリースURL 941
[2026-06-29T18:18:11.355Z]   keyword「広告」まで 累計リリースURL 949
[2026-06-29T18:18:17.189Z]   keyword「マーケティング」まで 累計リリースURL 956
[2026-06-29T18:18:23.086Z]   keyword「コンサルティング」まで 累計リリースURL 964
[2026-06-29T18:18:29.096Z]   keyword「BPO」まで 累計リリースURL 972
[2026-06-29T18:18:34.976Z]   keyword「アウトソーシング」まで 累計リリースURL 978
[2026-06-29T18:18:40.888Z]   keyword「人材」まで 累計リリースURL 984
[2026-06-29T18:18:46.786Z]   keyword「HRtech」まで 累計リリースURL 991
[2026-06-29T18:18:52.686Z]   keyword「営業支援」まで 累計リリースURL 1001
[2026-06-29T18:18:58.585Z]   keyword「地方創生」まで 累計リリースURL 1008
[2026-06-29T18:19:04.562Z]   keyword「中小企業」まで 累計リリースURL 1011
[2026-06-29T18:19:10.524Z]   keyword「ものづくり」まで 累計リリースURL 1015
[2026-06-29T18:19:16.372Z]   keyword「サステナビリティ」まで 累計リリースURL 1021
[2026-06-29T18:19:22.287Z]   keyword「SDGs」まで 累計リリースURL 1028
[2026-06-29T18:19:28.154Z]   keyword「健康経営」まで 累計リリースURL 1032
[2026-06-29T18:19:34.052Z]   keyword「ダイバーシティ」まで 累計リリースURL 1038
[2026-06-29T18:19:34.052Z] リリースURL 1038件 → 会社概要をパース
[2026-06-29T18:19:39.792Z]   20/1300社（代表者名つき）
[2026-06-29T18:19:41.044Z]   40/1300社（代表者名つき）
[2026-06-29T18:19:42.251Z]   60/1300社（代表者名つき）
[2026-06-29T18:19:43.468Z]   80/1300社（代表者名つき）
[2026-06-29T18:19:45.038Z]   100/1300社（代表者名つき）
[2026-06-29T18:19:46.581Z]   120/1300社（代表者名つき）
[2026-06-29T18:19:48.186Z]   140/1300社（代表者名つき）
[2026-06-29T18:19:49.526Z]   160/1300社（代表者名つき）
[2026-06-29T18:19:50.840Z]   180/1300社（代表者名つき）
[2026-06-29T18:19:52.449Z]   200/1300社（代表者名つき）
[2026-06-29T18:19:53.987Z]   220/1300社（代表者名つき）
[2026-06-29T18:19:55.936Z]   240/1300社（代表者名つき）
[2026-06-29T18:19:57.669Z]   260/1300社（代表者名つき）
[2026-06-29T18:19:59.021Z]   280/1300社（代表者名つき）
[2026-06-29T18:20:00.375Z]   300/1300社（代表者名つき）
[2026-06-29T18:20:01.979Z]   320/1300社（代表者名つき）
[2026-06-29T18:20:03.373Z]   340/1300社（代表者名つき）
[2026-06-29T18:20:04.891Z]   360/1300社（代表者名つき）
[2026-06-29T18:20:11.426Z]   380/1300社（代表者名つき）
[2026-06-29T18:20:14.984Z]   400/1300社（代表者名つき）
[2026-06-29T18:20:16.544Z]   420/1300社（代表者名つき）
[2026-06-29T18:20:25.573Z]   440/1300社（代表者名つき）
[2026-06-29T18:20:26.829Z]   460/1300社（代表者名つき）
[2026-06-29T18:20:28.165Z]   480/1300社（代表者名つき）
[2026-06-29T18:20:29.703Z]   500/1300社（代表者名つき）
[2026-06-29T18:20:46.494Z]   520/1300社（代表者名つき）
[2026-06-29T18:21:12.413Z]   540/1300社（代表者名つき）
[2026-06-29T18:21:39.315Z]   560/1300社（代表者名つき）
[2026-06-29T18:22:12.556Z]   580/1300社（代表者名つき）
[2026-06-29T18:22:39.602Z]   600/1300社（代表者名つき）
[2026-06-29T18:23:06.621Z]   620/1300社（代表者名つき）
[2026-06-29T18:23:33.616Z]   640/1300社（代表者名つき）
[2026-06-29T18:24:00.901Z]   660/1300社（代表者名つき）
[2026-06-29T18:24:31.119Z]   680/1300社（代表者名つき）
[2026-06-29T18:24:55.092Z]   700/1300社（代表者名つき）
[2026-06-29T18:25:24.679Z]   720/1300社（代表者名つき）
[2026-06-29T18:25:55.049Z]   740/1300社（代表者名つき）
[2026-06-29T18:26:20.500Z]   760/1300社（代表者名つき）
[2026-06-29T18:26:49.308Z]   780/1300社（代表者名つき）
[2026-06-29T18:27:25.300Z]   800/1300社（代表者名つき）
[2026-06-29T18:27:47.795Z]   820/1300社（代表者名つき）
[2026-06-29T18:28:17.134Z]   840/1300社（代表者名つき）
[2026-06-29T18:28:41.956Z]   860/1300社（代表者名つき）
[2026-06-29T18:29:05.900Z] 収集完了: 877社 ｜ 代表者名 718 ｜ 公式URL 644
[2026-06-29T18:29:05.900Z] 出力: C:\Users\shofu\Desktop\saiyo_tantousha_poc\poc\sources\prtimes-companies.csv
