[2026-06-29T18:00:23.342Z] PR TIMES リリースURL収集（目標 1300社）…
[2026-06-29T18:00:28.407Z]   keyword「新卒採用」まで 累計リリースURL 213
[2026-06-29T18:03:04.841Z]   keyword「キャンペーン」まで 累計リリースURL 455
[2026-06-29T18:03:11.160Z]   keyword「導入事例」まで 累計リリースURL 464
[2026-06-29T18:03:17.478Z]   keyword「SaaS」まで 累計リリースURL 472
[2026-06-29T18:03:23.796Z]   keyword「DX」まで 累計リリースURL 480
[2026-06-29T18:03:30.065Z]   keyword「AI」まで 累計リリースURL 486
[2026-06-29T18:03:36.428Z]   keyword「スタートアップ」まで 累計リリースURL 492
[2026-06-29T18:03:42.698Z]   keyword「働き方改革」まで 累計リリースURL 502
[2026-06-29T18:03:48.999Z]   keyword「福利厚生」まで 累計リリースURL 510
[2026-06-29T18:03:55.463Z]   keyword「表彰」まで 累計リリースURL 520
[2026-06-29T18:04:01.766Z]   keyword「受賞」まで 累計リリースURL 528
[2026-06-29T18:04:08.081Z]   keyword「周年」まで 累計リリースURL 537
[2026-06-29T18:04:14.365Z]   keyword「社名変更」まで 累計リリースURL 546
[2026-06-29T18:04:20.667Z]   keyword「新会社」まで 累計リリースURL 556
[2026-06-29T18:04:27.081Z]   keyword「拠点開設」まで 累計リリースURL 566
[2026-06-29T18:04:33.433Z]   keyword「パートナー」まで 累計リリースURL 576
[2026-06-29T18:04:33.434Z] リリースURL 576件 → 会社概要をパース
[2026-06-29T18:04:37.958Z]   20/1300社（代表者名つき）
[2026-06-29T18:04:38.102Z]   40/1300社（代表者名つき）
[2026-06-29T18:04:38.250Z]   60/1300社（代表者名つき）
[2026-06-29T18:04:38.402Z]   80/1300社（代表者名つき）
[2026-06-29T18:04:38.577Z]   100/1300社（代表者名つき）
[2026-06-29T18:04:38.748Z]   120/1300社（代表者名つき）
[2026-06-29T18:04:38.894Z]   140/1300社（代表者名つき）
[2026-06-29T18:04:39.045Z]   160/1300社（代表者名つき）
[2026-06-29T18:04:39.186Z]   180/1300社（代表者名つき）
[2026-06-29T18:04:39.373Z]   200/1300社（代表者名つき）
[2026-06-29T18:04:39.545Z]   220/1300社（代表者名つき）
[2026-06-29T18:04:39.744Z]   240/1300社（代表者名つき）
[2026-06-29T18:04:39.940Z]   260/1300社（代表者名つき）
[2026-06-29T18:04:40.106Z]   280/1300社（代表者名つき）
[2026-06-29T18:04:40.266Z]   300/1300社（代表者名つき）
[2026-06-29T18:04:40.433Z]   320/1300社（代表者名つき）
[2026-06-29T18:04:59.383Z]   340/1300社（代表者名つき）
[2026-06-29T18:05:26.038Z]   360/1300社（代表者名つき）
[2026-06-29T18:05:53.169Z]   380/1300社（代表者名つき）
[2026-06-29T18:06:26.290Z]   400/1300社（代表者名つき）
[2026-06-29T18:06:55.056Z]   420/1300社（代表者名つき）
[2026-06-29T18:07:22.091Z]   440/1300社（代表者名つき）
[2026-06-29T18:07:50.083Z]   460/1300社（代表者名つき）
[2026-06-29T18:08:16.762Z]   480/1300社（代表者名つき）
[2026-06-29T18:08:44.227Z]   500/1300社（代表者名つき）
[2026-06-29T18:09:04.947Z] 収集完了: 515社 ｜ 代表者名 415 ｜ 公式URL 359
[2026-06-29T18:09:04.947Z] 出力: C:\Users\shofu\Desktop\saiyo_tantousha_poc\poc\sources\prtimes-companies.csv
