企業名,法人番号,採用担当者名,役職,部署,代表者名,メール,メール確度,担当者確度,電話番号,公式URL,Tier,取得元媒体,根拠URL,架電呼称,業種,都道府県,従業員数,補助金,設立年,取得日
株式会社水戸カンツリー倶樂部,2050001007260,,,,住 川 雅 晴,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2050001007260,人事部 ご採用ご担当者様,ゴルフ場の経営,茨城県東茨城郡大洗町磯浜町８２３１番地の１,89,,,2026-06-15T17:07:30.774Z
株式会社長寿荘,2050001006915,,,,海野 泰司,info@hotel-crystal.co.jp,0.4,,,http://www.hotel-crystal.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2050001006915,人事部 ご採用ご担当者様,ホテル、結婚式場、レストランの運営,茨城県ひたちなか市大平１丁目２２番１号,226,,1967,2026-06-15T17:07:30.782Z
株式会社ダイセキＭＣＲ,1060001002749,,,,本郷 忠史,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1060001002749,人事部 ご採用ご担当者様,,栃木県宇都宮市平出工業団地３８番地２５,91,,1973,2026-06-15T17:07:30.811Z
株式会社ティー・シー・シー,1060001005264,,,,多羅澤 智一,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1060001005264,人事部 ご採用ご担当者様,,栃木県宇都宮市上戸祭町９４番地２１,1000,,1994,2026-06-15T17:07:30.841Z
株式会社日本アクシス,2050001006989,,,,菊地 信仁,info@n-axis.co.jp,0.4,,,https://www.n-axis.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2050001006989,人事部 ご採用ご担当者様,人材サービス,茨城県ひたちなか市新光町３８番地,170,,1992,2026-06-15T17:07:30.873Z
株式会社大高商事,1060001000967,,,,伊原 修,info@daikoh.net,0.4,,,http://www.daikoh.net,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1060001000967,人事部 ご採用ご担当者様,①ビルメンテナンス総合管理（設備管理・清掃・環境衛生管理等）②建物総合工事③警備業④業務請負（給食業務等）⑤IT関連業務,栃木県宇都宮市宝木本町１４７４番地５,850,,1965,2026-06-15T17:07:30.900Z
キヤノン電子管デバイス株式会社,1060001013523,,,,田中 誠二,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1060001013523,人事部 ご採用ご担当者様,,栃木県大田原市下石上１３８５番地,504,,2003,2026-06-15T17:07:30.906Z
株式会社吉川油脂,1060001020841,,,,吉川 千福,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1060001020841,人事部 ご採用ご担当者様,,栃木県佐野市飛駒町３８４５番地３,135,,1990,2026-06-15T17:07:30.978Z
大和フーズ株式会社,2060001002649,,,,夏井 宗矩,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2060001002649,人事部 ご採用ご担当者様,業務用卸売業、給食事業,栃木県宇都宮市屋板町６５６番地２,239,,1973,2026-06-15T17:07:31.000Z
株式会社環境生物化学研究所,2060001008043,,,,久我 和之,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2060001008043,人事部 ご採用ご担当者様,環境アセスメント業,栃木県那須郡那珂川町北向田２３１番地２,58,,1984,2026-06-15T17:07:31.051Z
株式会社栃木ニコンプレシジョン（閉鎖）,2060001013638,,,,竜田 泰資,,0,,,http://www.tochigi-nikon-precision.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2060001013638,人事部 ご採用ご担当者様,半導体露光装置ユニットの製造,栃木県大田原市実取７６０番地,422,,2007,2026-06-15T17:07:31.109Z
志賀産業株式会社,2060001018703,,,,志賀 寛幸,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2060001018703,人事部 ご採用ご担当者様,,栃木県足利市南町４２５４番地１,101,,1952,2026-06-15T17:07:31.124Z
群馬警備保障株式会社,1070001000875,,,,萩原 修,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1070001000875,人事部 ご採用ご担当者様,警備業,群馬県前橋市新前橋町２３番地１１,120,,1971,2026-06-15T17:07:31.144Z
株式会社日立プラントメカニクス,2250001009781,,,,久恒 一修,,0,,,https://www.hitachi-hpm.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2250001009781,人事部 ご採用ご担当者様,・天井クレーンの製造販売 ・アフターサービス ・機械加工,栃木県佐野市栄町１１番地,406,,1986,2026-06-15T17:07:31.155Z
株式会社群成舎,1070001006749,,,,芝崎 勝治,info@gunseisya.co.jp,0.4,,,http://www.gunseisya.co.jp,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1070001006749,人事部 ご採用ご担当者様,環境保全業、廃棄物収集運搬及び処分業、ビルメンテナンス業,群馬県高崎市上並榎町１２９番地の１,410,,1985,2026-06-15T17:07:31.183Z
パナケア真中株式会社,1070001008084,,,,吉田 茂穂,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1070001008084,人事部 ご採用ご担当者様,福祉用具サービス（貸与・販売） （高崎市足門町） 訪問入浴介護サービス （高崎市下中居町・前橋市岩神町） 訪問介護サービ,群馬県高崎市足門町１５０番地の１,218,,1975,2026-06-15T17:07:31.198Z
株式会社ユー・コーポレーション,1070001010123,,,,内田 隆志,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1070001010123,人事部 ご採用ご担当者様,,群馬県安中市鷺宮９２９番地１,248,,1975,2026-06-15T17:07:31.218Z
岩瀬産業株式会社,1070001013126,,,,岩瀬 加代子,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1070001013126,人事部 ご採用ご担当者様,,群馬県伊勢崎市下植木町３番地１０,588,,1952,2026-06-15T17:07:31.238Z
ペンタテクノサービス株式会社,2060001012086,,,,関本 恒浩,info@penta-techno.co.jp,0.4,,,http://www.penta-techno.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2060001012086,人事部 ご採用ご担当者様,①建設工事におけるICT化の提案、ICTシステムの導入②実験業務の計画・実施・評価ならびにICTによる省力化推進③五洋,栃木県那須塩原市四区町１５３４番地１,60,,1991,2026-06-15T17:07:31.306Z
株式会社協和,1070001026169,,,,由田 禎滋,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1070001026169,人事部 ご採用ご担当者様,,群馬県高崎市大八木町５８８番地,170,,,2026-06-15T17:07:31.356Z
株式会社Ａ・サポート,1070001017531,,,,秋元 良介,info@a-sup.co.jp,0.4,,,https://www.a-sup.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1070001017531,人事部 ご採用ご担当者様,,群馬県渋川市半田３１７８番地の１,149,,2000,2026-06-15T17:07:31.398Z
群馬ヤクルト販売株式会社,2070001001022,,,,塩谷 輝行,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2070001001022,人事部 ご採用ご担当者様,,群馬県前橋市高井町１丁目７番地１,618,,1971,2026-06-15T17:07:31.418Z
利根日石株式会社,1070001022993,,,,真下 竜介,info@tone-n.com,0.4,,,http://tone-n.com,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1070001022993,人事部 ご採用ご担当者様,石油製品の卸し・小売販売,群馬県沼田市上原町１６６８番地,95,,1958,2026-06-15T17:07:31.422Z
ＮＥＯＭＡＸエンジニアリング株式会社,1070001008159,,,,増澤 正宏,info@nxe.co.jp,0.4,,,https://www.nxe.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1070001008159,人事部 ご採用ご担当者様,磁性材料応用製品の製造・販売,群馬県高崎市吉井町多比良２９７７番地,171,,1992,2026-06-15T17:07:31.429Z
斉藤クリエート食品株式会社,2070001001311,,,,小野里 美絵,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2070001001311,人事部 ご採用ご担当者様,食品製造業,群馬県前橋市上増田町２５８番地１１,184,,1975,2026-06-15T17:07:31.434Z
コーエィ株式会社,2070001001170,,,,関口 典明,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2070001001170,人事部 ご採用ご担当者様,,群馬県前橋市上小出町１丁目９番地１２,216,,1970,2026-06-15T17:07:31.436Z
星野総合商事株式会社,2070001002920,,,,星野 大輔,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2070001002920,人事部 ご採用ご担当者様,消防施設工事,群馬県前橋市日吉町４丁目３６番地の１,103,,1970,2026-06-15T17:07:31.457Z
株式会社小島鐵工所,2070001006905,,,,櫛渕 洋二,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2070001006905,人事部 ご採用ご担当者様,,群馬県高崎市剣崎町１５５番地,94,,,2026-06-15T17:07:31.478Z
アクア警備保障株式会社,1070001029469,,,,小田 裕司,info@aqa-co.com,0.4,,,http://www.aqa-co.com/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1070001029469,人事部 ご採用ご担当者様,交通誘導警備、雑踏警備、施設警備、貴重品運搬警備、巡回警備、鉄道警備、 清掃管理業務,群馬県高崎市日高町３９４番地５,123,,2014,2026-06-15T17:07:31.492Z
株式会社エイム,1220001000240,,,,吉田 康志,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1220001000240,人事部 ご採用ご担当者様,,石川県金沢市戸水２丁目１４０番地,300,,1987,2026-06-15T17:07:31.495Z
株式会社金沢環境サービス公社,1220001002047,,,,石井 健一,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1220001002047,人事部 ご採用ご担当者様,,石川県金沢市御影町２３番１０号,188,,1957,2026-06-15T17:07:31.517Z
株式会社刊広社,1220001001734,,,,北川 淳,info@map.jp,0.4,,,http://map.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1220001001734,人事部 ご採用ご担当者様,住宅地図の制作・販売,石川県金沢市大手町１５番２６号,141,,1968,2026-06-15T17:07:31.519Z
明星電気株式会社,2010001007784,,,,池山 正隆,info@meisei.co.jp,0.4,,,http://www.meisei.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2010001007784,人事部 ご採用ご担当者様,気象観測機器・地震計等の気象・防災関連機器および衛生搭載の観測機器・ロケットへの搭載機器等の製造販売,群馬県伊勢崎市長沼町２２２３番地,331,,1938,2026-06-15T17:07:31.550Z
北話エンジニアリング株式会社,1220001002138,,,,滝 裕孝,info@hokuwa-eng.co.jp,0.4,,,http://www.hokuwa-eng.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1220001002138,人事部 ご採用ご担当者様,通信建設業（電話・インターネット回線工事、電柱・通信ケーブル敷設工事等） 土木工事業（通信・電気・ガス・水道等の地下設備,石川県金沢市観法寺町ろ１１番地,330,,1973,2026-06-15T17:07:31.551Z
太平ビルサービス株式会社,1220001003912,,,,狩野 伸彌,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1220001003912,人事部 ご採用ご担当者様,ビルメンテナンス業,石川県金沢市南町２番１号,1277,,1978,2026-06-15T17:07:31.566Z
石川日野自動車株式会社,1220001001008,,,,藤井 精二,info@ishikawa-hino.com,0.4,,,http://ishikawa-hino.com/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1220001001008,人事部 ご採用ご担当者様,日野自動車製トラック・バスの販売、修理等,石川県金沢市南森本町ヘ７５番地１,126,,1967,2026-06-15T17:07:31.577Z
株式会社ダスキンヘルスケア北陸,1220001004118,,,,道官 真人,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1220001004118,人事部 ご採用ご担当者様,医療施設のマネジメント,石川県野々市市稲荷２丁目１７６番地,378,,1992,2026-06-15T17:07:31.581Z
株式会社ジェスクホリウチ,1220001003210,,,,今井 秀夫,info@jesk.co.jp,0.4,,,https://www.jesk.co.jp,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1220001003210,人事部 ご採用ご担当者様,電気機械器具販売、関連設備工事、ＦＡシステム開発,石川県金沢市古府２丁目７４番地,233,,1938,2026-06-15T17:07:31.583Z
株式会社東洋設計,1220001004571,,,,大嶋 庸介,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1220001004571,人事部 ご採用ご担当者様,,石川県金沢市諸江町中丁２１２番地１,163,,1970,2026-06-15T17:07:31.593Z
株式会社石川トヨペットカローラ,1220001000991,,,,大森 一志,,0,,,https://www.ishikawatoyopetcorolla.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1220001000991,人事部 ご採用ご担当者様,・トヨタ車の新車販売 ・中古車販売 ・レクサス車の販売・整備　（レクサス金沢駅西） ・レクサス認定中古車販売　（レク,石川県金沢市浅野本町ロ１０４番地,566,,1956,2026-06-15T17:07:31.613Z
株式会社冨士タクシー,1220001005768,,,,塚本 泰央,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1220001005768,人事部 ご採用ご担当者様,,石川県金沢市御供田町ホ１７１番地２,378,,1982,2026-06-15T17:07:31.617Z
成瀬電気工事株式会社,1220001004869,,,,成瀬 亮太郎,info@narusedenki.co.jp,0.4,,,http://www.narusedenki.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1220001004869,人事部 ご採用ご担当者様,電気工事業,石川県金沢市問屋町２丁目１７番地,110,,1952,2026-06-15T17:07:31.619Z
北陸綜合警備保障株式会社,1220001006320,,,,久島 泰志,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1220001006320,人事部 ご採用ご担当者様,・警備業 ・高度管理医療機器等販売業、賃貸業業務 ・特定信書便事業,石川県金沢市松島１丁目４１番地,1450,,1969,2026-06-15T17:07:31.623Z
藤ビルメンテナンス株式会社,1220001005660,,,,齋藤 將人,info@fujibuil.co.jp,0.4,,,http://www.fujibuil.co.jp,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1220001005660,人事部 ご採用ご担当者様,廃棄物処理業及び建物管理・清掃業,石川県金沢市増泉１丁目１９番１３号,691,,1976,2026-06-15T17:07:31.623Z
金沢機工株式会社,1220001002039,,,,井上 英一郎,info@kanazawakiko.jp,0.4,,,http://www.kanazawakiko.jp,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1220001002039,人事部 ご採用ご担当者様,機械器具卸売　メカトロニクス専門商社,石川県金沢市無量寺町ハ３８番地２,110,,1969,2026-06-15T17:07:31.638Z
株式会社エオネックス,1220001006394,,,,市山 勉,info@chika.co.jp,0.4,,,https://www.chika.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1220001006394,人事部 ご採用ご担当者様,■温泉事業 ・温泉を利用する全ての人の歓びのために、温泉開発（温泉調査、掘削・設備工事、メンテナンス、省エネサービス）を,石川県金沢市東蚊爪町１丁目１９番地４,170,,1967,2026-06-15T17:07:31.641Z
ヨシダ印刷株式会社,1220001007401,,,,吉田 克也,info@yoshida-p.co.jp,0.4,,,https://www.yoshida-p.co.jp/company/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1220001007401,人事部 ご採用ご担当者様,印刷業,石川県金沢市御影町１９番１号,126,,1950,2026-06-15T17:07:31.647Z
株式会社室戸鉄工所,1220001012491,,,,室戸 眞吾,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1220001012491,人事部 ご採用ご担当者様,建設.産業機械アタッチメント、周辺機器、ブレーキＡｓｓｙ等 建設機械部品の受注製作,石川県小松市串町工業団地１番地３,119,,1964,2026-06-15T17:07:31.679Z
株式会社ディーシーコーポレーション,1220001018266,,,,中田 大輔,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1220001018266,人事部 ご採用ご担当者様,清掃業　ビルメンテナンス業,石川県金沢市北安江４丁目１８番６号,112,,2011,2026-06-15T17:07:31.725Z
株式会社トスネット北陸,1220001018687,,,,大家 守男,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1220001018687,人事部 ご採用ご担当者様,,石川県金沢市問屋町１丁目８５番地,265,,2012,2026-06-15T17:07:31.741Z
北陸鉄道株式会社,1220001006411,,,,小林 工,info@hokutetsu.co.jp,0.4,,,http://www.hokutetsu.co.jp,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1220001006411,人事部 ご採用ご担当者様,旅客運輸業,石川県金沢市広岡３丁目１番１号金沢パークビル１Ｆ,335,,,2026-06-15T17:07:31.761Z
株式会社西山産業,2220001000033,,,,西山 雄也,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2220001000033,人事部 ご採用ご担当者様,建設業 採石業,石川県白山市白峰チ２５番地,66,,1963,2026-06-15T17:07:31.770Z
武田商事株式会社,2220001000405,,,,武田 洋史,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2220001000405,人事部 ご採用ご担当者様,清掃業,石川県野々市市扇が丘８番４５号,197,,1994,2026-06-15T17:07:31.772Z
株式会社うつのみや,2220001001295,,,,宇都宮 元樹,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2220001001295,人事部 ご採用ご担当者様,小売・卸売業,石川県金沢市片町２丁目１番７号,61,,1920,2026-06-15T17:07:31.788Z
石川トヨタ自動車株式会社,2220001000990,,,,架谷 洋司,,0,,,https://www.ishikawatoyota.com/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2220001000990,人事部 ご採用ご担当者様,自動車販売及び整備・鈑金塗装,石川県金沢市御影町３番１号,267,,1941,2026-06-15T17:07:31.794Z
技研株式会社,1220001012871,,,,前波 将,info@giken-jpn.com,0.4,,,https://www.giken-jpn.com/csr,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1220001012871,人事部 ご採用ご担当者様,自動搬送、自動組付A'ssy機、マテハンシステム等の設計及び製作,石川県能美市下清水町３番地２,103,,1970,2026-06-15T17:07:31.802Z
国際警備保障株式会社,2220001002715,,,,宮本 克喜,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2220001002715,人事部 ご採用ご担当者様,警備業,石川県金沢市泉が丘１丁目１９番８号,213,,1969,2026-06-15T17:07:31.807Z
株式会社コスモテックス,2220001002756,,,,上杉 輝子,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2220001002756,人事部 ご採用ご担当者様,建物のメンテナンス,石川県金沢市間明町２丁目４番地,380,,1993,2026-06-15T17:07:31.813Z
常沢ビルサービス株式会社,2220001004348,,,,神林 政則,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2220001004348,人事部 ご採用ご担当者様,設備管理 (空調・衛生・電気設備・消防設備の保守管理) 清掃管理 (日常清掃、定期清掃、ガラス清掃、カーペット,石川県金沢市新神田５丁目２５番地１,150,,1978,2026-06-15T17:07:31.826Z
株式会社ダスキン北陸,2220001004117,,,,長田 信行,info@duskinhkr.com,0.4,,,https://duskinhkr.com/about/management/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2220001004117,人事部 ご採用ご担当者様,清掃用具レンタル・販売・清掃業 害虫駆除業 イベント企画・設営業 介護・福祉用具レンタル・販売業,石川県金沢市横川２丁目２４８番地,278,,1965,2026-06-15T17:07:31.836Z
株式会社みちのく銀行（閉鎖）,1420001000014,,,,頭取 藤澤 貴之,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1420001000014,人事部 ご採用ご担当者様,,青森県青森市勝田１丁目３番１号,1240,,,2026-06-15T17:07:31.839Z
長野ポンプ株式会社,2220001004793,,,,長野 幸浩,info@naganopump.co.jp,0.4,,,http://www.naganopump.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2220001004793,人事部 ご採用ご担当者様,消防ポンプ自動車製造及び販売、消防、防災用品の販売・工事及び保守管理　環境アセスメント用品の販売　医療機器等の販売,石川県金沢市浅野本町ロ１４５番地,71,,1959,2026-06-15T17:07:31.847Z
東洋警備保障株式会社,2220001004562,,,,上田 紘詩,info@tosec24.jp,0.4,,,http://www.tosec24.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2220001004562,人事部 ご採用ご担当者様,警備業,石川県金沢市小坂町西１２３番地,260,,1969,2026-06-15T17:07:31.849Z
ネッツトヨタ青森株式会社,1420001001689,,,,小野 大介,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1420001001689,人事部 ご採用ご担当者様,,青森県青森市合浦２丁目１９番３０号,135,,1968,2026-06-15T17:07:31.853Z
青森トヨペット株式会社,1420001000212,,,,大野 亮,info@aomoritoyopet.jp,0.4,,,https://www.aomoritoyopet.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1420001000212,人事部 ご採用ご担当者様,小売業,青森県青森市篠田３丁目１４番９号,345,,1954,2026-06-15T17:07:31.857Z
青森放送株式会社,1420001000261,,,,山本 恒太,info@rab.co.jp,0.4,,,https://www.rab.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1420001000261,人事部 ご採用ご担当者様,放送業,青森県青森市松森１丁目８番１号,131,,,2026-06-15T17:07:31.860Z
東北ビルサービス株式会社,1420001006192,,,,倉成 磨,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1420001006192,人事部 ご採用ご担当者様,ビルメンテナンス業 建築物環境衛生管理業務 空気環境測定業務、ビル清掃 ボイラー運転管理業務 電気・冷房・空調管理業務,青森県八戸市城下１丁目６番２号,120,,1986,2026-06-15T17:07:31.874Z
株式会社京谷電気,1420001005780,,,,高橋 誠,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1420001005780,人事部 ご採用ご担当者様,・電気工事 ・電気通信 ・発電所構内電気・計装工事 ・消防施設工事 ・再生可能エネルギー設備工事 ・機械器具設置工事,青森県八戸市北白山台２丁目８番２３号,60,,1958,2026-06-15T17:07:31.877Z
株式会社日専連ホールディングス,1420001004683,,,,木村 哲夫,info@nissenren-aomori.or.jp,0.4,,,https://www.nissenren-aomori.or.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1420001004683,人事部 ご採用ご担当者様,カードショッピング・ショッピングクレジット・カードキャッシング・各種ローン・ギフトカード,青森県青森市長島２丁目１８番６号,62,,2006,2026-06-15T17:07:31.877Z
株式会社シバタ医理科,1420001009105,,,,尾形 慎哉,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1420001009105,人事部 ご採用ご担当者様,,青森県弘前市大字高田３丁目７番地１,120,,1972,2026-06-15T17:07:31.898Z
株式会社ＩＣＣサービスセンター,2220001000603,,,,黒田 剛志,info@isc.co.jp,0.4,,,https://www.isc.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2220001000603,人事部 ご採用ご担当者様,◎ネットワークの設計・構築・施工・保守 ◎コンピュータ及び周辺機器の修理・保守 ◎情報システムの販売・導入・運用・保守,石川県白山市向島町１１００番地,76,,1987,2026-06-15T17:07:31.903Z
