企業名,法人番号,採用担当者名,役職,部署,代表者名,メール,メール確度,担当者確度,電話番号,公式URL,Tier,取得元媒体,根拠URL,架電呼称,業種,都道府県,従業員数,補助金,設立年,取得日
株式会社ニッスイ,1010001016860,,,,田中輝,info@nissui.co.jp,0.4,,,https://www.nissui.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001016860,人事部 ご採用ご担当者様,世界中の水産資源へのアクセスを通じ、漁業、養殖生産、加工による「水産品」の販売、冷凍食品、缶詰、フィッシュソーセージ等の,東京都港区西新橋１丁目３番１号,1505,,,2026-06-14T13:55:59.969Z
株式会社ミクニ,1010001008791,,,,生田久貴,info@mikuni.co.jp,0.4,,,https://www.mikuni.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001008791,人事部 ご採用ご担当者様,電子制御燃料噴射関連機器の製造・販売 気化器類、ポンプ類その他自動車部品の製造・販売 ガス制御機器の製造・販売 航空宇宙,東京都千代田区外神田６丁目１３番１１号,1627,,,2026-06-14T13:55:59.969Z
ジャパンプロテクション株式会社,1010001019236,,,,高山弘康,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001019236,人事部 ご採用ご担当者様,,東京都千代田区二番町５番７号,573,,1969,2026-06-14T13:55:59.988Z
株式会社ザイエンス,1010001017941,,,,田中順子,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001017941,人事部 ご採用ご担当者様,,東京都千代田区丸の内２丁目３番２号,200,,1931,2026-06-14T13:55:59.988Z
株式会社ＣＡＣ　Ｈｏｌｄｉｎｇｓ,1010001019335,,,,西森良太,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001019335,人事部 ご採用ご担当者様,,東京都中央区日本橋箱崎町２４番１号,1098,,,2026-06-14T13:55:59.990Z
住商エアロシステム株式会社,1010001020185,,,,上野智規,info@sc-aero.co.jp,0.4,,,https://www.sc-aero.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001020185,人事部 ご採用ご担当者様,航空機器、航空機用及び船舶用エンジン、宇宙衛星機器、車両、通信電子機器、レーダー、特機等の貿易、国内販売及び保守整備業務,東京都千代田区一ツ橋１丁目２番２号,167,,1982,2026-06-14T13:56:00.015Z
ミズホ株式会社,1010001007612,,,,根本裕司,info@mizuho.co.jp,0.4,,,https://www.mizuho.co.jp,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001007612,人事部 ご採用ご担当者様,医療器械・器具の製造・販売,東京都文京区本郷３丁目３０番１３号,594,,1939,2026-06-14T13:56:00.024Z
ソリッドコミュニケーション株式会社,1010001021349,,,,金子健吾,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001021349,人事部 ご採用ご担当者様,,東京都千代田区麹町５丁目３番３号麹町ＫＳスクエア５階,146,,1994,2026-06-14T13:56:00.027Z
株式会社第一管理代行,1010001021381,,,,古渡徹,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001021381,人事部 ご採用ご担当者様,,東京都千代田区神田三崎町２丁目１５番５号,290,,1966,2026-06-14T13:56:00.030Z
株式会社中央経済社ホールディングス,1010001022710,,,,山本憲央,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001022710,人事部 ご採用ご担当者様,,東京都千代田区神田神保町１丁目３５番地,69,,,2026-06-14T13:56:00.047Z
株式会社ティ・オー・エス,1010001023378,,,,小池敏英,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001023378,人事部 ご採用ご担当者様,システム設計、開発、管理及び運用サービスなど,東京都千代田区内神田３丁目１１番７号,133,,1973,2026-06-14T13:56:00.054Z
東洋計測器株式会社,1010001024129,,,,八巻秀次,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001024129,人事部 ご採用ご担当者様,,東京都千代田区外神田１丁目３番１２号,50,,1956,2026-06-14T13:56:00.073Z
東光電気工事株式会社,1010001024087,,,,山本隆洋,info@tokodenko.co.jp,0.4,,,http://www.tokodenko.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001024087,人事部 ご採用ご担当者様,・内線事業：建築電気設備、消防施設設備、情報通信設備の設計施工 ・外線事業：送電線、電車線、発・変電所、通信線、道路照明,東京都千代田区西神田１丁目４番５号,1323,,1947,2026-06-14T13:56:00.083Z
株式会社内藤一水社,1010001025135,,,,内藤好之,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001025135,人事部 ご採用ご担当者様,,東京都千代田区麹町３丁目２番地,107,,1947,2026-06-14T13:56:00.092Z
イー・アンド・エム株式会社,1010001010847,,,,岩城範彦,info@eandm.co.jp,0.4,,,http://www.eandm.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001010847,人事部 ご採用ご担当者様,ソフトウェア開発及び販売、サービスサポート,東京都千代田区麹町３丁目１番地１,368,,1979,2026-06-14T13:56:00.102Z
ＮＸ商事株式会社,1010001025515,,,,青木進,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001025515,人事部 ご採用ご担当者様,,東京都港区海岸１丁目１４番２２号,3136,,1958,2026-06-14T13:56:00.109Z
日信防災株式会社,1010001025449,,,,矢口孝仁,info@nissin-b.co.jp,0.4,,,http://www.nissin-b.co.jp,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001025449,人事部 ご採用ご担当者様,防災システム及び駐車場システムの設計・施工・販売・保守,東京都千代田区岩本町３丁目２番４号,156,,1989,2026-06-14T13:56:00.115Z
株式会社エフエム東京,1010001012439,,,,唐島夏生,info@tfm.co.jp,0.4,,,https://www.tfm.co.jp/company/profile/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001012439,人事部 ご採用ご担当者様,民間FM放送,東京都千代田区麹町１丁目７番地,124,,1970,2026-06-14T13:56:00.128Z
株式会社はとバスエージェンシー,1010001026819,,,,田中博昭,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001026819,人事部 ご採用ご担当者様,広告代理業 保険代理店 商事事業 人材派遣業 旅行業 中古バス売買業 警備業・メンテナンス,東京都千代田区丸の内１丁目９番１号,160,,1963,2026-06-14T13:56:00.130Z
株式会社野澤組,1010001026166,,,,野澤毅一郎,info@nosawa.co.jp,0.4,,,https://www.nosawa.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001026166,人事部 ご採用ご担当者様,貿易商社,東京都千代田区有楽町１丁目５番２号,168,,1944,2026-06-14T13:56:00.132Z
山崎金属産業株式会社,1010001031109,,,,山崎洋一郎,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001031109,人事部 ご採用ご担当者様,,東京都千代田区岩本町１丁目８番１１号,113,,,2026-06-14T13:56:00.170Z
株式会社共立メンテナンス,1010001014427,,,,中村幸治,info@kyoritsugroup.co.jp,0.4,,,http://www.kyoritsugroup.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001014427,人事部 ご採用ご担当者様,（1）学生寮・社員寮・ワンルームマンション事業 （2）ホテル事業 （3）シニアライフ事業 （4）その他前号に附帯する事業,東京都千代田区外神田２丁目１８番８号,4072,,1979,2026-06-14T13:56:00.170Z
株式会社読売アルスＡ,1010001031728,,,,高木典和,info@yomiuri-ag.co.jp,0.4,,,https://www.yomiuri-ag.co.jp/recruit/2026/diversity/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001031728,人事部 ご採用ご担当者様,新聞、雑誌、ラジオ、テレビ、折込、インターネット、その他の広告代理業務、各種催し物の企画、斡旋業務など,東京都千代田区富士見２丁目１番１２号,119,,1957,2026-06-14T13:56:00.194Z
株式会社ＪＰＦ,1010001033237,,,,渡辺俊太郎,info@jpf.co.jp,0.4,,,https://www.jpf.co.jp/about/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001033237,人事部 ご採用ご担当者様,（１）公営競技のトータルマネジメント （２）公営競技及びアマチュア競技の着順判定写真撮影業務 （３）審判業務用ＶＴＲの撮,東京都千代田区富士見２丁目４番１１号,685,,1957,2026-06-14T13:56:00.195Z
ＣＨＥＭＩＰＡＺ株式会社,1010001033609,,,,菅正道,,0,,,https://www.chemipaz.com/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001033609,人事部 ご採用ご担当者様,製紙用化学薬品の製造販売、印刷インキ用・記録材料用樹脂の製造販売,東京都中央区日本橋本町３丁目３番６号,479,,,2026-06-14T13:56:00.209Z
株式会社テレコムスクエア,1010001026918,,,,吉竹雄次,info@telecomsquare.net,0.4,,,https://www.telecomsquare.net/aboutus/ge_actionplan/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001026918,人事部 ご採用ご担当者様,情報通信サービス,東京都千代田区三番町８番地１,111,,1974,2026-06-14T13:56:00.219Z
株式会社内田洋行,1010001034730,,,,大久保昇,info@uchida.co.jp,0.4,,,http://www.uchida.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001034730,人事部 ご採用ご担当者様,【公共関連事業】 学校教育市場への教育機器・教材・コンテンツの製造・販売、ICTシステムの構築、学校空間デザイン・家具販,東京都中央区新川２丁目４番７号,1319,,1941,2026-06-14T13:56:00.226Z
株式会社岡三証券グループ,1010001034747,,,,新芝宏之,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001034747,人事部 ご採用ご担当者様,,東京都中央区日本橋室町２丁目２番１号,50,,,2026-06-14T13:56:00.240Z
三菱ＵＦＪファクター株式会社,1010001022149,,,,小川浩一,info@muf.bk.mufg.jp,0.4,,,https://www.muf.bk.mufg.jp/company/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001022149,人事部 ご採用ご担当者様,ファクタリング業務 代金回収代行業務 でんさい一括ファクタリング業務,東京都千代田区神田淡路町２丁目１０１番地,604,,1977,2026-06-14T13:56:00.246Z
株式会社資生堂,1010001034813,,,,藤原憲太郎,,0,,,https://corp.shiseido.com/jp/sustainability/labor/working.html,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001034813,人事部 ご採用ご担当者様,化粧品、業務用化粧品、石鹸、シャンプー、リンス、医薬品などの製造販売、輸出入,東京都中央区銀座７丁目５番５号,5159,,,2026-06-14T13:56:00.247Z
ＤＭ三井製糖株式会社,1010001034929,,,,森本卓,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001034929,人事部 ご採用ご担当者様,,東京都港区芝５丁目２６番１６号,52,,,2026-06-14T13:56:00.262Z
日清オイリオグループ株式会社,1010001034887,,,,久野貴久,info@nisshin-oillio.com,0.4,,,https://www.nisshin-oillio.com/company/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001034887,人事部 ご採用ご担当者様,油脂事業、加工食品・素材事業、ファインケミカル事業　等,東京都中央区新川１丁目２３番１号,1577,,,2026-06-14T13:56:00.269Z
Ｂｉｔｃｏｉｎ　Ｊａｐａｎ株式会社,1010001034953,,,,上杉隼士,info@hotta-marusho.co.jp,0.4,,,http://www.hotta-marusho.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001034953,人事部 ご採用ご担当者様,和装品、洋装品、寝装品、健康関連商材等と貴金属・宝石等の卸売販売 意匠撚糸の製造販売,東京都墨田区横網１丁目１０番５号,124,,,2026-06-14T13:56:00.277Z
株式会社松屋,1010001034945,,,,古屋毅彦,info@matsuya.com,0.4,,,http://www.matsuya.com/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001034945,人事部 ご採用ご担当者様,百貨店業,東京都中央区銀座３丁目６番１号,818,,1919,2026-06-14T13:56:00.284Z
株式会社ジェイエイシーリクルートメント,1010001019483,,,,兼田崎ひろみ,,0,,,https://corp.jac-recruitment.jp/csr/diversity/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001019483,人事部 ご採用ご担当者様,人材紹介事業,東京都千代田区神田神保町１丁目１０５番地神保町三井ビルディング１４階,2188,,1988,2026-06-14T13:56:00.287Z
日本紙パルプ商事株式会社,1010001034978,,,,渡辺昭彦,info@kamipa.co.jp,0.4,,,http://www.kamipa.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001034978,人事部 ご採用ご担当者様,1.紙、パルプ、古紙の売買および輸出入 2.包装材料の売買および輸出入 3.燃料類の売買および輸出入 4.化成品、工業薬,東京都中央区勝どき３丁目１２番１号フォアフロントタワー,900,,1916,2026-06-14T13:56:00.290Z
わかもと製薬株式会社,1010001035010,,,,五十嵐新,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001035010,人事部 ご採用ご担当者様,,東京都中央区日本橋本町２丁目２番２号,286,,,2026-06-14T13:56:00.297Z
日本パーカライジング株式会社,1010001034994,,,,青山雅之,info@parker.co.jp,0.4,,,http://www.parker.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001034994,人事部 ご採用ご担当者様,あらゆる素材を錆や腐食から守る「表面処理薬剤」の製造・販売。 金属の耐摩耗性を向上させる熱処理加工・防錆処理加工。 表面,東京都中央区日本橋２丁目１６番８号,1022,,1928,2026-06-14T13:56:00.299Z
東海東京フィナンシャル・ホールディングス株式会社,1010001034202,,,,佐藤昌孝,info@tokaitokyo-fh.jp,0.4,,,https://www.tokaitokyo-fh.jp/sustainability/materiality-4/diversity/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001034202,人事部 ご採用ご担当者様,東海東京証券を中心とする東海東京フィナンシャル・グループの持株会社。,東京都中央区日本橋２丁目５番１号,2800,,,2026-06-14T13:56:00.327Z
株式会社教映社,1120001000341,,,,佐藤一男,info@kyoeisha.com,0.4,,,https://kyoeisha.com/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1120001000341,人事部 ご採用ご担当者様,映像機器のレンタルと販売,大阪府大阪市旭区大宮４丁目１５番６号,156,,1967,2026-06-14T13:56:00.345Z
シャープマーケティングジャパン株式会社,1040001008905,,,,大山貞,,0,,,https://smj.jp.sharp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1040001008905,人事部 ご採用ご担当者様,?システム機器、業務用ディスプレイ、ドキュメント機器、オフィスサプライ品等の販売事業 ?コンサルティング、システム企画・,大阪府八尾市北亀井町３丁目１番７２号,2849,,1977,2026-06-14T13:56:00.349Z
株式会社かんこう,1120001007221,,,,谷口智之,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1120001007221,人事部 ご採用ご担当者様,,大阪府大阪市城東区野江１丁目１２番８号,166,,1953,2026-06-14T13:56:00.377Z
近代警備保障株式会社,1120001007337,,,,松村治彦,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1120001007337,人事部 ご採用ご担当者様,,大阪府大阪市都島区片町２丁目７番１９号,330,,1974,2026-06-14T13:56:00.381Z
加陽印刷株式会社,1120001007205,,,,加福太郎,info@kayo.co.jp,0.4,,,https://kayo.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1120001007205,人事部 ご採用ご担当者様,印刷業,大阪府大阪市都島区高倉町３丁目５番２８号,97,,1964,2026-06-14T13:56:00.381Z
平和不動産株式会社,1010001034920,,,,土本清幸,info@heiwa-net.co.jp,0.4,,,https://www.heiwa-net.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001034920,人事部 ご採用ご担当者様,不動産業,東京都中央区日本橋兜町１番１０号,105,,,2026-06-14T13:56:00.383Z
ＳＡＮＥＩ株式会社,1120001012428,,,,西岡利明,info@sanei.ltd,0.4,,,https://www.sanei.ltd/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1120001012428,人事部 ご採用ご担当者様,水道器具製造販売,大阪府大阪市東成区玉津１丁目１２番２９号,845,,,2026-06-14T13:56:00.405Z
ＦＣＭ株式会社,1120001011859,,,,川森晋治,info@fc-m.co.jp,0.4,,,http://www.fc-m.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1120001011859,人事部 ご採用ご担当者様,・電子部品の加工、電子機器用部品ならびに半導体用部材の製造および販売 ・電線用芯線ならびにその他線材の製造および販売 ・,大阪府大阪市東成区神路３丁目８番３６号,346,,,2026-06-14T13:56:00.408Z
株式会社ぐるなび,1010001034565,,,,杉原章郎,,0,,,https://corporate.gnavi.co.jp/profile/sustainability/diversity/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001034565,人事部 ご採用ご担当者様,パソコン・携帯電話などによる飲食店のインターネット検索サービスその他関連する事業,東京都千代田区有楽町１丁目１番２号,888,,1989,2026-06-14T13:56:00.441Z
永大化工株式会社,1120001019704,,,,浦義則,info@eidaikako.co.jp,0.4,,,http://www.eidaikako.co.jp,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1120001019704,人事部 ご採用ご担当者様,プラスチック成形品製造・販売,大阪府大阪市平野区平野北２丁目３番９号,145,,,2026-06-14T13:56:00.461Z
アイコム株式会社,1120001019349,,,,中岡洋詞,info@icom.co.jp,0.4,,,https://www.icom.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1120001019349,人事部 ご採用ご担当者様,無線通信機器、ネットワーク機器等の製造、販売,大阪府大阪市平野区加美鞍作１丁目６番１９号,689,,1964,2026-06-14T13:56:00.464Z
ホシザキ京阪株式会社,1120001025289,,,,鈴木美紀,info@hoshizaki-keihan.co.jp,0.4,,,https://www.hoshizaki-keihan.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1120001025289,人事部 ご採用ご担当者様,業務用厨房機器の販売及びメンテナンス,大阪府大阪市中央区内本町２丁目２番１２号,588,,1969,2026-06-14T13:56:00.480Z
大日本塗料株式会社,1120001026551,,,,里隆幸,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1120001026551,人事部 ご採用ご担当者様,各種塗料製造・販売,大阪府大阪市中央区南船場１丁目１８番１１号,655,,,2026-06-14T13:56:00.481Z
