[2026-07-01T13:43:12.890Z] テック源: github=true connpass=false
[2026-07-01T13:43:12.915Z] 対象 651社（既存 0社スキップ）
[2026-07-01T13:43:15.127Z]   5/651（氏名行 累計 0）
[2026-07-01T13:46:14.652Z]   520/651（氏名行 累計 4）
[2026-07-01T13:46:15.888Z]   525/651（氏名行 累計 4）
[2026-07-01T13:46:17.145Z]   530/651（氏名行 累計 4）
[2026-07-01T13:46:18.781Z]   535/651（氏名行 累計 4）
[2026-07-01T13:46:20.137Z]   540/651（氏名行 累計 4）
[2026-07-01T13:46:21.435Z]   545/651（氏名行 累計 4）
[2026-07-01T13:46:23.318Z]   550/651（氏名行 累計 4）
[2026-07-01T13:46:24.636Z]   555/651（氏名行 累計 4）
[2026-07-01T13:46:25.959Z]   560/651（氏名行 累計 4）
[2026-07-01T13:46:27.256Z]   565/651（氏名行 累計 4）
[2026-07-01T13:46:28.512Z]   570/651（氏名行 累計 4）
[2026-07-01T13:46:30.329Z]   575/651（氏名行 累計 4）
[2026-07-01T13:46:31.550Z]   580/651（氏名行 累計 4）
[2026-07-01T13:46:33.519Z]   585/651（氏名行 累計 4）
[2026-07-01T13:46:34.787Z]   590/651（氏名行 累計 4）
[2026-07-01T13:46:36.411Z]   595/651（氏名行 累計 4）
[2026-07-01T13:46:38.096Z]   600/651（氏名行 累計 4）
[2026-07-01T13:46:39.726Z]   605/651（氏名行 累計 4）
[2026-07-01T13:46:41.914Z]   610/651（氏名行 累計 4）
[2026-07-01T13:46:43.849Z]   615/651（氏名行 累計 4）
[2026-07-01T13:46:45.118Z]   620/651（氏名行 累計 4）
[2026-07-01T13:46:47.139Z]   625/651（氏名行 累計 5）
[2026-07-01T13:46:49.374Z]   630/651（氏名行 累計 5）
[2026-07-01T13:46:51.343Z]   635/651（氏名行 累計 5）
[2026-07-01T13:46:53.148Z]   640/651（氏名行 累計 5）
[2026-07-01T13:46:55.230Z]   645/651（氏名行 累計 5）
[2026-07-01T13:46:56.525Z]   650/651（氏名行 累計 5）
[2026-07-01T13:46:56.782Z] 完了: 氏名 5件 / 3社（出力 C:\Users\shofu\Desktop\saiyo_tantousha_poc\poc\sources\T-tech-names.csv）
