企業名,法人番号,品質スコア,優先度,属性ランク,intent★,新卒フラグ,系統,取得元媒体,起点系統,起点ソース,ソース数,トリガー,採用担当者名,役職,部署,代表者名,メール,メール確度,担当者確度,電話番号,公式URL,業種,都道府県,従業員数,設立年,補助金,ICP適合,採用インテント,データ品質,タイミング,インテント根拠,スコア根拠,取得日,掲載媒体,掲載媒体数,採用予定人数,採用ページ有無,採用ページURL,新卒言及,職種,外部採用媒体,根拠,プレスリリース,採用ページ更新,インテント,辞退シグナル
株式会社イボキン,1140001038603,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,高橋克実,,,,,https://www.ibokin.co.jp,"1、鉄、非鉄スクラップ収集運搬、加工、リサイクル
2、一般廃棄物の収集運搬、中間処理
3、産業廃棄物の収集運搬、中間処理",兵庫県たつの市揖保川町正條３７９番地,150,1984,,76,46,25,70,実シグナル,ICP:規模150=スイート / ICP:設立42年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.ibokin.co.jp/recruit/infomation/career/,○,営業/事務/施工管理,,top-anchor,,,,
株式会社エージェンシーアシスト,1130001013945,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,増井祐介,,,,,https://www.agency-assist.co.jp/recruit/,産業用機械部品の調達支援および検査,京都府久世郡久御山町佐古外屋敷６６番地の１,150,1994,,76,46,25,70,実シグナル,ICP:規模150=スイート / ICP:設立32年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.agency-assist.co.jp/recruit/career-form/,○,営業,instagram.com,top-anchor,,,,
船橋興産株式会社,1040001019365,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,高橋政行,,,,,https://funabashikousan.co.jp/,廃棄物処理業,千葉県船橋市高瀬町３１番地２,110,1975,,76,46,25,70,実シグナル,ICP:規模110=スイート / ICP:設立51年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://funabashikousan.co.jp/recruit/midcareer.php,○,営業,,top-anchor,,,,
株式会社ＮＴＴデータ・エム・シー・エス,1040001036848,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,飯塚浩,,,,,https://www.mcserve.co.jp/,"・コンピュータとその関連機器および情報通信ネットワーク利用によるデータ処理に関する受託業務
・コンピュータとその関連機器",千葉県松戸市松戸２０５９番地,116,1973,,76,46,25,70,実シグナル,ICP:規模116=スイート / ICP:設立53年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.mcserve.co.jp/recruit/,○,エンジニア/営業/企画/販売,,top-anchor,,,,
株式会社東証コンピュータシステム,1010001051437,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,竹林義修,,,,,https://www.tcs.co.jp/,"■金融証券ソリューション
■IR支援サービス
■ITアウトソーシング
■情報セキュリティソリューション
■オフィスソリュ",東京都港区虎ノ門５丁目１３番１号虎ノ門４０ＭＴビル８階,171,1961,,76,46,25,70,実シグナル,ICP:規模171=スイート / ICP:設立65年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.tcs.co.jp/recruit/new/,○,営業/総合職/技術職/介護,,top-anchor,,,,
株式会社ヨネイ,1010001060074,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,大田健治,,,,,https://www.yonei.co.jp/ryouritsu.html,機械器具卸売業,東京都中央区銀座２丁目８番２０号,148,1920,,76,46,25,70,実シグナル,ICP:規模148=スイート / ICP:設立106年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.yonei.co.jp/recruit/entry.html,○,営業,,top-anchor,,,,
グローブシップ総合管理株式会社,1010001062434,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,新井一広,,,,,https://www.gs-tm.jp/,総合ビル管理,東京都港区芝４丁目１１番３号,150,1973,,76,46,25,70,実シグナル,ICP:規模150=スイート / ICP:設立53年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.gs-tm.jp/recruit/,○,,,top-anchor,,,,
商船三井テクノトレード株式会社,1010001074512,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,福島正男,,,,,https://www.motech.co.jp/,船舶用の燃料油・潤滑油の販売、各種機器・資材・部品・通信関連機材の販売など,東京都千代田区神田錦町２丁目２番地１,182,1948,,76,46,25,70,実シグナル,ICP:規模182=スイート / ICP:設立78年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.motech.co.jp/recruit/,○,営業/事務/企画/販売,job.mynavi.jp,top-anchor,,,,
株式会社ＲＤサポート,1010001078018,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,大澤裕樹,,,,,https://www.rdsupport.co.jp/,"■労働者派遣事業
■有料職業紹介事業
■シェアリング事業",東京都中央区銀座６丁目２番１号,250,1998,,76,46,25,70,実シグナル,ICP:規模250=スイート / ICP:設立28年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.rdsupport.co.jp/recruit/,○,営業/マーケティング/コンサル,rdsupport-tenshoku.jp,top-anchor,,,,
株式会社アビリブ,1180001056163,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,的場弘明,,,,,http://www.ab-net.co.jp/,ＷＥＢ制作事業、システム開発事業、ＡＳＰ（予約システム）事業、モバイルソリューション事業、ＷＥＢコンサルティング事業他,愛知県名古屋市中区栄５丁目２８番１２号名古屋若宮ビル１１階,168,1999,,76,46,25,70,実シグナル,ICP:規模168=スイート / ICP:設立27年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.ab-net.co.jp/recruit,○,エンジニア/営業/企画/デザイナー/マーケティング,,top-anchor,,,,
株式会社秀光,1020001077472,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,佐久間悠太,,,,,http://www.shukoh.co.jp/,家具類製造・加工・販売,神奈川県川崎市幸区堀川町５８０番地,120,1947,,76,46,25,70,実シグナル,ICP:規模120=スイート / ICP:設立79年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.shukoh.co.jp/recruit/,○,エンジニア/企画,,top-anchor,,,,
株式会社クエリー,1021001019662,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,伊藤隆幸,,,,,https://www.query.jp/health/,"情報処理サービス（ソフトウェア開発および受託）
コンピュータの導入および利用に関するコンサルティング
コンピュータ・通信",神奈川県横浜市西区みなとみらい４丁目６番２号みなとみらいグランドセントラルタワー４階,130,1996,,76,46,25,70,実シグナル,ICP:規模130=スイート / ICP:設立30年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.query.jp/recruit/,○,事務/コンサル,,top-anchor,,,,
三井不動産リアルティ札幌株式会社,2430001020480,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,梅光伸行,,,,,http://www.mf-realty.jp/sapporo/,"（１）個人向け不動産仲介事業
　主に個人に対する住宅、土地などの仲介・コンサルティング
（２）法人向け不動産仲介事業",北海道札幌市中央区北二条西４丁目１番地,168,1993,,76,46,25,70,実シグナル,ICP:規模168=スイート / ICP:設立33年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.mf-realty.jp/recruit/shinsotsu/index.html,○,,instagram.com,top-anchor,,,,
札幌日信電子株式会社,2430001020233,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,田中弘之,,,,,http://www.sapporo-nisshin.co.jp/,"■信号機器、情報制御機器の製造、販売、設置ならびに保守・ 駅務システムの保守 
  　　・改札機・券売機・精算機・その他",北海道札幌市豊平区月寒東四条８丁目６番５号,111,1970,,76,46,25,70,実シグナル,ICP:規模111=スイート / ICP:設立56年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.sapporo-nisshin.co.jp/recruit/,○,技術職/企画/販売,,top-anchor,,,,
ネクスト・ワン株式会社,1140001043264,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,新藤英治,,,,,https://www.next-1.co.jp/,各種高圧ガス卸販売,兵庫県加古川市加古川町粟津８０５番地の３,200,1951,,76,46,25,70,実シグナル,ICP:規模200=スイート / ICP:設立75年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.next-1.co.jp/recruit/,○,営業/事務,,top-anchor,,,,
株式会社システムリサーチ,1140001056258,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,山田良作,,,,,https://www.sr-co.co.jp/about/wlb.html,ソフトウェア開発・機器販売,兵庫県豊岡市日高町国分寺１５８番地１,126,1985,,76,46,25,70,実シグナル,ICP:規模126=スイート / ICP:設立41年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.sr-co.co.jp/recruit/,○,エンジニア/営業/事務/介護/コンサル,,top-anchor,,,,
株式会社日新システムズ,2130001018398,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,永井秀明,,,,,https://www.co-nss.co.jp/company/,"(1) 制御系・組込系ソフトウェアの受託開発
(2) ソフトウェアライセンスの販売
(3) ＥＭＳ関連機器、ネットワーク",京都府京都市下京区堀川通綾小路下る綾堀川町２９３番地の１,223,1984,,76,46,25,70,実シグナル,ICP:規模223=スイート / ICP:設立42年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.co-nss.co.jp/recruit/,○,エンジニア/営業/技術職,,top-anchor,,,,
サイレックス・テクノロジー株式会社,2130001037373,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,三浦暢彦,,,,,http://www.silex.jp/,ネットワーク・ワイヤレス技術を活かした製品の開発・製造・販売,京都府相楽郡精華町光台２丁目３番地１,245,1973,,76,46,25,70,実シグナル,ICP:規模245=スイート / ICP:設立53年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.silex.jp/recruit,○,エンジニア,,top-anchor,,,,
株式会社奥井組,2030001026824,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,奥井祐介,,,,,https://okuigumi.co.jp/,"運輸業
建設業（建築・土木等）
機械設置業
物流業",埼玉県入間市新光１９１番地１,180,1966,,76,46,25,70,実シグナル,ICP:規模180=スイート / ICP:設立60年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://okuigumi.co.jp/saiyo-career,○,営業,,top-anchor,,,,
東日本イワタニガス株式会社,2010401057116,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,上田恭久,,,,,https://www.hig-iwatani.co.jp/,高圧ガス等の卸売業,千葉県市川市塩浜２丁目１７番地,228,2005,,76,46,25,70,実シグナル,ICP:規模228=スイート / ICP:設立21年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.hig-iwatani.co.jp/company_recruit.html,○,営業/事務,,top-anchor,,,,
日本リック株式会社,1010001101679,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,日高一隆,,,,,https://www.nipponrick.co.jp/,人材サービス業、福祉介護事業,東京都千代田区飯田橋４丁目８番１３号,210,1984,,76,46,25,70,実シグナル,ICP:規模210=スイート / ICP:設立42年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://recruit.nipponrick.co.jp/,○,介護,recruit.nipponrick.co.jp/my-career.jp,common-path,,,,
株式会社セントラルユニ,1010001103857,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,河村将之,,,,,http://www.central-uni.co.jp/,医療設備機器の製造及び販売,東京都千代田区西神田２丁目３番１６号,221,1951,,76,46,25,70,実シグナル,ICP:規模221=スイート / ICP:設立75年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://corporate.central-uni.co.jp/news/20250306/,○,,central-uni.co.jp/instagram.com,top-anchor,,,,
三機テクノサポート株式会社,1010001116842,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,朝日義之,,,,,http://www.sanki.co.jp/sts/,建築設備工事業,東京都中央区明石町８番１号,231,1980,,76,46,25,70,実シグナル,ICP:規模231=スイート / ICP:設立46年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.sanki.co.jp/sts/recruit/entry/,○,,,top-anchor,,,,
サンライズ・エンジニアリング株式会社,1010001123335,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,馬場誉一,,,,,https://sec-sunrise.co.jp/,電気工事業、電気通信工事業,東京都中央区日本橋小舟町２番９号,171,1980,,76,46,25,70,実シグナル,ICP:規模171=スイート / ICP:設立46年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://sec-sunrise.co.jp/saiyou/saiyou_chuto/,○,エンジニア/営業/企画/販売,,top-anchor,,,,
ダイキンＭＲエンジニアリング株式会社,1120001133315,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,鶴田幸大,,,,,https://www.dmre.daikin.co.jp/,"船舶用空調装置エンジニアリング
船舶用冷凍装置エンジニアリング",大阪府大阪市淀川区西中島５丁目５番１５号,127,2008,,76,46,25,70,実シグナル,ICP:規模127=スイート / ICP:設立18年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.dmre.daikin.co.jp/recruit/,○,エンジニア/営業/企画,,top-anchor,,,,
大和機工株式会社,1180001092588,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,小森谷尚久,,,,,http://www.daiwakiko.co.jp/,建設機械・産業機械・電子機器等の製造、販売、修理、リース,愛知県大府市梶田町１丁目１７１番地,180,1954,,76,46,25,70,実シグナル,ICP:規模180=スイート / ICP:設立72年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.daiwakiko.co.jp/recruit,○,エンジニア/営業/技術職/施工管理/販売,,top-anchor,,,,
国際自動車株式会社,2020001012817,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,吾妻伸之,,,,,https://www.km-group.co.jp/company/group.php,一般乗用旅客自動車運送事業,神奈川県横浜市南区六ツ川３丁目１３番地の６,223,1957,,76,46,25,70,実シグナル,ICP:規模223=スイート / ICP:設立69年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.km-group.co.jp/csr/mid-career-recruitment/,○,,km-recruit.jp,top-anchor,,,,
株式会社渡商会,2020001024960,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,河西紀男,,,,,http://www.watari.co.jp/,"1．高圧ガス、化学品、関連機械機器、石油類の販売
2．設備工事の設計、施工
3．ガス関連設備の開発・設計・施工・保守管理",神奈川県横浜市神奈川区子安通２丁目２３４番地,151,1947,,76,46,25,70,実シグナル,ICP:規模151=スイート / ICP:設立79年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.watari.co.jp/recruit,○,エンジニア/営業/総合職/技術職/施工管理,,top-anchor,,,,
