企業名,採用担当者名,代表者名,架電宛名,役職,公式URL,業種,都道府県,電話番号,上場,設立,取得元,根拠URL
有限会社ライラクス,,安井義一郎,安井義一郎 様,,https://www.laylax.com/LayLax,製造業,大阪府,06-6785-0880,未上場,2003,PR TIMES,https://prtimes.jp/main/html/rd/p/000000165.000070919.html
株式会社YOCABITO,,菅野祐介,菅野祐介 様,,https://corp.yocabito.co.jp/,商業（卸売業、小売業）,：岐阜県,,未上場,2008,PR TIMES,https://prtimes.jp/main/html/rd/p/000000127.000141100.html
公益社団法人日本観光振興協会,,菰田正信,菰田正信 様,,https://www.nihon-kankou.or.jp/home/,財団法人・社団法人・宗教法人,東京都,03-6435-8331,未上場,1964,PR TIMES,https://prtimes.jp/main/html/rd/p/000000116.000059941.html
東洋建設株式会社,東洋会,中村龍由,東洋会 様,採用,https://www.toyo-const.co.jp/,建設業,東京都,03-6361-5450,未上場,1929,PR TIMES,https://prtimes.jp/main/html/rd/p/000000100.000127007.html
株式会社メディアオーパスプラス,,竹森勝俊,竹森勝俊 様,,http://www.mediaopusplus.com/,情報通信,：兵庫県,078-222-1311,未上場,2017,PR TIMES,https://prtimes.jp/main/html/rd/p/000000084.000023874.html
株式会社モンテール,,鈴木徹哉,鈴木徹哉 様,,http://www.monteur.co.jp/,製造業,：埼玉県,048-994-2300,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000079.000005136.html
株式会社エムフロ,,北脇,北脇 様,,https://www.craudia.com/,情報通信,東京都,,未上場,2004,PR TIMES,https://prtimes.jp/main/html/rd/p/000000077.000005714.html
株式会社FOOLS,,金丸拓矢,金丸拓矢 様,,https://www.fools-inc.com/,商業（卸売業、小売業）,東京都,03-6908-9966,未上場,2019,PR TIMES,https://prtimes.jp/main/html/rd/p/000000070.000047131.html
アイパークインスティチュート株式会社,,藤本利夫,藤本利夫 様,,,サービス業,神奈川県,,未上場,2022,PR TIMES,https://prtimes.jp/main/html/rd/p/000000062.000118829.html
株式会社シーズ・ファクトリー,,神谷アントニオ,神谷アントニオ 様,,https://cs-factory.com,情報通信,東京都,03-5562-0841,未上場,1990,PR TIMES,https://prtimes.jp/main/html/rd/p/000000028.000035056.html
株式会社KTXアーキラボ,,松本哲哉,松本哲哉 様,,https://ktx.space/,建設業,東京都,079-296-3696,未上場,2024,PR TIMES,https://prtimes.jp/main/html/rd/p/000000023.000141846.html
一般社団法人不動産クラウドファンディング協会,,横田大造,横田大造 様,,,財団法人・社団法人・宗教法人,東京都,,未上場,2023,PR TIMES,https://prtimes.jp/main/html/rd/p/000000021.000128173.html
TITAN CONTENT株式会社,,ハン,ハン 様,,https://thetitan.xyz,サービス業,東京都,,未上場,2025,PR TIMES,https://prtimes.jp/main/html/rd/p/000000008.000184970.html
THE J.V.株式会社,,小磯卓也,小磯卓也 様,,,サービス業,東京都,080-4198-3989,未上場,2015,PR TIMES,https://prtimes.jp/main/html/rd/p/000000007.000130636.html
辰巳出版株式会社,,廣瀬和二,廣瀬和二 様,,https://tg-net.co.jp/,情報通信,愛知県,03-5931-5920,未上場,1967,PR TIMES,https://prtimes.jp/main/html/rd/p/000000568.000093966.html
自遊人倶楽部,,宗貴彦,宗貴彦 様,,,商業（卸売業、小売業）,神奈川県,080-2073-0858,未上場,2022,PR TIMES,https://prtimes.jp/main/html/rd/p/000000005.000165567.html
株式会社IR Robotics,,名金成柱,名金成柱 様,,https://ir-robotics.co.jp/,サービス業,東京都,03-6772-8482,未上場,2013,PR TIMES,https://prtimes.jp/main/html/rd/p/000000272.000054393.html
株式会社Ballista,,中川貴登,中川貴登 様,,https://ballista.co.jp/,サービス業,東京都,03-3258-2055,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000041.000115713.html
GMOあおぞらネット銀行株式会社,,金子岳人,金子岳人 様,,https://gmo-aozora.com/,金融・保険業,東京都,,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000342.000034650.html
株式会社西武・プリンスホテルズワールドワイド,,金田佳季,金田佳季 様,,https://www.princehotels.co.jp/,サービス業,：長野県,03-5928-1111,,2021,PR TIMES,https://prtimes.jp/main/html/rd/p/000003805.000024668.html
株式会社KADOKAWA,,夏野剛,夏野剛 様,,https://group.kadokawa.co.jp/,情報通信,東京都,,東証プライム資本,2014,PR TIMES,https://prtimes.jp/main/html/rd/p/000019623.000007006.html
株式会社ぐるなび,,杉原章郎,杉原章郎 様,,http://www.gnavi.co.jp/,情報通信,東京都,03-6744-6463,東証スタンダード,1989,PR TIMES,https://prtimes.jp/main/html/rd/p/000001635.000001511.html
株式会社gumi,,川本寛之,川本寛之 様,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000232.000042656.html
株式会社TSIホールディングス,,下地毅,下地毅 様,,https://www.tsi-holdings.com/,商業（卸売業、小売業）,東京都,03-5785-6400,東証プライム資本,2014,PR TIMES,https://prtimes.jp/main/html/rd/p/000001459.000009786.html
エン株式会社,,越智通勝,越智通勝 様,,http://corp.en-japan.com/,サービス業,東京都,03-3342-4506,東証プライム資本,2000,PR TIMES,https://prtimes.jp/main/html/rd/p/000001234.000000725.html
スカイストーン株式会社,,大原泰裕,大原泰裕 様,,,,大阪府,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000012.000149267.html
がばいAIコンサルティング株式会社,,,,,,,：佐賀県,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000006.000155883.html
乾産業株式会社,,乾亮介,乾亮介 様,,https://inui-sangyo.co.jp/,商業（卸売業、小売業）,大阪府,072-996-3339,未上場,1965,PR TIMES,https://prtimes.jp/main/html/rd/p/000000005.000155910.html
Shants株式会社,,菊地崇,菊地崇 様,,,商業（卸売業、小売業）,東京都,090-5349-5601,未上場,2025,PR TIMES,https://prtimes.jp/main/html/rd/p/000000002.000166943.html
Biz Architects株式会社,,大江真揮人,大江真揮人 様,,https://biz-architects.co.jp/,サービス業,東京都,090-7249-7362,未上場,2023,PR TIMES,https://prtimes.jp/main/html/rd/p/000000001.000186031.html
株式会社クリーク・アンド・リバー社,,黒崎淳,黒崎淳 様,,https://www.cri.co.jp,サービス業,東京都,03-4550-0008,東証プライム資本,1990,PR TIMES,https://prtimes.jp/main/html/rd/p/000004904.000003670.html
株式会社Elith,,,,,https://www.elith.ai/,情報通信,東京都,,未上場,2022,PR TIMES,https://prtimes.jp/main/html/rd/p/000000169.000121022.html
株式会社Scale Technology,,,,,,,広島県,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000008.000174246.html
スターシーズ株式会社,,鈴木雅順,鈴木雅順 様,,https://starseeds.co.jp/ir/,商業（卸売業、小売業）,東京都,03-6721-5891,東証スタンダード,1989,PR TIMES,https://prtimes.jp/main/html/rd/p/000000064.000088876.html
Fotographer AI株式会社,,,,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000029.000055274.html
株式会社トレプロ,,金山,金山 様,,https://tre-pro.co.jp/,情報通信,東京都,03-4400-6733,未上場,2025,PR TIMES,https://prtimes.jp/main/html/rd/p/000000008.000178230.html
株式会社東日本放送,,藤ノ木正哉,藤ノ木正哉 様,,https://www.khb-tv.co.jp/,サービス業,では、県,022-304-5005,未上場,1975,PR TIMES,https://prtimes.jp/main/html/rd/p/000000170.000140544.html
国際情報マネジメント有限会社,,瀬尾和仁,瀬尾和仁 様,,https://www.challenge-plus.jp/,情報通信,東京都,0422-72-8055,未上場,1990,PR TIMES,https://prtimes.jp/main/html/rd/p/000000103.000013314.html
株式会社22世紀アート,,,,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000016.000174581.html
スウォッチグループジャパン株式会社　ブレゲ事業本部,,ハイディシュ,ハイディシュ 様,,https://www.breguet.com/jp,商業（卸売業、小売業）,東京都,03-6254-7171,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000049.000089724.html
ドットアンドノード株式会社,,稲垣達也,稲垣達也 様,,https://dot-node.com/,サービス業,（静岡県,050-5473-6272,未上場,2023,PR TIMES,https://prtimes.jp/main/html/rd/p/000000013.000145212.html
野口観光マネジメント株式会社,,野口和秀,野口和秀 様,,https://www.noguchi-g.com/,飲食店・宿泊業,北海道,0143-84-2350,未上場,2003,PR TIMES,https://prtimes.jp/main/html/rd/p/000002029.000019483.html
GO株式会社,,,,,,,,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000361.000030664.html
株式会社enish,,安徳孝平,安徳孝平 様,,http://www.enish.com/,情報通信,東京都,03-6447-4020,東証1部資本金2,2009,PR TIMES,https://prtimes.jp/main/html/rd/p/000001103.000012086.html
株式会社HYBE JAPAN,,,,,https://hybecorp.com/jpn,サービス業,,,未上場,2017,PR TIMES,https://prtimes.jp/main/html/rd/p/000000721.000045862.html
株式会社DRESS DESIGN WORKS,,鎌倉圭,鎌倉圭 様,,https://d-d-w.net/company/index.html,商業（卸売業、小売業）,東京都,06-6485-8835,未上場,2008,PR TIMES,https://prtimes.jp/main/html/rd/p/000000024.000174048.html
株式会社アイベック,,,,,,情報通信,：福岡県,,未上場,1981,PR TIMES,https://prtimes.jp/main/html/rd/p/000000259.000042380.html
株式会社スムーズ,,小泉,小泉 様,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000015.000058784.html
株式会社　学研ホールディングス,,宮原博昭,宮原博昭 様,,https://www.gakken.co.jp/,情報通信,東京都,03-6431-1001,東証プライム資本,1947,PR TIMES,https://prtimes.jp/main/html/rd/p/000009143.000002535.html
株式会社エフエム東京,,唐島夏生,唐島夏生 様,,https://www.tfm.co.jp/,情報通信,東京都,03-3221-0080,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000003890.000004829.html
株式会社AbemaTV,,藤田晋,藤田晋 様,,https://abema.tv/,情報通信,東京都,,未上場,2015,PR TIMES,https://prtimes.jp/main/html/rd/p/000003482.000064643.html
株式会社東京ニュース通信社,,奥山卓,奥山卓 様,,https://tokyonews.co.jp/,情報通信,北海道,,未上場,1947,PR TIMES,https://prtimes.jp/main/html/rd/p/000003448.000006568.html
株式会社ＴＢＳラジオ,,名林慎太郎,名林慎太郎 様,,http://www.tbsradio.jp,サービス業,東京都,03-3746-1111,未上場,2000,PR TIMES,https://prtimes.jp/main/html/rd/p/000002205.000003392.html
株式会社J-WAVE,,神田竜也,神田竜也 様,,https://www.j-wave.co.jp/,情報通信,東京都,03-6832-1111,未上場,1987,PR TIMES,https://prtimes.jp/main/html/rd/p/000002078.000025404.html
株式会社ＮＨＫ出版,,江口貴之,江口貴之 様,,https://www.nhk-book.co.jp/,サービス業,鹿児島県,03-3464-7311,未上場,1931,PR TIMES,https://prtimes.jp/main/html/rd/p/000001310.000018219.html
河出書房新社,,小野寺優,小野寺優 様,,http://www.kawade.co.jp/,情報通信,東京都,03-3404-1201,未上場,1957,PR TIMES,https://prtimes.jp/main/html/rd/p/000001284.000012754.html
株式会社ストライプインターナショナル,,川部将士,川部将士 様,,http://www.stripe-intl.com/,商業（卸売業、小売業）, 岡山県,086-235-8216,未上場,1995,PR TIMES,https://prtimes.jp/main/html/rd/p/000001186.000036659.html
株式会社ビーズインターナショナル,,皆川伸一郎,皆川伸一郎 様,,https://www.bs-intl.jp/,商業（卸売業、小売業）,東京都,03-5768-2233,未上場,1990,PR TIMES,https://prtimes.jp/main/html/rd/p/000000964.000018225.html
松竹ブロードキャスティング株式会社,,井田寛,井田寛 様,,https://www.broadcasting.co.jp/sbc/,情報通信,東京都,03-5250-2321,未上場,1992,PR TIMES,https://prtimes.jp/main/html/rd/p/000000908.000006470.html
沖電気工業株式会社,,名森孝廣,名森孝廣 様,,https://www.oki.com/global/ja/,製造業,東京都,03-3501-3111,東証プライム資本,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000894.000017036.html
ポノス株式会社,,辻子依旦,辻子依旦 様,,https://www.ponos.jp,情報通信,京都府,,未上場,1990,PR TIMES,https://prtimes.jp/main/html/rd/p/000000746.000036495.html
株式会社タイトー,,,,,,,,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000743.000041970.html
株式会社シャノン,,内川,内川 様,,https://will-vision.co.jp/,サービス業,、愛知県,03-6743-1565,,2000,PR TIMES,https://prtimes.jp/main/html/rd/p/000000636.000002984.html
株式会社ジェイ・スポーツ,,外崎創,外崎創 様,,http://www.jsports.co.jp,情報通信,東京都,03-5500-3488,未上場,1996,PR TIMES,https://prtimes.jp/main/html/rd/p/000000627.000014079.html
株式会社カンリー,,,,,,,,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000578.000037205.html
ピクシブ株式会社,,丹羽康弘,丹羽康弘 様,,https://www.pixiv.co.jp/,サービス業,東京都,,未上場,2005,PR TIMES,https://prtimes.jp/main/html/rd/p/000000477.000035885.html
ディスカバリー・ジャパン合同会社,,西ちえこ,西ちえこ 様,,https://www.discoveryjapan.jp/,情報通信,東京都,,未上場,1997,PR TIMES,https://prtimes.jp/main/html/rd/p/000000451.000027683.html
武内製薬株式会社,,小倉,小倉 様,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000413.000073177.html
株式会社ジーオーティー,,吉永敦仁,吉永敦仁 様,,https://www.gotbb.jp/,商業（卸売業、小売業）,東京都,03-5843-0034,未上場,1997,PR TIMES,https://prtimes.jp/main/html/rd/p/000000394.000043696.html
株式会社メディアシーク,,西尾直紀,西尾直紀 様,,https://www.mediaseek.co.jp/,情報通信,東京都,03-5423-6600,未上場,2000,PR TIMES,https://prtimes.jp/main/html/rd/p/000000391.000040972.html
アソビュー株式会社,,執行役員,執行役員 様,,https://www.asoview.co.jp/,情報通信,東京都,03-5413-7784,未上場,2011,PR TIMES,https://prtimes.jp/main/html/rd/p/000000353.000015664.html
イチニ株式会社,,高畑卓,高畑卓 様,,https://ichi-ni.jp/,サービス業,東京都,03-6830-1400,未上場,2015,PR TIMES,https://prtimes.jp/main/html/rd/p/000000335.000019431.html
株式会社ベネクス,,中村太一,中村太一 様,,https://www.venex-j.co.jp/,商業（卸売業、小売業）,神奈川県,046-200-9330,未上場,2005,PR TIMES,https://prtimes.jp/main/html/rd/p/000000304.000065392.html
株式会社極楽湯ホールディングス,,佐藤,佐藤 様,,https://www.gokurakuyu-holdings.co.jp/,サービス業,東京都,,東証スタンダード,1980,PR TIMES,https://prtimes.jp/main/html/rd/p/000000242.000108434.html
ALBIREX SINGAPORE PTE LTD,,是永大輔,是永大輔 様,,http://www.albirex.com.sg/ja/,サービス業,,,未上場,2003,PR TIMES,https://prtimes.jp/main/html/rd/p/000000209.000022446.html
公益財団法人日本フィランソロピック財団,,岸本和久,岸本和久 様,,https://np-foundation.or.jp/,財団法人・社団法人・宗教法人,東京都,050-3521-0160,未上場,2020,PR TIMES,https://prtimes.jp/main/html/rd/p/000000199.000074198.html
公益財団法人日本ハンドボール協会,,金丸恭文,金丸恭文 様,,https://handball.or.jp/,財団法人・社団法人・宗教法人,東京都,03-6709-8940,,1938,PR TIMES,https://prtimes.jp/main/html/rd/p/000000189.000106743.html
エーテンラボ株式会社,,長坂剛,長坂剛 様,,https://a10lab.com,情報通信,東京都,03-5422-8396,未上場,2016,PR TIMES,https://prtimes.jp/main/html/rd/p/000000174.000024217.html
株式会社横浜フリエスポーツクラブ,,片原大示郎,片原大示郎 様,,https://www.yokohamafc.com/,サービス業,神奈川県,045-443-6592,未上場,1998,PR TIMES,https://prtimes.jp/main/html/rd/p/000000142.000044505.html
株式会社インターコスモス,,作道洋介,作道洋介 様,,https://www.inter-cosmos.co.jp/,サービス業,大阪府,06-6353-4954,未上場,1983,PR TIMES,https://prtimes.jp/main/html/rd/p/000000141.000109825.html
株式会社花やしき,,西川豊史,西川豊史 様,,https://www.hanayashiki.net/,サービス業,東京都,03-3842-8780,未上場,2004,PR TIMES,https://prtimes.jp/main/html/rd/p/000000139.000082301.html
株式会社トラストリッジ,,大場義之,大場義之 様,,http://trustridge.jp,情報通信,東京都,03-6412-8794,未上場,2008,PR TIMES,https://prtimes.jp/main/html/rd/p/000000124.000005511.html
株式会社りらいぶ,,佐々木貴史,佐々木貴史 様,,https://www.reliveshirts.com/,商業（卸売業、小売業）,：宮城県,022-343-1209,未上場,2017,PR TIMES,https://prtimes.jp/main/html/rd/p/000000122.000031370.html
株式会社都光,,戸塚,戸塚 様,,https://www.toko-t.co.jp/,商業（卸売業、小売業）,東京都,03-3833-3541,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000112.000145363.html
株式会社農業総合研究所,,の想い,の想い 様,,https://www.nousouken.co.jp,商業（卸売業、小売業）,和歌山県,073-497-7077,,2007,PR TIMES,https://prtimes.jp/main/html/rd/p/000000101.000038953.html
株式会社Themiss,,板谷,板谷 様,,https://themiss-inc.studio.design,サービス業,東京都,,未上場,2020,PR TIMES,https://prtimes.jp/main/html/rd/p/000000090.000065673.html
株式会社グッドフェローズ,,,,,https://www.goodfellows.co.jp/,電気・ガス業,東京都,03-6420-0515,未上場,2009,PR TIMES,https://prtimes.jp/main/html/rd/p/000000082.000025653.html
株式会社KONNEKT INTERNATIONAL,,由羽弘明,由羽弘明 様,,http://www.konnekt-i.com,商業（卸売業、小売業）,東京都,03-5778-9852,未上場,2013,PR TIMES,https://prtimes.jp/main/html/rd/p/000000071.000009542.html
株式会社パレットグループ,,,,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000068.000152399.html
株式会社ＵＢＸ　ＪＡＰＡＮ,,,,,https://promo.ubxtraining.co.jp/,サービス業,東京都,082-831-2608,未上場,2022,PR TIMES,https://prtimes.jp/main/html/rd/p/000000060.000135524.html
株式会社アガツマ,,戸所正信,戸所正信 様,,http://www.agatsuma.co.jp/,製造業,東京都,03-5820-1173,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000057.000010750.html
UNI GROUP FZCO,,宮脇さき,宮脇さき 様,,,,,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000055.000145106.html
株式会社シップ,,山口智雄,山口智雄 様,,https://ship.co.jp,サービス業,東京都,03-5466-2783,未上場,1989,PR TIMES,https://prtimes.jp/main/html/rd/p/000000047.000118654.html
Classiq Technologies Ltd.,,,,,https://ja.classiq.io/,情報通信,,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000039.000101286.html
高知県立林業大学校,,隈研吾,隈研吾 様,,https://kochi-forestry.ac.jp/,教育・学習支援業,ド高知県,0887-52-0784,未上場,2015,PR TIMES,https://prtimes.jp/main/html/rd/p/000000027.000050061.html
株式会社ミュージックブースト,,篠原正之,篠原正之 様,,https://musicboost.jp/,サービス業,東京都,03-6427-1331,未上場,2022,PR TIMES,https://prtimes.jp/main/html/rd/p/000000026.000113433.html
OSHIAI株式会社,,嵐亮太,嵐亮太 様,,https://oshiai.co.jp/,情報通信,東京都,,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000025.000155819.html
ルビナソフトウエアジャパン株式会社,,,,,,,,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000018.000174983.html
新明工業株式会社,,近藤恭弘,近藤恭弘 様,,https://www.shinmei.co.jp/,製造業,：愛知県,0565-32-3450,未上場,1949,PR TIMES,https://prtimes.jp/main/html/rd/p/000000014.000099458.html
一般社団法人災害対策トレーニングセンター支援会,,目黒公郎,目黒公郎 様,,https://www.dmtc-sa.com/,財団法人・社団法人・宗教法人,東京都,070-4208-8265,未上場,2022,PR TIMES,https://prtimes.jp/main/html/rd/p/000000013.000144882.html
株式会社ナギサコネクト,,丸山,丸山 様,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000009.000167131.html
株式会社大伸社,,上平泰輔,上平泰輔 様,,https://www.daishinsha.co.jp/,サービス業,東京都,06-6976-5550,,1952,PR TIMES,https://prtimes.jp/main/html/rd/p/000000005.000138915.html
株式会社ZOYO,,,,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000002.000185707.html
株式会社スクウェア・エニックス,,桐生隆司,桐生隆司 様,,https://www.jp.square-enix.com/company/ja/,製造業,東京都,03-5292-8100,未上場,2008,PR TIMES,https://prtimes.jp/main/html/rd/p/000000382.000128734.html
株式会社大洋図書,,小出英二,小出英二 様,,http://taiyohgroup.jp,製造業,東京都,03-3263-2424,未上場,1965,PR TIMES,https://prtimes.jp/main/html/rd/p/000000335.000118288.html
株式会社三福ホールディングス,,中矢孝則,中矢孝則 様,,http://www.3puku.co.jp,不動産業,す愛媛県,089-921-2095,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000494.000004256.html
株式会社Shireru,,山田みかん,山田みかん 様,,,サービス業,ー岐阜県,,未上場,2023,PR TIMES,https://prtimes.jp/main/html/rd/p/000000015.000132846.html
株式会社首里石鹸,,緒方教介,緒方教介 様,,https://www.suisavon.jp/,商業（卸売業、小売業）,（沖縄県,098-886-7770,未上場,2011,PR TIMES,https://prtimes.jp/main/html/rd/p/000000108.000078381.html
特定非営利活動法人 Piece of Syria,,中野貴行,中野貴行 様,,http://piece-of-syria.org,財団法人・社団法人・宗教法人,大阪府,,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000096.000095779.html
株式会社プロト,,近藤芳光,近藤芳光 様,,https://www.plotonline.com/,商業（卸売業、小売業）,：愛知県,0566-36-0456,未上場,1984,PR TIMES,https://prtimes.jp/main/html/rd/p/000000045.000108902.html
