企業名,法人番号,採用担当者名,担当者確度,取得手法,取得元,役職,部署,根拠URL,根拠,電話番号,従業員数,業種,都道府県,新卒フラグ,公式URL,取得日
株式会社AbemaTV,,,,,,,,,,,,情報通信,東京都,,https://abema.tv/,2026-06-29
株式会社ＴＢＳラジオ,,,,,,,,,,03-3746-1111,,サービス業,東京都,,http://www.tbsradio.jp,2026-06-29
株式会社　学研ホールディングス,,,,,,,,,,03-6431-1001,,情報通信,東京都,,https://www.gakken.co.jp/,2026-06-29
株式会社東京ニュース通信社,,,,,,,,,,,,情報通信,北海道,,https://tokyonews.co.jp/,2026-06-29
株式会社ＮＨＫ出版,,,,,,,,,,03-3464-7311,,サービス業,鹿児島県,,https://www.nhk-book.co.jp/,2026-06-29
株式会社J-WAVE,,,,,,,,,,03-6832-1111,,情報通信,東京都,,https://www.j-wave.co.jp/,2026-06-29
株式会社ストライプインターナショナル,,,,,,,,,,086-235-8216,,商業（卸売業、小売業）, 岡山県,,http://www.stripe-intl.com/,2026-06-29
沖電気工業株式会社,,,,,,,,,,03-3501-3111,,製造業,東京都,,https://www.oki.com/global/ja/,2026-06-29
河出書房新社,,,,,,,,,,03-3404-1201,,情報通信,東京都,,http://www.kawade.co.jp/,2026-06-29
株式会社タイトー,,,,,,,,,,,,,,,,2026-06-29
株式会社ビーズインターナショナル,,,,,,,,,,03-5768-2233,,商業（卸売業、小売業）,東京都,,https://www.bs-intl.jp/,2026-06-29
松竹ブロードキャスティング株式会社,,,,,,,,,,03-5250-2321,,情報通信,東京都,,https://www.broadcasting.co.jp/sbc/,2026-06-29
株式会社カンリー,,,,,,,,,,,,,,,,2026-06-29
ポノス株式会社,,,,,,,,,,,,情報通信,京都府,,https://www.ponos.jp,2026-06-29
株式会社シャノン,,,,,,,,,,03-6743-1565,,サービス業,、愛知県,,https://will-vision.co.jp/,2026-06-29
武内製薬株式会社,,,,,,,,,,,,,東京都,,,2026-06-29
ディスカバリー・ジャパン合同会社,,,,,,,,,,,,情報通信,東京都,,https://www.discoveryjapan.jp/,2026-06-29
株式会社ジェイ・スポーツ,,,,,,,,,,03-5500-3488,,情報通信,東京都,,http://www.jsports.co.jp,2026-06-29
ピクシブ株式会社,,,,,,,,,,,,サービス業,東京都,,https://www.pixiv.co.jp/,2026-06-29
アソビュー株式会社,,,,,,,,,,03-5413-7784,,情報通信,東京都,,https://www.asoview.co.jp/,2026-06-29
株式会社ジーオーティー,,,,,,,,,,03-5843-0034,,商業（卸売業、小売業）,東京都,,https://www.gotbb.jp/,2026-06-29
株式会社メディアシーク,,,,,,,,,,03-5423-6600,,情報通信,東京都,,https://www.mediaseek.co.jp/,2026-06-29
ALBIREX SINGAPORE PTE LTD,,,,,,,,,,,,サービス業,,,http://www.albirex.com.sg/ja/,2026-06-29
イチニ株式会社,,,,,,,,,,03-6830-1400,,サービス業,東京都,,https://ichi-ni.jp/,2026-06-29
株式会社極楽湯ホールディングス,,,,,,,,,,,,サービス業,東京都,,https://www.gokurakuyu-holdings.co.jp/,2026-06-29
株式会社ベネクス,,,,,,,,,,046-200-9330,,商業（卸売業、小売業）,神奈川県,,https://www.venex-j.co.jp/,2026-06-29
公益財団法人日本フィランソロピック財団,,,,,,,,,,050-3521-0160,,財団法人・社団法人・宗教法人,東京都,,https://np-foundation.or.jp/,2026-06-29
株式会社横浜フリエスポーツクラブ,,,,,,,,,,045-443-6592,,サービス業,神奈川県,,https://www.yokohamafc.com/,2026-06-29
エーテンラボ株式会社,,,,,,,,,,03-5422-8396,,情報通信,東京都,,https://a10lab.com,2026-06-29
株式会社花やしき,,,,,,,,,,03-3842-8780,,サービス業,東京都,,https://www.hanayashiki.net/,2026-06-29
株式会社トラストリッジ,,,,,,,,,,03-6412-8794,,情報通信,東京都,,http://trustridge.jp,2026-06-29
公益財団法人日本ハンドボール協会,,,,,,,,,,03-6709-8940,,財団法人・社団法人・宗教法人,東京都,,https://handball.or.jp/,2026-06-29
株式会社インターコスモス,,,,,,,,,,06-6353-4954,,サービス業,大阪府,,https://www.inter-cosmos.co.jp/,2026-06-29
株式会社りらいぶ,,,,,,,,,,022-343-1209,,商業（卸売業、小売業）,：宮城県,,https://www.reliveshirts.com/,2026-06-29
株式会社Themiss,,,,,,,,,,,,サービス業,東京都,,https://themiss-inc.studio.design,2026-06-29
株式会社農業総合研究所,,,,,,,,,,073-497-7077,,商業（卸売業、小売業）,和歌山県,,https://www.nousouken.co.jp,2026-06-29
株式会社パレットグループ,,,,,,,,,,,,,東京都,,,2026-06-29
株式会社都光,,,,,,,,,,03-3833-3541,,商業（卸売業、小売業）,東京都,,https://www.toko-t.co.jp/,2026-06-29
株式会社ＵＢＸ　ＪＡＰＡＮ,,,,,,,,,,082-831-2608,,サービス業,東京都,,https://promo.ubxtraining.co.jp/,2026-06-29
UNI GROUP FZCO,,,,,,,,,,,,,,,,2026-06-29
株式会社アガツマ,,,,,,,,,,03-5820-1173,,製造業,東京都,,http://www.agatsuma.co.jp/,2026-06-29
株式会社グッドフェローズ,,,,,,,,,,03-6420-0515,,電気・ガス業,東京都,,https://www.goodfellows.co.jp/,2026-06-29
株式会社KONNEKT INTERNATIONAL,,,,,,,,,,03-5778-9852,,商業（卸売業、小売業）,東京都,,http://www.konnekt-i.com,2026-06-29
株式会社ミュージックブースト,,,,,,,,,,03-6427-1331,,サービス業,東京都,,https://musicboost.jp/,2026-06-29
OSHIAI株式会社,,,,,,,,,,,,情報通信,東京都,,https://oshiai.co.jp/,2026-06-29
ルビナソフトウエアジャパン株式会社,,,,,,,,,,,,,,,,2026-06-29
株式会社シップ,,,,,,,,,,03-5466-2783,,サービス業,東京都,,https://ship.co.jp,2026-06-29
Classiq Technologies Ltd.,,,,,,,,,,,,情報通信,,,https://ja.classiq.io/,2026-06-29
株式会社ナギサコネクト,,,,,,,,,,,,,東京都,,,2026-06-29
高知県立林業大学校,,,,,,,,,,0887-52-0784,,教育・学習支援業,ド高知県,,https://kochi-forestry.ac.jp/,2026-06-29
株式会社ZOYO,,,,,,,,,,,,,東京都,,,2026-06-29
株式会社大伸社,,,,,,,,,,06-6976-5550,,サービス業,東京都,,https://www.daishinsha.co.jp/,2026-06-29
一般社団法人災害対策トレーニングセンター支援会,,,,,,,,,,070-4208-8265,,財団法人・社団法人・宗教法人,東京都,,https://www.dmtc-sa.com/,2026-06-29
株式会社三福ホールディングス,,,,,,,,,,089-921-2095,,不動産業,す愛媛県,,http://www.3puku.co.jp,2026-06-29
株式会社Shireru,,,,,,,,,,,,サービス業,ー岐阜県,,,2026-06-29
新明工業株式会社,,,,,,,,,,0565-32-3450,,製造業,：愛知県,,https://www.shinmei.co.jp/,2026-06-29
株式会社スクウェア・エニックス,,,,,,,,,,03-5292-8100,,製造業,東京都,,https://www.jp.square-enix.com/company/ja/,2026-06-29
株式会社首里石鹸,,,,,,,,,,098-886-7770,,商業（卸売業、小売業）,（沖縄県,,https://www.suisavon.jp/,2026-06-29
特定非営利活動法人 Piece of Syria,,,,,,,,,,,,財団法人・社団法人・宗教法人,大阪府,,http://piece-of-syria.org,2026-06-29
株式会社大洋図書,,,,,,,,,,03-3263-2424,,製造業,東京都,,http://taiyohgroup.jp,2026-06-29
一般社団法人コーチング心理学協会,,,,,,,,,,080-1127-3088,,サービス業,東京都,,https://www.coaching-psych.com/,2026-06-29
パーキングサイエンス株式会社,,,,,,,,,,,,,,,,2026-06-29
株式会社プロト,,,,,,,,,,0566-36-0456,,商業（卸売業、小売業）,：愛知県,,https://www.plotonline.com/,2026-06-29
株式会社ファーストイノベーション,,,,,,,,,,03-6225-0214,,情報通信,東京都,,https://www.f-innovations.co.jp/,2026-06-29
日本化薬株式会社,,,,,,,,,,,,製造業,東京都,,https://www.nipponkayaku.co.jp/,2026-06-29
株式会社外為どっとコム,,,,,,,,,,03-5733-3061,,金融・保険業,東京都,,https://www.gaitame.com/,2026-06-29
株式会社M2X,,,,,,,,,,,,,東京都,,,2026-06-29
Ｓｋｙ株式会社,,,,,,,,,,,,,,,,2026-06-29
SnackTime株式会社,,,,,,,,,,,,,,,,2026-06-29
株式会社ピカパカ,,,,,,,,,,,,,東京都,,,2026-06-29
アカマイ・テクノロジーズ合同会社,,,,,,,,,,,,,,,,2026-06-29
レノボ・ジャパン合同会社,,,,,,,,,,0120-030-984,,製造業,東京都,,https://www.lenovo.com/jp/ja/,2026-06-29
ネットアップ合同会社,,,,,,,,,,,,,,,,2026-06-29
株式会社Shizen Connect,,,,,,,,,,,,,東京都,,,2026-06-29
株式会社チケットプラス,,,,,,,,,,,,情報通信,東京都,,https://ticketplus.co.jp/,2026-06-29
株式会社medimo,,,,,,,,,,,,,東京都,,,2026-06-29
株式会社博報堂テクノロジーズ,,,,,,,,,,,,情報通信,東京都,,https://www.hakuhodo-technologies.co.jp/,2026-06-29
クラウドビルダーズ株式会社,,,,,,,,,,,,,,,,2026-06-29
株式会社京王プラザホテル札幌,,,,,,,,,,011-271-0111,,サービス業,北海道,,https://www.keioplaza-sapporo.co.jp/,2026-06-29
株式会社BULL,,,,,,,,,,070-2262-2626,,製造業,。栃木県,,https://bull-space.com/ja,2026-06-29
株式会社ハジメバ,,,,,,,,,,,,,,,,2026-06-29
Ｄｒ．ＡＩＳＥＯ株式会社,,,,,,,,,,,,,,,,2026-06-29
x3d株式会社,,,,,,,,,,,,,東京都,,,2026-06-29
日本放送協会,,,,,,,,,,,,情報通信,東京都,,https://www.nhk.or.jp/info/,2026-06-29
SecureNavi株式会社,,,,,,,,,,,,,,,,2026-06-29
SHOPLINE Japan株式会社,,,,,,,,,,,,情報通信,東京都,,https://jp.shopline.com/,2026-06-29
株式会社Mark Door,,,,,,,,,,090-5054-9634,,情報通信,大阪府,,https://markdoor.net/,2026-06-29
ユアスタイル合同会社,,,,,,,,,,,,,神奈川県,,,2026-06-29
ヘルステックハブ株式会社,,,,,,,,,,,,情報通信,東京都,,,2026-06-29
ミカンベイビー合同会社,,,,,,,,,,,,サービス業,東京都,,https://mikanbaby.jp/,2026-06-29
株式会社ENHANCEIT,,,,,,,,,,090-9234-1545,,サービス業,東京都,,,2026-06-29
Braze株式会社,,,,,,,,,,03-6625-5347,,サービス業,東京都,,https://www.braze.com/ja,2026-06-29
株式会社スペースビジョン,,,,,,,,,,03-6264-4994,,製造業,東京都,,,2026-06-29
issin株式会社,,,,,,,,,,,,,,,,2026-06-29
JNIホールディングス株式会社,,,,,,,,,,,,,東京都,,,2026-06-29
丸紅I-DIGIOホールディングス株式会社,,,,,,,,,,03-4512-3700,,情報通信,東京都,,https://www.marubeni-idigio.com/,2026-06-29
宝印刷株式会社,,,,,,,,,,03-3971-3101,,情報通信,東京都,,https://www.takara-print.co.jp/,2026-06-29
BPOテクノロジー株式会社,,,,,,,,,,03-4405-3635,,情報通信,東京都,,https://fujiko-san.com/,2026-06-29
Naturecan株式会社,,,,,,,,,,03-6202-2875,,商業（卸売業、小売業）,北海道,,https://www.naturecan.jp/,2026-06-29
株式会社PR TIMES,,,,,,,,,,,,,東京都,,,2026-06-29
株式会社InitialSite,,,,,,,,,,,,,神奈川県,,,2026-06-29
株式会社　宝島社,,,,,,,,,,,,情報通信,東京都,,https://tkj.jp,2026-06-29
株式会社FLATBOYS,,,,,,,,,,050-5372-1436,,サービス業,東京都,,https://flatboys.co.jp/,2026-06-29
株式会社光響,,,,,,,,,,080-8758-5273,,商業（卸売業、小売業）,京都府,,https://www.symphotony.com/,2026-06-29
株式会社ウィルネクスト,,,,,,,,,,,,,神奈川県,,,2026-06-29
株式会社ワンキャリア,,,,,,,,,,03-6416-5445,,情報通信,東京都,,https://onecareer.co.jp/,2026-06-29
株式会社AVE,,,,,,,,,,,,,,,,2026-06-29
一般社団法人日本eスポーツ協会,,,,,,,,,,,,財団法人・社団法人・宗教法人, 岡山県,,https://jesu.or.jp/,2026-06-29
株式会社コーチングフォワード,,,,,,,,,,,,,東京都,,,2026-06-29
株式会社いーふらん,,,,,,,,,,045-330-4410,,商業（卸売業、小売業）,神奈川県,,https://e-fran.jp/,2026-06-29
株式会社リーディングマーク,,,,,,,,,,03-6712-7431,,情報通信,東京都,,http://www.leadingmark.jp,2026-06-29
オールイン株式会社,,,,,,,,,,03-6427-2417,,サービス業,年千葉県,,https://allhero.co.jp,2026-06-29
MNTSQ株式会社,,,,,,,,,,,,,,,,2026-06-29
株式会社ツナググループ・ホールディングス,,,,,,,,,,,,サービス業,東京都,,https://tghd.co.jp/,2026-06-29
株式会社CAMPFIRE,,,,,,,,,,,,,東京都,,,2026-06-29
株式会社uloqo,,,,,,,,,,,,,東京都,,,2026-06-29
ミイダス株式会社,,,,,,,,,,,,,,,,2026-06-29
株式会社Simple,,,,,,,,,,,,,東京都,,,2026-06-29
株式会社天職市場,,,,,,,,,,03-6704-4921,,サービス業,東京都,,https://1049.co.jp/,2026-06-29
株式会社グローバルパワー,,,,,,,,,,03-3836-9685,,サービス業,東京都,,http://globalpower.co.jp/,2026-06-29
株式会社スターリーグ,,,,,,,,,,,,情報通信,東京都,,https://www.star.careers/company/,2026-06-29
セレクションアンドバリエーション株式会社,,,,,,,,,,,,,大阪府,,,2026-06-29
株式会社キャリアデザインセンター,,,,,,,,,,03-3560-1688,,情報通信,東京都,,http://cdc.type.jp/,2026-06-29
株式会社コンヴァノ,,,,,,,,,,03-3770-1190,,サービス業,東京都,,http://www.convano.com/,2026-06-29
株式会社情報基盤開発,,,,,,,,,,0120-922-552,,サービス業,東京都,,https://www.altpaper.net/,2026-06-29
株式会社第一ライフグループ,,,,,,,,,,,,,,,,2026-06-29
株式会社コムデザイン,,,,,,,,,,050-5808-5500,,情報通信,東京都,,https://comdesign.co.jp,2026-06-29
一般社団法人日本レコード協会,,,,,,,,,,03-5575-1301,,財団法人・社団法人・宗教法人,東京都,,https://www.riaj.or.jp/,2026-06-29
株式会社オークラ ニッコー ホテルマネジメント,,,,,,,,,,03-4400-0632,,サービス業,神奈川県,,http://www.kawasaki-nikko-hotel.com,2026-06-29
株式会社リーピー,,,,,,,,,,058-215-0066,,情報通信,：岐阜県,,https://leapy.jp/,2026-06-29
株式会社BLUEPRINT,,,,,,,,,,,,,東京都,,,2026-06-29
株式会社リベロ,,,,,,,,,,,,,東京都,,,2026-06-29
株式会社アイエスエフネット,,,,,,,,,,,,,東京都,,,2026-06-29
株式会社BLUE DESIGN,,,,,,,,,,,,,：佐賀県,,,2026-06-29
一般社団法人日本男性看護師會,,,,,,,,,,,,財団法人・社団法人・宗教法人,東京都,,https://nursemen.net/,2026-06-29
株式会社山陰合同銀行,,,,,,,,,,0852-55-1000,,金融・保険業,地島根県,,https://www.gogin.co.jp/,2026-06-29
株式会社ヘイフィールド,,,,,,,,,,,,,,,,2026-06-29
株式会社イノベーター・ジャパン,,,,,,,,,,03-3479-3450,,情報通信,東京都,,https://www.innovator.jp.net/,2026-06-29
株式会社ワークス・ジャパン,,,,,,,,,,03-5209-5011,,サービス業,東京都,,https://www.worksjapan.co.jp/,2026-06-29
株式会社moovy,,,,,,,,,,,,,,,,2026-06-29
株式会社スケッチ,,,,,,,,,,,,サービス業,東京都,,https://sketch-consulting.co.jp/,2026-06-29
株式会社Bloom,,,,,,,,,,,,,,,,2026-06-29
CRGホールディングス株式会社,,,,,,,,,,03-3345-2772,,サービス業,東京都,,https://www.crgh.co.jp/,2026-06-29
株式会社SPC,,,,,,,,,,,,情報通信,東京都,,https://spc-jpn.co.jp/,2026-06-29
株式会社揚羽,,,,,,,,,,,,,,,,2026-06-29
株式会社VARIETAS,,,,,,,,,,,,情報通信,東京都,,https://varietas.co.jp,2026-06-29
株式会社ヒューマネージ,,,,,,,,,,03-5212-7170,,サービス業,東京都,,https://www.humanage.co.jp,2026-06-29
味の素株式会社,,,,,,,,,,,,製造業,東京都,,https://www.ajinomoto.co.jp/,2026-06-29
株式会社ジェック,,,,,,,,,,03-3986-6365,,サービス業,東京都,,http://www.jecc-net.co.jp,2026-06-29
株式会社アイ・ラーニング,,,,,,,,,,0120-623-629,,教育・学習支援業,東京都,,https://www.i-learning.jp/,2026-06-29
株式会社LDcube,,,,,,,,,,03-3525-7002,,サービス業,東京都,,https://ldcube.jp/seminar/platform_new_employee_training260623,2026-06-29
ナイス株式会社,,,,,,,,,,045-521-6111,,商業（卸売業、小売業）,神奈川県,,https://www.nice.co.jp/,2026-06-29
株式会社NEWONE,,,,,,,,,,070-1554-2088,,教育・学習支援業,東京都,,https://new-one.co.jp/,2026-06-29
株式会社日本デザイン,,,,,,,,,,,,,東京都,,,2026-06-29
ニッカホーム株式会社,,,,,,,,,,,,, 愛知県,,,2026-06-29
株式会社マイナビ,,,,,,,,,,03-6267-4155,,サービス業,東京都,,http://www.mynavi.jp,2026-06-29
常磐興産株式会社,,,,,,,,,,0246-38-6469,,サービス業,：福島県,,https://www.hawaiians.co.jp/,2026-06-29
株式会社アルテジェネシス,,,,,,,,,,045-663-6123,,サービス業,神奈川県,,https://artegenesis.com/,2026-06-29
ALL DIFFERENT株式会社,,,,,,,,,,03-5222-5111,,サービス業,東京都,,https://www.all-different.co.jp/corporate,2026-06-29
株式会社フォーカス,,,,,,,,,,055-278-2311,,商業（卸売業、小売業）,：山梨県,,https://www.forcus.co.jp/,2026-06-29
GoldenMessage株式会社,,,,,,,,,,,,情報通信,東京都,,https://goldenmessage.jp/,2026-06-29
社会福祉法人奉優会,,,,,,,,,,03-5712-3770,,医療・福祉,東京都,,https://www.foryou.or.jp/,2026-06-29
翠宝商事株式会社,,,,,,,,,,086-425-4040,,サービス業, 岡山県,,https://www.nishikiya-g.co.jp/,2026-06-29
株式会社インターメスティック,,,,,,,,,,,,,東京都,,,2026-06-29
株式会社CTF GROUP,,,,,,,,,,03-5422-8282,,情報通信,東京都,,https://www.ctf-group.jp/,2026-06-29
株式会社nobitel,,,,,,,,,,03-5315-0365,,サービス業,東京都,,https://corporate.nobitel.co.jp/,2026-06-29
彌榮自動車株式会社（ヤサカグループ本社）,,,,,,,,,,,,倉庫・運輸関連業,,,https://www.yasakataxi.jp/,2026-06-29
株式会社ブイキューブ,,,,,,,,,,,,情報通信,東京都,,https://jp.vcube.com,2026-06-29
Percify株式会社,,,,,,,,,,,,教育・学習支援業,東京都,,,2026-06-29
星野リゾート,,,,,,,,,,,,サービス業,(茨城県,,https://hoshinoresorts.com/jp/,2026-06-29
