企業名,法人番号,採用担当者名,担当者確度,取得手法,取得元,役職,部署,根拠URL,根拠,電話番号,従業員数,業種,都道府県,新卒フラグ,公式URL,取得日
日本スピンドル製造株式会社,1140001050327,,,,,,,,,06-6499-5551,380,産業機械、集塵装置、空調・冷熱機器の設計開発・製造・販売,兵庫県尼崎市潮江４丁目２番３０号,○,https://www.spindle.co.jp/company/woman.html,2026-06-25
株式会社復建技術コンサルタント,1370001010010,,,,,,,,,022-262-1234,442,弊社は、昭和21年の創業以来、東北を拠点とする総合建設コンサルタントとして道路や橋梁設計・地質調査・測量に携わってきまし,宮城県仙台市青葉区錦町１丁目７番２５号,○,https://www.fgc.jp/,2026-06-25
株式会社アスコン,1240001029690,,,,,,,,,019-677-8108,452,,広島県福山市港町１丁目１５番２７号,○,https://www.ascon.co.jp/company/support/,2026-06-25
島津産機システムズ株式会社,2160001000964,,,,,,,,,077-545-3250,300,一般機械器具製造業 産業機械の製造・販売,滋賀県大津市月輪１丁目８番１号,○,https://www.sis.shimadzu.co.jp/,2026-06-25
原子力エンジニアリング株式会社,1050001004639,,,,,,,,,029-287-2828,496,原子力関係機器の設計、製作及び運転保守,茨城県那珂郡東海村大字村松字平原３１２９番地の２９,○,https://www.neco-net.co.jp/,2026-06-25
株式会社スミハツ,1010001020516,,,,,,,,,0296-58-5161,438,自動車用板ばね、産機用巻ばね、鉄道施設用品等の製造販売,茨城県桜川市高森１１５８番地,○,https://www.sumihatsu.com/,2026-06-25
常洋水産株式会社,1050001001165,,,,,,,,,029-222-7783,368,公設卸売市場内での鮮魚、冷凍魚、塩干魚及び加工品の卸売販売、瓶缶詰、一般加工食品、菓子、酒類、チルド食品、冷凍食品等の卸,茨城県水戸市青柳町４５６６番地,○,https://www.joyosuisan.com/,2026-06-25
日邦産業株式会社,1120901007832,,,,,,,,,052-212-8726,319,・メーカー機能を持ち合わせた商社で、主に産業資材/半導体部品/自動車部品/住宅設備部品等を販売。 ・海外拠点は東南アジア,愛知県名古屋市中区錦１丁目１０番１号,○,https://www.nip.co.jp/,2026-06-25
株式会社ウイン,1500001000617,,,,,,,,,089-913-5500,345,システム開発・情報処理・派遣業,愛媛県松山市二番町３丁目６番地５,○,https://www.pro-win.co.jp/profile/actionplan_nextgeneration.html,2026-06-25
大成機工株式会社,1120001066556,,,,,,,,,0120-367-771,390,,大阪府大阪市北区梅田１丁目１番３－２７００号,,https://www.taiseikiko.com/,2026-06-25
クリタ分析センター株式会社,1050001016444,,,,,,,,,029-836-7011,372,環境計量証明事業,茨城県つくば市高野台２丁目８番１４号,○,https://www.kuritabunseki.co.jp/,2026-06-25
株式会社アルファ,1020001005862,,,,,,,,,045-787-8400,460,創業以来、我々の生活で欠かす事のできない“カギ（キー＆ロック）”を中心としたセキュリティ商品を、自動車・住宅・産業機器・,神奈川県横浜市金沢区福浦１丁目６番８号,○,https://www.kk-alpha.com/,2026-06-25
ミズホ株式会社,1010001007612,,,,,,,,,03-3815-3191,594,医療器械・器具の製造・販売,東京都文京区本郷３丁目３０番１３号,○,https://www.mizuho.co.jp/,2026-06-25
東洋熱工業株式会社,1010001051916,,,,,,,,,03-5250-4113,843,管工事業,東京都中央区京橋２丁目５番１２号,○,https://www.tonets.co.jp/,2026-06-25
ホシザキ京阪株式会社,1120001025289,,,,,,,,,0120-306-038,588,業務用厨房機器の販売及びメンテナンス,大阪府大阪市中央区内本町２丁目２番１２号,○,https://hoshizaki-keihan.co.jp/,2026-06-25
株式会社ＪＰＦ,1010001033237,,,,,,,,,03-3265-4851,685,（１）公営競技のトータルマネジメント （２）公営競技及びアマチュア競技の着順判定写真撮影業務 （３）審判業務用ＶＴＲの撮,東京都千代田区富士見２丁目４番１１号,○,https://www.jpf.co.jp/about/,2026-06-25
岐阜プラスチック工業株式会社,1200001001471,,,,,,,,,0120-223-294,860,プラスチック製品の製造・販売,岐阜県岐阜市神田町９丁目２７番地,○,https://www.risu.co.jp/,2026-06-25
株式会社電算,1100001002083,,,,,,,,,0120-551-475,698,情報処理・通信サービス ソフトウェア開発・システム提供サービス システム機器販売等 その他関連サービス,長野県長野市大字鶴賀七瀬中町２７６番地６,○,https://www.ndensan.co.jp/,2026-06-25
近江鉄道株式会社,1160001008109,,,,,,,,,0749-22-3301,920,鉄道事業、自動車運送事業、観光事業、不動産事業、旅行業　他,滋賀県彦根市駅東町１５番１,○,https://www.ohmitetudo.co.jp/,2026-06-25
株式会社ＳＹＳＫＥＮ,3330001003635,,,,,,,,,096-285-1111,696,NTTインフラ構築事業、総合設備構築事業,熊本県熊本市中央区萩原町１４番４５号,○,https://www.sysken.co.jp/,2026-06-25
大同興業株式会社,1180001037502,,,,,,,,,0120-170-030,338,特殊鋼、原材料、機械、電子部品等の売買および輸出入,愛知県名古屋市東区東桜１丁目１番１０号,,https://www.daido.co.jp/,2026-06-25
レーザーテック株式会社,1020001022180,,,,,,,,,0120-100-470,479,,神奈川県横浜市港北区新横浜２丁目１０番地１,,https://www.keyence.co.jp/,2026-06-25
東レプラスチック精工株式会社,1010001051932,,,,,,,,,0120-545-115,362,,東京都中央区日本橋本石町４丁目６番７号,,https://www.toray.co.jp/,2026-06-25
セントラルリーシングシステム株式会社,1430001024268,,,,,,,,,0120-441-481,474,,北海道札幌市中央区大通西６丁目１０番地１,,https://011330.jp/,2026-06-25
王子エンジニアリング株式会社,1010001039770,,,,,,,,,03-3563-4520,305,王子グループの技術統括業務並びに各種プラントの計画立案・設計・施工,東京都中央区銀座４丁目７番５号,,https://www.ojiholdings.co.jp/,2026-06-25
クリーンペア九州株式会社,3330001001291,,,,,,,,,0120-738-840,451,病院等施設清掃・空調関係清掃・ホームユース鳥害対策,熊本県熊本市東区小山町２２１７番地１,,https://www.clin.co.jp/,2026-06-25
長野日野自動車株式会社,2100001002512,,,,,,,,,026-232-0111,313,,長野県長野市川中島町上氷鉋５５３番地１,,https://www.pref.nagano.lg.jp/,2026-06-25
長野日産自動車株式会社,2100001002470,,,,,,,,,026-232-0111,486,自動車販売及び整備,長野県長野市大字川合新田３６１６番地１,,https://www.pref.nagano.lg.jp/,2026-06-25
イチカワ株式会社,1010001000708,,,,,,,,,03-3816-1111,523,抄紙用フエルト、抄紙用ベルトおよびスレート・その他工業用フエルトの製造、販売,東京都文京区本郷２丁目１４番１５号,○,https://www.ik-felt.co.jp/,2026-06-25
親和パッケージ株式会社,1140001001783,田邉,0.8,自社採用ページ深掘り,自社採用ページ,採用担当,総務部,https://shinwa-co.co.jp/recruit/,採用担当：総務部　田邉（タナベ）,0436-40-3201,800,梱包業,兵庫県神戸市東灘区向洋町西６丁目１９番地,○,https://shinwa-co.co.jp/about/project/,2026-06-25
株式会社ＣＩＪ,1020001015606,,,,,,,,,045-222-0555,807,システム開発およびシステム開発に関連するサービス,神奈川県横浜市西区高島１丁目２番５号,○,https://www.cij.co.jp/company/wlb/,2026-06-25
日本紙パルプ商事株式会社,1010001034978,,,,,,,,,03-5548-4026,900,1.紙、パルプ、古紙の売買および輸出入 2.包装材料の売買および輸出入 3.燃料類の売買および輸出入 4.化成品、工業薬,東京都中央区勝どき３丁目１２番１号フォアフロントタワー,○,http://www.kamipa.co.jp/,2026-06-25
星和電機株式会社,1130001038463,,,,,,,,,0774-55-8181,613,情報表示システム、産業用照明機器、道路・トンネル照明機器、ノイズ対策製品、配線保護機材の製造販売,京都府城陽市寺田新池３６番地,○,https://www.seiwa.co.jp/,2026-06-25
株式会社第一ビルデイング,1010001065445,,,,,,,,,03-6773-7200,515,・不動産の賃貸 ・不動産の取得、所有および処分 ・不動産の管理および賃貸借の受託 ・不動産の仲介 ・不動産に関する企画・,東京都品川区大崎１丁目２番２号,○,https://www.dai-ichi-building.co.jp/,2026-06-25
協和ビル管理株式会社,2040001001784,田渕,0.7,自社採用ページ深掘り,自社採用ページ,採用担当,,https://www.kyowakeibi.co.jp/recruit/,採用担当：田渕,043-243-0368,608,建物の総合管理業務,千葉県千葉市中央区汐見丘町１６番１１号,○,https://www.kyowakeibi.co.jp/,2026-06-25
株式会社ＹＤＫテクノロジーズ,1021001022880,,,,,,,,,0463-84-8751,729,環境計測事業 航海事業 航空・宇宙事業 燃焼事業 防衛事業,神奈川県秦野市曽屋５００番地,○,https://www.ydktechs.co.jp/jp/,2026-06-25
ＡＧＳ株式会社,2030001000011,,,,,,,,,048-825-6000,800,情報処理サービス ソフトウェア開発 その他情報サービス システム機器販売,埼玉県さいたま市浦和区針ヶ谷４丁目３番２５号,○,https://www.ags.co.jp/,2026-06-25
株式会社タナカ,1050001010075,,,,,,,,,029-862-1234,503,販促用印刷物の製造販売、木造住宅用接合金物の製造販売、選挙用公営ポスター掲示板の製造販売,茨城県土浦市藤沢３４９５番地１,○,https://www.tanakanet.co.jp/,2026-06-25
鈴与商事株式会社,1080001002318,,,,,,,,,054-273-7832,553,石油製品・LPG等のエネルギー販売、発電および電力の仕入・販売、エネルギーシステム機器の販売・施工・保守管理、太陽光発電,静岡県静岡市清水区入船町１１番１号,○,https://www.suzuyoshoji.co.jp/,2026-06-25
商船三井ロジスティクス株式会社,1010001012546,,,,,,,,,0120-489-850,321,,東京都千代田区内幸町１丁目２番２号,,https://www.mol.co.jp/,2026-06-25
日精樹脂工業株式会社,1100001011530,,,,,,,,,0268-81-1005,535,射出成形機・金型・成形自動システム・計測機器等の開発、製造、販売,長野県埴科郡坂城町大字南条２１１０番地,○,https://www.nisseijushi.co.jp/sustainability/society/,2026-06-25
阪神警備保障株式会社,1120001031502,,,,,,,,,0798-48-8455,301,各種警備業務,大阪府大阪市住之江区中加賀屋３丁目５番９号,,https://hanshintigers.jp/,2026-06-25
太陽管財株式会社,1030001005250,,,,,,,,,048-863-8948,300,,埼玉県さいたま市北区日進町３丁目８番地,,https://www.renewal-taiyo.co.jp/,2026-06-25
滋賀ダイハツ販売株式会社,1160001013406,,,,,,,,,077-528-4454,437,,滋賀県栗東市大橋４丁目１番５号,,https://www.pref.shiga.lg.jp/,2026-06-25
株式会社スマイル企画,1290001045015,,,,,,,,,092-710-4616,300,,福岡県福岡市博多区綱場町７番１号ＦＯＲＣＡＳＴ博多呉服町９階,,https://smile-kikaku.com/,2026-06-25
イリソ電子工業株式会社,1020001053696,,,,,,,,,045-478-3111,642,コネクタの開発、製造及び販売,神奈川県横浜市港北区新横浜２丁目１３番地８,○,https://www.irisoele.com/jp/,2026-06-25
株式会社マンダム,1120001090234,,,,,,,,,06-6767-5002,762,化粧品・香水の製造および販売 医薬部外品の製造および販売,大阪府大阪市中央区十二軒町５番１２号,○,https://www.mandom.co.jp/index.html,2026-06-25
ダイナパック株式会社,1180001037535,,,,,,,,,052-971-2651,882,段ボール、印刷紙器、軟包装材および紙製緩衝材などの包装資材の製造、販売,愛知県名古屋市中区錦３丁目１４番１５号,○,https://www.dynapac-gr.co.jp/csr/employees/index.html,2026-06-25
ユー・エム・シー・エレクトロニクス株式会社,1030001044117,,,,,,,,,048-724-0001,580,EMS(Electronics Manufacturing Service)企業として車載機器・ＯＡ機器から産業機器まで,埼玉県上尾市大字瓦葺７２１番地,○,https://www.umc.co.jp/,2026-06-25
株式会社ツツミ,2030001021115,,,,,,,,,048-431-6691,878,宝飾品・貴金属製品の製造・卸売・小売業,埼玉県蕨市中央４丁目２４番２６号,○,https://www.tsutsumi.co.jp/,2026-06-25
セブン工業株式会社,1200001017170,,,,,,,,,0574-28-7800,509,集成材、住宅部材の製造販売及び付帯事業,岐阜県美濃加茂市牧野１００６番地,○,https://www.seven-gr.co.jp/,2026-06-25
株式会社関東甲信クボタ,1030001072877,,,,,,,,,048-767-3521,563,,埼玉県さいたま市桜区西堀５丁目２番３６号,,https://www.kantokoshin-kubota.co.jp/,2026-06-25
日本インシュレーション株式会社,1120001040610,,,,,,,,,03-5253-2111,400,保温断熱材・耐火建材の製造販売、施工,大阪府大阪市中央区南船場１丁目１８番１７号,,https://www.cao.go.jp/,2026-06-25
東北アルフレッサ株式会社,2380001005082,,,,,,,,,022-721-1291,975,医薬品卸売業,福島県郡山市喜久田町卸１丁目４６番地１,,https://www.tohokukanko.jp/,2026-06-25
株式会社宮崎,1180001045546,,,,,,,,,052-409-2281,807,再生資源卸売業,愛知県清須市西須ケ口９３番地,,https://www.miyazaki-recycle.com/,2026-06-25
セントラル総業株式会社,1020001067993,,,,,,,,,0120-441-481,538,,神奈川県川崎市中原区上小田中２丁目３番６号,,https://011330.jp/,2026-06-25
日本ニューホランド株式会社,1430001021026,,,,,,,,,03-5253-2111,577,,北海道札幌市中央区北一条西１３丁目４番地,,https://www.cao.go.jp/,2026-06-25
ハリマ共和物産株式会社,1140001060846,,,,,,,,,079-253-5217,863,日用雑貨卸売業、受託物流業,兵庫県姫路市飾東町庄３１３番地,,https://www.harimakb.co.jp/,2026-06-25
日本高周波鋼業株式会社,1010001016852,,,,,,,,,03-5253-2111,507,,東京都千代田区岩本町１丁目１０番５号,,https://www.cao.go.jp/,2026-06-25
日本山村硝子株式会社,1140001054947,,,,,,,,,03-5253-2111,750,,兵庫県尼崎市西向島町１５番１,,https://www.cao.go.jp/,2026-06-25
三洋環境株式会社,1260001002712,,,,,,,,,052-733-3401,700,,岡山県岡山市北区下伊福上町８番２０号,,https://www.sanyobussan.co.jp/,2026-06-25
日本環境クリアー株式会社,2030001006446,,,,,,,,,03-5253-2111,900,,埼玉県さいたま市大宮区桜木町１丁目１１番地９,,https://www.cao.go.jp/,2026-06-25
トヨタカローラ新茨城株式会社,1050001001867,,,,,,,,,029-231-3351,384,・トヨタ系列の新車販売 ・各種中古車の販売 ・自動車用品販売 ・自動車点検・整備・板金塗装 ・保険代理店業務（損保・生保,茨城県水戸市水府町１５２２番地の１,,https://www.corolla-si.com/corporate/plan,2026-06-25
石福金属興業株式会社,1010001010624,,,,,,,,,03-3252-3131,351,貴金属精製加工販売業,東京都千代田区内神田３丁目２０番７号,,https://www.ishifuku-kinzoku.co.jp/,2026-06-25
林兼エスト株式会社,1290001009738,,,,,,,,,0920-86-2129,338,石油製品の販売（小売・卸売）,福岡県福岡市中央区渡辺通４丁目１０番１０号,,https://www.h-est.co.jp/,2026-06-25
ＡＬＳＯＫ千葉株式会社,1040001008244,,,,,,,,,043-275-7575,484,警備業,千葉県千葉市花見川区幕張本郷１丁目３番３３号,,http://www.alsok-chiso.co.jp/,2026-06-25
日本紙通商株式会社,1010001045983,,,,,,,,,03-6665-7032,385,○紙・板紙および紙・板紙関連製品の仕入販売 ○フィルムおよびフィルム関連製品の仕入販売 ○化学工業製品の仕入販売,東京都千代田区神田駿河台４丁目６番地,,https://www.np-t.co.jp/,2026-06-25
株式会社大伸,1140001013449,,,,,,,,,078-575-6838,498,〔印刷紙工事業部〕 企画プランニングから、幅広い印刷までトータルに。 〔包装事業部〕 包装資材から製品包装、品質管理及,兵庫県神戸市兵庫区塚本通４丁目１番１９号,,http://www.daishin-gr.co.jp/,2026-06-25
株式会社東洋経済新報社,1010001051874,,,,,,,,,0120-206-308,327,デジタルメディア事業、雑誌事業、書籍事業、プロモーション事業、データ事業,東京都中央区日本橋本石町１丁目２番１号,,https://toyokeizai.net/,2026-06-25
株式会社ＭＣエバテック,1140001048230,,,,,,,,,06-4300-5442,479,【炭素材事業】 活性炭・高機能活性炭の開発・製造、活性炭再生 【精密洗浄事業】 半導体・ＰＤＦ・太陽電池製造装置等の,兵庫県尼崎市潮江１丁目２番６号,,https://www.mcet.co.jp/,2026-06-25
株式会社三橋商会,1120001090515,,,,,,,,,06-6271-1301,374,総合ビルメンテナンス業 ・清掃管理業務 ・設備業務 ・グリーン管理業務,大阪府大阪市中央区本町２丁目３番１４号,,https://www.mitsuhashi-net.co.jp/,2026-06-25
千葉ビル・メンテナンス株式会社,2040001054287,,,,,,,,,0436-23-2174,398,ビル総合管理,千葉県市原市君塚３丁目８番地１９,,https://www.chibabill.jp/,2026-06-25
株式会社図研,2020001008807,,,,,,,,,045-942-1511,456,製造業における製品設計・開発業務全体の高度化・最適化を支援する、各種ITシステムの開発・製造・販売や、コンサルティングサ,神奈川県横浜市都筑区荏田東２丁目２５番１号,,https://www.zuken.co.jp/,2026-06-25
ジェイ・アール・シー特機株式会社,2020001020489,,,,,,,,,045-547-8572,364,,神奈川県横浜市港北区新吉田東３丁目２番１号,,https://www.jrctokki.co.jp/,2026-06-25
フロンティア・マネジメント株式会社,1010001121867,,,,,,,,,03-6862-5180,433,経営コンサルティング事業・ファイナンシャル・アドバイザリー事業・再生支援事業・制度関連助言業務・教育研修事業・資金支援業,東京都港区六本木３丁目２番１号,,https://www.frontier-mgmt.com/,2026-06-25
ジャパンマテリアル株式会社,2190001015191,,,,,,,,,059-329-6120,429,①エレクトロニクス関連事業 ②グラフィックスソリューション事業,三重県三重郡菰野町大字永井３０９８番２２,,https://www.j-materials.jp/,2026-06-25
熊本ダイハツ販売株式会社,3330001001507,古城,0.8,自社採用ページ深掘り,自社採用ページ,採用担当,,https://kumamoto.dd.daihatsu.co.jp/Company/recruit,採用担当　：　古城（ふるしろ）,0120-740-182,398,自動車販売及び整備その他,熊本県熊本市南区平田２丁目８番７０号,,https://kumamoto.dd.daihatsu.co.jp/,2026-06-25
株式会社エス・ビー・エム,1080001009767,,,,,,,,,054-364-7690,385,綜合ビル管理,静岡県静岡市清水区大坪１丁目４番１１号,,https://shizuoka-sbm.co.jp/,2026-06-25
サンセイ医機株式会社,1380001009159,,,,,,,,,024-944-1157,310,医療機器・診療材料卸売業,福島県郡山市昭和２丁目１１番５号,,https://www.sansei-iki.co.jp/,2026-06-25
東濃建物管理株式会社,1200001017955,,,,,,,,,0574-62-5924,307,建物総合管理,岐阜県可児市広見２丁目５７番地,,https://green-clean.jp/,2026-06-25
新常磐交通株式会社,2380001013060,,,,,,,,,0246-23-1151,374,乗合バス事業、貸切バス事業 自動車教習事業、不動産事業、車両整備・販売・保険事業 燃料等販売事業、観光事業,福島県いわき市明治団地４番地の１,,https://www.joko.co.jp/,2026-06-25
明星工業株式会社,1120001049032,,,,,,,,,06-6447-0271,358,断熱工事業　（保温・保冷、築炉耐火、断熱耐火被覆、原子力その他）,大阪府大阪市西区京町堀１丁目８番５号,,https://www.meisei-kogyo.co.jp/,2026-06-25
キャタピラー九州株式会社,1290001079293,,,,,,,,,092-924-1211,442,キャタピラージャパン(株)九州地区特約販売店 キャタピラー社・キャタピラージャパン及び三菱重工製の建設機械（油圧ショベル,福岡県筑紫野市針摺東３丁目６番１号,,https://www.cat-kyushu.co.jp/,2026-06-25
大阪有機化学工業株式会社,1120001093014,,,,,,,,,03-6202-7051,467,有機化学工業品・有機試薬品・医農薬中間体・石油化学製品・特殊ポリマーの製造販売、溶剤類の精製加工,大阪府大阪市中央区安土町１丁目８番１５号,,https://www.ooc.co.jp/,2026-06-25
笹徳印刷株式会社,1180001069322,,,,,,,,,0562-97-1111,342,,愛知県豊明市栄町大脇７番地,,https://www.sasatoku.co.jp/,2026-06-25
株式会社ニチダイ,2130001038818,,,,,,,,,0774-88-6350,383,精密鍛造金型の開発・製造・販売 精密部品の組立て 積層焼結金網フィルタの開発・製造・販売,京都府京田辺市薪北町田１３番地,,https://www.nichidai.jp/,2026-06-25
東北特殊鋼株式会社,2370001002444,,,,,,,,,0224-82-1010,409,特殊鋼製造販売,宮城県仙台市太白区長町７丁目２０番１号,,https://www.tohokusteel.com/,2026-06-25
マスプロ電工株式会社,1180001067276,,,,,,,,,0570091119,517,電気機械器具製造販売,愛知県日進市浅田町上納８０番地,,https://www.maspro.co.jp/,2026-06-25
株式会社セイビ九州,1290001014110,,,,,,,,,092-451-4313,996,ホテル清掃・建物管理など,福岡県福岡市博多区博多駅前１丁目１９番３号,,http://seibiq.co.jp/,2026-06-25
株式会社クリーンコーポレーション,1430001005061,,,,,,,,,011-551-3250,713,総合ビルメンテナンス,北海道札幌市中央区南二十二条西６丁目２番２５号エムズ南２２条第３ビル４階,,http://www.clean-corp.co.jp/,2026-06-25
ホシザキ北九株式会社,1290001016577,,,,,,,,,092-471-7396,516,業務用厨房機器の販売及びメンテナンス,福岡県福岡市博多区博多駅南３丁目１８番９号,,https://www.hoshizaki-kitakyu.co.jp/,2026-06-25
株式会社翻訳センター,1120001089458,,,,,,,,,06-1234-5678,521,翻訳サービス,大阪府大阪市中央区久太郎町４丁目１番３号,,https://www.honyakuctr.com/,2026-06-25
東洋炭素株式会社,1120001050238,,,,,,,,,050-3097-4950,961,1. 等方性黒鉛その他特殊炭素製品および一般カーボン製品の製造、販売および関連する加工事業 2. 炭素とセラミックス、金,大阪府大阪市西淀川区竹島５丁目７番１２号,,https://www.toyotanso.co.jp/,2026-06-25
ミツワ電機株式会社,1010001058408,,,,,,,,,03-3862-1111,909,電設資材・住宅設備機器の総合商社,東京都中央区東日本橋２丁目２６番３号,,https://www.mitsuwadenki.co.jp/,2026-06-25
ＪＦＥ東日本ジーエス株式会社,1020001072119,,,,,,,,,044-589-5056,990,○総合ビルマネジメント ○施設管理 ○セキュリティサービス（常駐、巡回、機械警備） ○造園・土木工事 ○緑化維持管理 ○,神奈川県川崎市川崎区池上新町３丁目４番３号,,https://www.jfe-hgs.co.jp/,2026-06-25
ニチコン株式会社,2130001022029,,,,,,,,,0120-215-030,581,アルミ電解コンデンサ、フィルムコンデンサ、 正特性サーミスタ“ポジアール?”、Ｖ２Ｈシステム、 家庭用蓄電システム、ＥＶ,京都府京都市中京区烏丸通御池上る二条殿町５５１番地,,http://www.nichicon.co.jp/,2026-06-25
株式会社日興商会,1140001050558,,,,,,,,,06-6487-1401,650,印刷・事務用品販売業 オフィス家具・OA機器の販売,兵庫県尼崎市東難波町５丁目１０番３０号,,https://nikko.bunguclub.co.jp/,2026-06-25
ワールドビジネスセンター株式会社,2130001012070,,,,,,,,,03-5289-9966,634,システム運用管理、システム開発、ネットワークシステムの保守、コンピュータ及び周辺機器・消耗品等の販売、パッケージソフトの,京都府京都市南区西九条東御幸田町２５番２,,https://www.wbc.co.jp/,2026-06-25
中国塗料株式会社,1240001028478,,,,,,,,,03-6457-9025,519,塗料製造販売,広島県大竹市明治新開１番７,,https://www.cmp.co.jp/,2026-06-25
環境をサポートする株式会社きらめき,1110001001720,,,,,,,,,025-228-7586,832,ビルメンテナンス・清掃・警備・指定管理者,新潟県新潟市中央区東堀前通６番町１０６１番地,,https://kirameki.co.jp/,2026-06-25
