企業名,電話,メール,業種,従業員数レンジ,採用人数,リード状況,経路温度,セグメント,提案プラン,類似スコア,成約見込み,経路lift,業種lift,規模lift,採用lift,確信軸数,なぜ類似
兵庫トヨタ自動車株式会社,078-252-2800,saiyo@hyogotoyota.co.jp,商社,500～1千人未満,11～15名,89：リサイクル,アウトバウンド架電,有効(中堅上),スタンダード提案,90,89.9%,1.77x,1.51x,1.30x,1.52x,4,経路[アウトバウンド架電]1.77x｜業種[商社]1.51x｜規模[500-1000名]1.30x｜新卒採用[11-15名]1.52x｜スタンダード提案｜成約見込89.9%
野村アセットマネジメント株式会社,03-6387-5000,,金融・保険,500～1千人未満,26～30名,03：コネクト情報獲得,未タグ(温/手入力),有効(中堅上),スタンダード提案,88,88.1%,1.26x,2.07x,1.30x,1.53x,4,経路[未タグ(温/手入力)]1.26x｜業種[金融・保険]2.07x｜規模[500-1000名]1.30x｜新卒採用[21-30名]1.53x｜スタンダード提案｜成約見込88.1%
株式会社但馬銀行,0796-24-2111,jinji@tajimabank.co.jp,金融・保険,500～1千人未満,46～50名,89：リサイクル,未タグ(温/手入力),有効(中堅上),スタンダード提案,81,81.1%,1.26x,2.07x,1.30x,1.41x,4,経路[未タグ(温/手入力)]1.26x｜業種[金融・保険]2.07x｜規模[500-1000名]1.30x｜新卒採用[31-50名]1.41x｜スタンダード提案｜成約見込81.1%
アジレントテクノロジー株式会社,042-660-3111,rec_college@agilent.com,メーカー （機械・電気・電子）,300～500人未満,11～15名,01：新規,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,80,79.9%,1.26x,1.75x,1.41x,1.52x,4,経路[未タグ(温/手入力)]1.26x｜業種[メーカー （機械・電気・電子）]1.75x｜規模[300-500名]1.41x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込79.9%
株式会社岡山マツダ,086-243-1538,,商社,100～300人未満,6～10名,89：リサイクル,アウトバウンド架電,主戦場(スイート),ミニマム/ミドル,79,78.9%,1.77x,1.51x,1.12x,1.55x,4,経路[アウトバウンド架電]1.77x｜業種[商社]1.51x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込78.9%
コーチ・ジャパン合同会社,03-6894-2600,,流通・小売・物販,2千～5千人未満,51～100名,01：新規,未タグ(温/手入力),要注意(大),競合ATS確認,77,76.5%,1.26x,2.35x,1.15x,1.32x,4,経路[未タグ(温/手入力)]1.26x｜業種[流通・小売・物販]2.35x｜規模[2000-5000名]1.15x｜新卒採用[51-100名]1.32x｜競合ATS確認｜成約見込76.5%
九州カード株式会社,092-452-4520,,金融・保険,100～300人未満,6～10名,89：リサイクル,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,77,76.9%,1.26x,2.07x,1.12x,1.55x,4,経路[未タグ(温/手入力)]1.26x｜業種[金融・保険]2.07x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込76.9%
東日本建設業保証株式会社,03-3545-5121,,金融・保険,100～300人未満,6～10名,89：リサイクル,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,77,76.9%,1.26x,2.07x,1.12x,1.55x,4,経路[未タグ(温/手入力)]1.26x｜業種[金融・保険]2.07x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込76.9%
株式会社ヤノメガネ,097-536-5532,,その他サービス（個人向け）,100～300人未満,6～10名,02：担当者未接触,アウトバウンド架電,主戦場(スイート),ミニマム/ミドル,76,75.8%,1.77x,1.45x,1.12x,1.55x,4,経路[アウトバウンド架電]1.77x｜業種[その他サービス（個人向け）]1.45x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込75.8%
株式会社グランド商事,087-823-3456,fukui@grand-p.co.jp,その他サービス（個人向け）,100～300人未満,16～20名,89：リサイクル,アウトバウンド架電,主戦場(スイート),ミニマム/ミドル,75,74.5%,1.77x,1.45x,1.12x,1.52x,4,経路[アウトバウンド架電]1.77x｜業種[その他サービス（個人向け）]1.45x｜規模[100-300名]1.12x｜新卒採用[16-20名]1.52x｜ミニマム/ミドル｜成約見込74.5%
アルインコ株式会社,0845-270394,saiyo@alinco.co.jp,メーカー （機械・電気・電子）,500～1千人未満,11～15名,89：リサイクル,未タグ(温/手入力),有効(中堅上),スタンダード提案,74,73.8%,1.26x,1.75x,1.30x,1.52x,4,経路[未タグ(温/手入力)]1.26x｜業種[メーカー （機械・電気・電子）]1.75x｜規模[500-1000名]1.30x｜新卒採用[11-15名]1.52x｜スタンダード提案｜成約見込73.8%
シチズン時計株式会社,042-468-4600,recruiting@citizen.co.jp,メーカー （機械・電気・電子）,500～1千人未満,16～20名,01：新規,未タグ(温/手入力),有効(中堅上),スタンダード提案,74,73.9%,1.26x,1.75x,1.30x,1.52x,4,経路[未タグ(温/手入力)]1.26x｜業種[メーカー （機械・電気・電子）]1.75x｜規模[500-1000名]1.30x｜新卒採用[16-20名]1.52x｜スタンダード提案｜成約見込73.9%
ホクサイ農業協同組合,048-561-6911,,公共インフラ・エネルギー・環境,300～500人未満,6～10名,89：リサイクル,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,74,73.7%,1.26x,1.58x,1.41x,1.55x,4,経路[未タグ(温/手入力)]1.26x｜業種[公共インフラ・エネルギー・環境]1.58x｜規模[300-500名]1.41x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込73.7%
三菱自動車エンジニアリング株式会社,0564-31-2715,,メーカー （機械・電気・電子）,1千～2千人未満,21～25名,01：新規,未タグ(温/手入力),有効(上限),スタンダード提案,74,74.4%,1.26x,1.75x,1.30x,1.53x,4,経路[未タグ(温/手入力)]1.26x｜業種[メーカー （機械・電気・電子）]1.75x｜規模[1000-2000名]1.30x｜新卒採用[21-30名]1.53x｜スタンダード提案｜成約見込74.4%
株式会社丸本,0884-73-1113,,メーカー（素材・食品・医薬品他),100～300人未満,16～20名,89：リサイクル,アウトバウンド架電,主戦場(スイート),ミニマム/ミドル,73,73.1%,1.77x,1.43x,1.12x,1.52x,4,経路[アウトバウンド架電]1.77x｜業種[メーカー（素材・食品・医薬品他)]1.43x｜規模[100-300名]1.12x｜新卒採用[16-20名]1.52x｜ミニマム/ミドル｜成約見込73.1%
筑前アサクラ農業協同組合,0946-23-2222,,公共インフラ・エネルギー・環境,300～500人未満,26～30名,89：リサイクル,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,73,72.8%,1.26x,1.58x,1.41x,1.53x,4,経路[未タグ(温/手入力)]1.26x｜業種[公共インフラ・エネルギー・環境]1.58x｜規模[300-500名]1.41x｜新卒採用[21-30名]1.53x｜ミニマム/ミドル｜成約見込72.8%
岡山ダイハツ販売株式会社,086-241-5201,,商社,300～500人未満,6～10名,89：リサイクル,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,70,70.4%,1.26x,1.51x,1.41x,1.55x,4,経路[未タグ(温/手入力)]1.26x｜業種[商社]1.51x｜規模[300-500名]1.41x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込70.4%
株式会社GSIクレオス,03-5211-1817,saiyo@gsi.co.jp,商社,300～500人未満,11～15名,01：新規,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,69,69.2%,1.26x,1.51x,1.41x,1.52x,4,経路[未タグ(温/手入力)]1.26x｜業種[商社]1.51x｜規模[300-500名]1.41x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込69.2%
株式会社ラックコーポレーション,03-3586-7501,saiyou@lac-corp.com,介護・保育・医療法人等,100～300人未満,6～10名,89：リサイクル,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,68,67.5%,1.26x,1.82x,1.12x,1.55x,4,経路[未タグ(温/手入力)]1.26x｜業種[介護・保育・医療法人等]1.82x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込67.5%
フクシマ未来農業協同組合,024-573-4076,,公共インフラ・エネルギー・環境,1千～2千人未満,16～20名,01：新規,未タグ(温/手入力),有効(上限),スタンダード提案,67,67.1%,1.26x,1.58x,1.30x,1.52x,4,経路[未タグ(温/手入力)]1.26x｜業種[公共インフラ・エネルギー・環境]1.58x｜規模[1000-2000名]1.30x｜新卒採用[16-20名]1.52x｜スタンダード提案｜成約見込67.1%
遠州中央農業協同組合,0538-36-7002,,公共インフラ・エネルギー・環境,500～1千人未満,16～20名,01：新規,未タグ(温/手入力),有効(中堅上),スタンダード提案,67,66.9%,1.26x,1.58x,1.30x,1.52x,4,経路[未タグ(温/手入力)]1.26x｜業種[公共インフラ・エネルギー・環境]1.58x｜規模[500-1000名]1.30x｜新卒採用[16-20名]1.52x｜スタンダード提案｜成約見込66.9%
住友商事フィナンシャルマネジメント株式会社,03-5166-6866,sfm-saiyo@sumitomocorp.com,商社,300～500人未満,11～15名,01：新規,その他タグ,主戦場(スイート),ミニマム/ミドル,67,66.9%,1.22x,1.51x,1.41x,1.52x,4,経路[その他タグ]1.22x｜業種[商社]1.51x｜規模[300-500名]1.41x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込66.9%
都城農業協同組合,0986-22-9815,,公共インフラ・エネルギー・環境,500～1千人未満,11～15名,01：新規,未タグ(温/手入力),有効(中堅上),スタンダード提案,67,66.9%,1.26x,1.58x,1.30x,1.52x,4,経路[未タグ(温/手入力)]1.26x｜業種[公共インフラ・エネルギー・環境]1.58x｜規模[500-1000名]1.30x｜新卒採用[11-15名]1.52x｜スタンダード提案｜成約見込66.9%
東京海上日動ベターライフサービス株式会社,03-5717-1820,saiyo@tnbls.co.jp,介護・保育・医療法人等,100～300人未満,21～25名,01：新規,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,67,66.7%,1.26x,1.82x,1.12x,1.53x,4,経路[未タグ(温/手入力)]1.26x｜業種[介護・保育・医療法人等]1.82x｜規模[100-300名]1.12x｜新卒採用[21-30名]1.53x｜ミニマム/ミドル｜成約見込66.7%
日本酪農協同株式会社,0725-41-7111,,メーカー（素材・食品・医薬品他),300～500人未満,6～10名,89：リサイクル,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,66,66.4%,1.26x,1.43x,1.41x,1.55x,4,経路[未タグ(温/手入力)]1.26x｜業種[メーカー（素材・食品・医薬品他)]1.43x｜規模[300-500名]1.41x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込66.4%
タカノフーズ株式会社,0299-58-5101,,メーカー（素材・食品・医薬品他),300～500人未満,11～15名,01：新規,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,65,65.2%,1.26x,1.43x,1.41x,1.52x,4,経路[未タグ(温/手入力)]1.26x｜業種[メーカー（素材・食品・医薬品他)]1.43x｜規模[300-500名]1.41x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込65.2%
浜松日産自動車株式会社,080-3351-8445,k-yoshida@hamamatsu-nissan.co.jp,商社,500～1千人未満,6～10名,89：リサイクル,未タグ(温/手入力),有効(中堅上),スタンダード提案,65,65.0%,1.26x,1.51x,1.30x,1.55x,4,経路[未タグ(温/手入力)]1.26x｜業種[商社]1.51x｜規模[500-1000名]1.30x｜新卒採用[6-10名]1.55x｜スタンダード提案｜成約見込65.0%
株式会社IHIインフラ建設,03-3699-2790,iik-jinji_iik@ihi-g.com,不動産・建設・設備,300～500人未満,16～20名,01：新規,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,64,64.0%,1.26x,1.40x,1.41x,1.52x,4,経路[未タグ(温/手入力)]1.26x｜業種[不動産・建設・設備]1.40x｜規模[300-500名]1.41x｜新卒採用[16-20名]1.52x｜ミニマム/ミドル｜成約見込64.0%
株式会社ネクスティエレクトロニクス,03-5462-9611,nxt-saiyo@nexty-ele.com,商社,500～1千人未満,11～15名,01：新規,未タグ(温/手入力),有効(中堅上),スタンダード提案,64,63.9%,1.26x,1.51x,1.30x,1.52x,4,経路[未タグ(温/手入力)]1.26x｜業種[商社]1.51x｜規模[500-1000名]1.30x｜新卒採用[11-15名]1.52x｜スタンダード提案｜成約見込63.9%
株式会社パパマルハウス,025-290-0880,,不動産・建設・設備,300～500人未満,11～15名,01：新規,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,64,64.0%,1.26x,1.40x,1.41x,1.52x,4,経路[未タグ(温/手入力)]1.26x｜業種[不動産・建設・設備]1.40x｜規模[300-500名]1.41x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込64.0%
札幌トヨタ自動車株式会社,011-231-3111,,商社,500～1千人未満,16～20名,01：新規,未タグ(温/手入力),有効(中堅上),スタンダード提案,64,64.0%,1.26x,1.51x,1.30x,1.52x,4,経路[未タグ(温/手入力)]1.26x｜業種[商社]1.51x｜規模[500-1000名]1.30x｜新卒採用[16-20名]1.52x｜スタンダード提案｜成約見込64.0%
住友商事グローバルメタルズ株式会社,03-6285-7141,saiyo@scgm.co.jp,商社,500～1千人未満,16～20名,01：新規,未タグ(温/手入力),有効(中堅上),スタンダード提案,64,64.0%,1.26x,1.51x,1.30x,1.52x,4,経路[未タグ(温/手入力)]1.26x｜業種[商社]1.51x｜規模[500-1000名]1.30x｜新卒採用[16-20名]1.52x｜スタンダード提案｜成約見込64.0%
森川産業株式会社,026-272-0640,ka-yanagisawa@morikawa-inc.com,メーカー （機械・電気・電子）,100～300人未満,11～15名,89：リサイクル,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,64,63.7%,1.26x,1.75x,1.12x,1.52x,4,経路[未タグ(温/手入力)]1.26x｜業種[メーカー （機械・電気・電子）]1.75x｜規模[100-300名]1.12x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込63.7%
伊那食品工業株式会社,0265-78-1121,,メーカー（素材・食品・医薬品他),500～1千人未満,21～25名,89：リサイクル,未タグ(温/手入力),有効(中堅上),スタンダード提案,61,60.6%,1.26x,1.43x,1.30x,1.53x,4,経路[未タグ(温/手入力)]1.26x｜業種[メーカー（素材・食品・医薬品他)]1.43x｜規模[500-1000名]1.30x｜新卒採用[21-30名]1.53x｜スタンダード提案｜成約見込60.6%
株式会社NAITO,0561-33-1520,,その他サービス（個人向け）,500～1千人未満,11～15名,01：新規,未タグ(温/手入力),有効(中堅上),スタンダード提案,61,61.4%,1.26x,1.45x,1.30x,1.52x,4,経路[未タグ(温/手入力)]1.26x｜業種[その他サービス（個人向け）]1.45x｜規模[500-1000名]1.30x｜新卒採用[11-15名]1.52x｜スタンダード提案｜成約見込61.4%
株式会社クリスタルインターナショナル,03-5413-6078,saiyou@raphaelchapel.com,その他サービス（個人向け）,500～1千人未満,16～20名,01：新規,未タグ(温/手入力),有効(中堅上),スタンダード提案,61,61.5%,1.26x,1.45x,1.30x,1.52x,4,経路[未タグ(温/手入力)]1.26x｜業種[その他サービス（個人向け）]1.45x｜規模[500-1000名]1.30x｜新卒採用[16-20名]1.52x｜スタンダード提案｜成約見込61.5%
ロート製薬株式会社,06-6758-1231,,メーカー（素材・食品・医薬品他),1千～2千人未満,16～20名,01：新規,未タグ(温/手入力),有効(上限),スタンダード提案,60,60.5%,1.26x,1.43x,1.30x,1.52x,4,経路[未タグ(温/手入力)]1.26x｜業種[メーカー（素材・食品・医薬品他)]1.43x｜規模[1000-2000名]1.30x｜新卒採用[16-20名]1.52x｜スタンダード提案｜成約見込60.5%
三井物産フォーサイト株式会社,03-6772-7501,jinji_saiyo@mb-f.co.jp,不動産・建設・設備,500～1千人未満,6～10名,89：リサイクル,未タグ(温/手入力),有効(中堅上),スタンダード提案,60,60.1%,1.26x,1.40x,1.30x,1.55x,4,経路[未タグ(温/手入力)]1.26x｜業種[不動産・建設・設備]1.40x｜規模[500-1000名]1.30x｜新卒採用[6-10名]1.55x｜スタンダード提案｜成約見込60.1%
長岡市役所,0258-39-2201,jinji@city.nagaoka.lg.jp,公共インフラ・エネルギー・環境,2千～5千人未満,6～10名,89：リサイクル,未タグ(温/手入力),要注意(大),競合ATS確認,60,60.5%,1.26x,1.58x,1.15x,1.55x,4,経路[未タグ(温/手入力)]1.26x｜業種[公共インフラ・エネルギー・環境]1.58x｜規模[2000-5000名]1.15x｜新卒採用[6-10名]1.55x｜競合ATS確認｜成約見込60.5%
JR九州ホテルズ株式会社,092-413-5900,,レジャー・アミューズメントサービス,100～300人未満,26～30名,89：リサイクル,アウトバウンド架電,主戦場(スイート),ミニマム/ミドル,59,59.0%,1.77x,1.14x,1.12x,1.53x,4,経路[アウトバウンド架電]1.77x｜業種[レジャー・アミューズメントサービス]1.14x｜規模[100-300名]1.12x｜新卒採用[21-30名]1.53x｜ミニマム/ミドル｜成約見込59.0%
東宇和農業協同組合,0894-62-1211,soumubu@ec4.technowave.ne.jp,公共インフラ・エネルギー・環境,100～300人未満,6～10名,89：リサイクル,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,59,58.7%,1.26x,1.58x,1.12x,1.55x,4,経路[未タグ(温/手入力)]1.26x｜業種[公共インフラ・エネルギー・環境]1.58x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込58.7%
サツマ日置農業協同組合,099-273-3290,,公共インフラ・エネルギー・環境,100～300人未満,11～15名,01：新規,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,58,57.7%,1.26x,1.58x,1.12x,1.52x,4,経路[未タグ(温/手入力)]1.26x｜業種[公共インフラ・エネルギー・環境]1.58x｜規模[100-300名]1.12x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込57.7%
株式会社サンユテクノスプラントエンジニアズ,03-3876-9061,,公共インフラ・エネルギー・環境,100～300人未満,11～15名,01：新規,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,58,57.7%,1.26x,1.58x,1.12x,1.52x,4,経路[未タグ(温/手入力)]1.26x｜業種[公共インフラ・エネルギー・環境]1.58x｜規模[100-300名]1.12x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込57.7%
ダンロップタイヤ四国株式会社,087-882-2729,,商社,100～300人未満,6～10名,89：リサイクル,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,56,56.1%,1.26x,1.51x,1.12x,1.55x,4,経路[未タグ(温/手入力)]1.26x｜業種[商社]1.51x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込56.1%
株式会社ANACargo,03-6735-1900,saiyou@anacargo.jp,運輸・交通・物流・倉庫,500～1千人未満,21～25名,01：新規,その他タグ,有効(中堅上),スタンダード提案,56,56.2%,1.22x,1.37x,1.30x,1.53x,4,経路[その他タグ]1.22x｜業種[運輸・交通・物流・倉庫]1.37x｜規模[500-1000名]1.30x｜新卒採用[21-30名]1.53x｜スタンダード提案｜成約見込56.2%
株式会社ADEKA,03-4455-2806,saiyou@adeka.co.jp,メーカー（素材・食品・医薬品他),1千～2千人未満,31～35名,02：担当者未接触,未タグ(温/手入力),有効(上限),スタンダード提案,56,55.9%,1.26x,1.43x,1.30x,1.41x,4,経路[未タグ(温/手入力)]1.26x｜業種[メーカー（素材・食品・医薬品他)]1.43x｜規模[1000-2000名]1.30x｜新卒採用[31-50名]1.41x｜スタンダード提案｜成約見込55.9%
トヨタカローラ長崎株式会社,095-861-9490,saiyou@c-nagasaki.co.jp,商社,100～300人未満,6～10名,89：リサイクル,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,56,56.1%,1.26x,1.51x,1.12x,1.55x,4,経路[未タグ(温/手入力)]1.26x｜業種[商社]1.51x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込56.1%
東京新宿ベジフル株式会社,03-5925-5600,,商社,100～300人未満,11～15名,01：新規,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,55,55.1%,1.26x,1.51x,1.12x,1.52x,4,経路[未タグ(温/手入力)]1.26x｜業種[商社]1.51x｜規模[100-300名]1.12x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込55.1%
因幡電機産業株式会社,06-4391-1805,jinji@inaba.co.jp,商社,1千～2千人未満,51～100名,02：担当者未接触,その他タグ,有効(上限),スタンダード提案,54,53.9%,1.22x,1.51x,1.30x,1.32x,4,経路[その他タグ]1.22x｜業種[商社]1.51x｜規模[1000-2000名]1.30x｜新卒採用[51-100名]1.32x｜スタンダード提案｜成約見込53.9%
株式会社エクシオジャパン,050-8881-1333,jobexeo@exeo-japan.co.jp,その他サービス（個人向け）,100～300人未満,6～10名,89：リサイクル,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,54,53.9%,1.26x,1.45x,1.12x,1.55x,4,経路[未タグ(温/手入力)]1.26x｜業種[その他サービス（個人向け）]1.45x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込53.9%
小野株式会社,087-851-2741,soumu@dream-ono.co.jp,その他サービス（個人向け）,100～300人未満,6～10名,89：リサイクル,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,54,53.9%,1.26x,1.45x,1.12x,1.55x,4,経路[未タグ(温/手入力)]1.26x｜業種[その他サービス（個人向け）]1.45x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込53.9%
ANA大阪空港株式会社,06-6855-1116,saiyou@osaap-g.com,運輸・交通・物流・倉庫,500～1千人未満,36～40名,89：リサイクル,未タグ(温/手入力),有効(中堅上),スタンダード提案,53,53.5%,1.26x,1.37x,1.30x,1.41x,4,経路[未タグ(温/手入力)]1.26x｜業種[運輸・交通・物流・倉庫]1.37x｜規模[500-1000名]1.30x｜新卒採用[31-50名]1.41x｜スタンダード提案｜成約見込53.5%
株式会社サガシキ,0952-30-8510,recruit@sagasiki.co.jp,メーカー（素材・食品・医薬品他),100～300人未満,6～10名,89：リサイクル,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,53,52.9%,1.26x,1.43x,1.12x,1.55x,4,経路[未タグ(温/手入力)]1.26x｜業種[メーカー（素材・食品・医薬品他)]1.43x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込52.9%
山梨トヨペット株式会社,055-235-0102,takanaru_koike@p-ymn.co.jp,その他サービス（個人向け）,100～300人未満,11～15名,89：リサイクル,未タグ(温/手入力),主戦場(スイート),ミニマム/ミドル,53,53.0%,1.26x,1.45x,1.12x,1.52x,4,経路[未タグ(温/手入力)]1.26x｜業種[その他サービス（個人向け）]1.45x｜規模[100-300名]1.12x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込53.0%
株式会社STNet,087-887-2400,erika.mitsufuji@stnet.co.jp,通信・インフラ,500～1千人未満,21～25名,89：リサイクル,アウトバウンド架電,有効(中堅上),スタンダード提案,52,51.9%,1.77x,0.87x,1.30x,1.53x,4,経路[アウトバウンド架電]1.77x｜業種[通信・インフラ]0.87x｜規模[500-1000名]1.30x｜新卒採用[21-30名]1.53x｜スタンダード提案｜成約見込51.9%
