企業名,公式URL,採用担当者名,役職,部署,確度,取得元,根拠URL,根拠,マイナビ掲載,電話番号,メール,卒年,募集職種数,採用予定人数
三機テクノサポート株式会社,https://www.sanki.co.jp/sts/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp87120/outline.html,マイナビ掲載確認(担当者名は非公開),○,03-6367-7640,,2026,,2
株式会社ケアコネクトジャパン,https://www.carekarte.jp/,,,人事課,,マイナビ,https://job.mynavi.jp/27/pc/search/corp200631/outline.html,マイナビ掲載確認(担当者名は非公開),○,054-202-0304,,2026,,6
古川電気工業株式会社,https://furukawa-denki.com/,,,総務部,,マイナビ,https://job.mynavi.jp/27/pc/search/corp230415/outline.html,マイナビ掲載確認(担当者名は非公開),○,022-236-6031,soumu.bu2@furukawa-denki.com,2026,,1
株式会社スズキ自販滋賀,https://www.suzuki.co.jp/dealer/sj-shiga/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp60025/outline.html,マイナビ掲載確認(担当者名は非公開),○,077-551-1588,,2026,,
株式会社スズキ自販松山,https://www.suzuki.co.jp/dealer/sj-matsuyama/,,,管理部,,マイナビ,https://job.mynavi.jp/27/pc/search/corp211225/outline.html,マイナビ掲載確認(担当者名は非公開),○,089-971-6112,recruit@j-matsuyama.sdr.suzuki,2026,,6
株式会社オカムラ,https://okamura-tmc.co.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp54734/outline.html,マイナビ掲載確認(担当者名は非公開),○,045-319-3401,,2026,,
中央紙器工業株式会社,http://www.mcpack.co.jp/,,,総務部,,マイナビ,https://job.mynavi.jp/27/pc/search/corp216755/outline.html,マイナビ掲載確認(担当者名は非公開),○,052-400-2800,,2026,,6
テスコ株式会社,https://tesco-inc.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp111800/outline.html,マイナビ掲載確認(担当者名は非公開),○,03-5244-5312,,2026,,
株式会社シバックス,https://sivax.co.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp72809/outline.html,マイナビ掲載確認(担当者名は非公開),○,045-934-7211,,2026,,
日新興業株式会社,https://www.nissin-tw.com/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp21871/outline.html,マイナビ掲載確認(担当者名は非公開),○,03-3256-1311,,2026,,1
株式会社グッドライフ,https://goodlifes.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp226568/outline.html,マイナビ掲載確認(担当者名は非公開),○,03-5797-8032,,2026,,
株式会社ミック,https://e-mic.co.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp291122/outline.html,マイナビ掲載確認(担当者名は非公開),○,04-7130-9003,,2026,,
共栄エンジニアリング株式会社,https://www.kyoei.ed.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp110365/outline.html,マイナビ掲載確認(担当者名は非公開),○,0250-61-2400,saiyou@kyoeieng.co.jp,2026,,6
不二越機械工業株式会社,https://www.fmc-fujikoshi.co.jp/,,,経営管理部,,マイナビ,https://job.mynavi.jp/27/pc/search/corp88343/outline.html,マイナビ掲載確認(担当者名は非公開),○,026-261-2000,jinji@fmc-fujikoshi.co.jp,2026,,6
中日本メディカルリンク株式会社,https://www.dragons.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp58811/outline.html,マイナビ掲載確認(担当者名は非公開),○,0263-38-0411,jml_hr.jinji@jmlink.co.jp,2026,,
キタイ設計株式会社,https://www.dell.com/ja-jp,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp244684/outline.html,マイナビ掲載確認(担当者名は非公開),○,0748-46-2336,,2026,,
空研工業株式会社,http://www.kuken.com/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp249727/outline.html,マイナビ掲載確認(担当者名は非公開),○,092-923-1161,,2026,,
日本高圧コンクリート株式会社,https://www.nihonkoatsu.co.jp/,,,総務部,,マイナビ,https://job.mynavi.jp/27/pc/search/corp52108/outline.html,マイナビ掲載確認(担当者名は非公開),○,011-241-7105,y.fukuhara@nihonkoatsu.co.jp,2026,,6
福岡酸素株式会社,https://fksanso.co.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp83346/outline.html,マイナビ掲載確認(担当者名は非公開),○,0942-33-0411,,2026,,
西菱電機株式会社,https://www.seiryodenki.co.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp269319/outline.html,マイナビ掲載確認(担当者名は非公開),○,06-6345-4160,,2026,,
株式会社サンネット,http://www.csunnet.co.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp53666/outline.html,マイナビ掲載確認(担当者名は非公開),○,03-6844-3600,,2026,,
グリーン産業株式会社,https://www.green-s.co.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp91968/outline.html,マイナビ掲載確認(担当者名は非公開),○,025-242-2711,,2026,,
株式会社市川工務店,https://www.ic-group.co.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp73236/outline.html,マイナビ掲載確認(担当者名は非公開),○,058-251-2242,,2026,,
エネサーブ株式会社,https://www.eneserve.co.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp214873/outline.html,マイナビ掲載確認(担当者名は非公開),○,077-543-6330,,2026,,
株式会社中島商会,https://www.nakashima-shokai.co.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp111785/outline.html,マイナビ掲載確認(担当者名は非公開),○,086-232-2711,,2026,,6
ユナイテッドトヨタ熊本株式会社,https://www.united-toyotakumamoto.jp/,,,人事室,,マイナビ,https://job.mynavi.jp/27/pc/search/corp250052/outline.html,マイナビ掲載確認(担当者名は非公開),○,096-372-6700,,2026,,11
株式会社エフコム,https://www.f-com.co.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp54687/outline.html,マイナビ掲載確認(担当者名は非公開),○,024-922-2555,jinji@f-com.co.jp,2026,,
横浜植木株式会社,https://www.yokohamaueki.co.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp286386/outline.html,マイナビ掲載確認(担当者名は非公開),○,045-262-7417,,2026,3,
株式会社テクアノーツ,https://www.tequanauts.co.jp/,,,テクアノーツ人事部,,マイナビ,https://job.mynavi.jp/27/pc/search/corp277297/outline.html,マイナビ掲載確認(担当者名は非公開),○,048-424-2800,recruit@tequanauts.co.jp,2026,,5
株式会社ユーメディア,https://www.u-media.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp74264/outline.html,マイナビ掲載確認(担当者名は非公開),○,022-714-8311,saiyo@u-media.jp,2026,,1
株式会社協同,https://www.kwl.co.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp247311/outline.html,マイナビ掲載確認(担当者名は非公開),○,097-578-7523,kyodo@globe.ocn.ne.jp,2026,,1
東洋システム株式会社,https://toyo-system.co.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp88566/outline.html,マイナビ掲載確認(担当者名は非公開),○,0246-72-2151,toyo_saiyo@toyo-system.co.jp,2026,,1
川北電気工業株式会社,https://www.kawakita.co.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp54605/outline.html,マイナビ掲載確認(担当者名は非公開),○,052-251-7111,,2026,,
インバースネット株式会社,https://www.inversenet.co.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp217321/outline.html,マイナビ掲載確認(担当者名は非公開),○,045-451-2411,,2026,,
株式会社じょうてつ,https://www.jotetsu.co.jp/,,,うてつ経営戦略室総務グループ,,マイナビ,https://job.mynavi.jp/27/pc/search/corp96733/outline.html,マイナビ掲載確認(担当者名は非公開),○,011-811-6141,recruit@jotetsu.co.jp,2026,,
