ログインID,アカウント,アカウント納品,アカウント納品日,会社ID,法人名,LINEアカウント登録企業名,基本年間プラン,現在利用プラン,更新前プラン,アップグレードプラン①,アップグレード①開始月,アップグレードプラン②,アップグレード②開始月,Email,LINE@ID,無料開始月,有料開始月,有料終了月,利用期間,作成日,備考欄
150,有効,済み,2019/03/04,1700,株式会社ダンスノットアクト,株式会社ダンスノットアクト,ミニマムプラン,ミニマムプラン,ライトプラン500,,,,,recruit@dancenotact.com,@egw6219n,,2026/03,2027/02,0,2019/03/04,20251127MO001
157,有効,済み,2019/03/08,1450,株式会社コムテック,株式会社コムテック,ミニマムプラン,ミニマムプラン,ライト,,,,,ogura@comtec-inc.co.jp,@nmo5269w,,2025/09,2026/08,0,2019/03/08,20250611MO006
194,有効,済み,2019/07/30,194,株式会社南西楽園リゾート,株式会社南西楽園リゾート,スタンダード,スタンダード,スタンダード,,,,,saiyou@nanseirakuen.com,@525lnbfe,,2026/02,2027/01,0,2019/07/30,20251201MO001
202,有効,済み,2019/09/10,202,東洋ハイテック株式会社,東洋ハイテック株式会社,スタンダード,スタンダード,スタンダード,,,,,recruit@toyohitec.com,@699gwtyj,,2025/10,2026/09,0,2019/09/10,20250509MO002
208,有効,済み,2019/10/01,1580,THKインテックス株式会社,THKインテックス株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,e.okada@thkintechs.co.jp,@220rqmlm,,2026/01,2026/12,0,2019/10/01,20250919MO001
211,有効,済み,2019/11/01,211,ジャパニアス株式会社,ジャパニアス株式会社,スタンダード,スタンダード,スタンダード,,,,,entry@jna.co.jp,@251gisvn,,2025/12,2026/11,0,2019/10/23,20250905MO002
218,有効,済み,2019/11/01,1559,日本シグマックス株式会社,日本シグマックス株式会社,データ利用プラン,データ利用プラン,スタンダード,,,,,saiyo@sigmax.co.jp,@248dgfuy,,2025/12,2026/11,0,2019/11/01,20250828MO018
221,有効,済み,2019/11/01,221,株式会社日本ハウスホールディングス,株式会社日本ハウスホールディングス,スタンダード,スタンダード,スタンダード,,,,,s.tomita@nihonhouse-hd.co.jp,@076kqqfn,,2025/11,2026/10,0,2019/11/01,20250808MO001
228,有効,済み,2019/12/02,1588,世紀東急工業株式会社,世紀東急工業株式会社,ミニマムプラン,ミニマムプラン,スタンダード,,,,,seikitokyu@saiyo25.com,@163bckqh,,2026/01,2026/12,0,2019/12/02,20251225MO003
239,有効,済み,2020/01/06,1513,東邦電機工業株式会社,東邦電機工業株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,saiyou@toho-elc.co.jp,@757bjvij,,2025/11,2026/10,0,2020/01/06,20250630MO003
240,有効,済み,2020/01/06,240,株式会社ティエム2,株式会社ティエム2,スタンダード,スタンダード,スタンダード,,,,,tm2.saiyo@tm2.co.jp,@533rajkd,,2026/02,2027/01,0,2020/01/06,20251114MO001
245,有効,済み,2020/01/08,245,株式会社渥美モータース,株式会社渥美モータース,スタンダード,スタンダード,スタンダード,,,,,saiyou@atm-car.co.jp,@006xoczo,,2026/02,2027/01,0,2020/01/08,20251120MO004
250,有効,済み,2020/01/16,1574,中部飼料株式会社,中部飼料株式会社,ミドルプラン,ミドルプラン,ライトプラン700,,,,,saiyo@chubushiryo.co.jp,@181cgjbp,,2026/01,2026/12,0,2020/01/16,20251014MO001
251,有効,済み,2020/01/16,1576,株式会社システムハウス．アイエヌジー,株式会社システムハウス．アイエヌジー,ミニマムプラン,ミニマムプラン,スタンダード,,,,,recruit@s-ing.co.jp,@334hchqh,,2026/01,2026/12,0,2020/01/16,20251016MO002
252,有効,済み,2020/01/28,1517,株式会社フレスタ,株式会社フレスタ,ミニマムプラン,ミニマムプラン,ライト,,,,,saiyo@fresta.co.jp,@336hvlym,,2025/11,2026/10,0,2020/01/28,20250808MO009
260,有効,済み,2021/02/26,1617,岐阜日産自動車株式会社,岐阜日産自動車株式会社,ミニマムプラン,ミニマムプラン,ライトプラン700,,,,,m_katou@gifu-nissan.co.jp,@992cdazw,,2026/02,2027/01,0,2020/02/03,20251114MO003
263,有効,済み,2020/02/03,263,日鉄鉱業株式会社,日鉄鉱業株式会社,スタンダード,スタンダード,スタンダード,,,,,jinji@nittetsukou.co.jp,@661uyaeo,2026/03,2025/03,2026/02,1,2020/02/04,20260324MO002
270,有効,済み,2020/02/05,270,株式会社山岸,株式会社山岸,スタンダード,スタンダード,スタンダード,,,,,yamakawa@yamakishi.co.jp,@883qgopg,,2026/02,2027/01,0,2020/02/05,20251118MO004
275,有効,済み,2020/02/18,275,株式会社シモジマ,株式会社シモジマ,スタンダード,スタンダード,スタンダード,,,,,saiyo@shimojima.co.jp,@042exgsl,,2026/03,2027/02,0,2020/02/18,20251104MO008
280,有効,済み,2020/03/11,1705,キューアンドエー株式会社,キューアンドエー株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,jin-edu@qag.jp,@709sclba,,2026/03,2027/02,0,2020/03/11,20260302MO002
287,有効,済み,2020/04/01,1361,伸和コントロールズ株式会社,伸和コントロールズ株式会社,データ利用プラン,データ利用プラン,データ利用プラン,,,,,kuroda-michiru@shinwa-cont.com,@134rgrho,,2026/05,2027/04,0,2020/04/01,20260129MO007
303,有効,済み,2020/06/01,303,堀川産業株式会社,堀川産業株式会社,スタンダード,スタンダード,スタンダード,,,,,somu2@horikawasangyo.co.jp,@080gwzbk,,2026/07,2027/06,1,2020/06/01,20260311MO002
307,有効,済み,2020/07/06,307,医療法人錦秀会,医療法人錦秀会,スタンダード,スタンダード,スタンダード,,,,,saiyou@kinshukai.or.jp,@992xcatr,,2026/07,2027/06,1,2020/07/06,20250609MO002
309,有効,済み,2020/07/17,309,大同生命保険株式会社,大同生命保険株式会社,スタンダード,スタンダード,スタンダード,,,,,gyomubu-saiyo@daido-life.co.jp,@312claub,,2026/07,2027/06,1,2020/07/14,20260619MO003
310,有効,済み,2020/07/31,310,NDS株式会社,NDS株式会社,スタンダード,スタンダード,スタンダード,,,,,saiyou@nds-g.co.jp,@506bzrjp,,2025/08,2026/07,0,2020/07/31,20250421MO001
332,有効,済み,2020/10/01,1475,武田病院グループ,武田病院グループ本部 福祉介護部,ミニマムプラン,ミニマムプラン,ライト,,,,,tnishimura@takedahp.or.jp,@405cxsxt,,2025/10,2026/09,0,2020/10/01,20250728MO008
334,有効,済み,2020/10/01,1516,社会福祉法人来島会,社会福祉法人来島会,データ利用プラン,データ利用プラン,ライト,,,,,saiyo@kurushimakai.or.jp,@423wtelf,,2025/11,2026/10,0,2020/10/01,20251023MO009
336,有効,済み,2020/10/01,1476,株式会社ネオキャリア,株式会社ネオキャリア,ミニマムプラン,ミニマムプラン,ライト,,,,,neo_recruit26@neo-career.co.jp,@667jfhvg,,2025/10,2026/09,0,2020/10/01,20250710MO002
341,有効,済み,2020/11/02,1512,シーレックス株式会社,シーレックス株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,nishiyama@sealex.com,@226iubgh,,2025/11,2026/10,0,2020/10/26,20250808MO004
348,有効,済み,2020/11/02,1332,明治屋産業株式会社,明治屋産業株式会社,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,somu6@mj-sangyo.co.jp,@417gmmmc,,2026/04,2027/03,0,2020/11/02,20251028MO009
349,有効,済み,2020/11/02,349,DHLサプライチェーン株式会社,DHLサプライチェーン株式会社,スタンダード,スタンダード,スタンダード,,,,,dsc-recruiting@dhl.com,@573kylgk,,2025/11,2026/10,0,2020/11/02,20250808MO002
352,有効,済み,2020/11/11,1542,ALSOK京滋株式会社,ALSOK京滋株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,kei-tani@alsok.co.jp,@597ttnil,,2025/12,2026/11,0,2020/11/10,20250828MO017
357,有効,済み,2020/12/01,1582,株式会社ヤスナ設計工房,株式会社ヤスナ設計工房,ミニマムプラン,ミニマムプラン,ライト,,,,,yamaguchi_t@yasna.co.jp,@783jnxsi,,2026/01,2026/12,0,2020/11/30,20251007MO005
358,有効,済み,2020/12/01,1575,株式会社サン電工社,株式会社サン電工社,ミニマムプラン,ミニマムプラン,ライト,,,,,saiyou@sandenko.co.jp,@352plepy,,2026/01,2026/12,0,2020/11/30,20251007MO004
360,有効,済み,2020/12/01,360,両備ホールディングス株式会社,両備グループ,スタンダード,スタンダード,スタンダード,,,,,saiyo-gr@ryobi-holdings.jp,@572xokkp,,2025/12,2026/11,0,2020/12/01,20250828MO012
362,有効,済み,2020/12/01,1541,株式会社IIJグローバルソリューションズ,株式会社IIJグローバルソリューションズ,ミニマムプラン,ミニマムプラン,ライト,,,,,newgraduate-dl@iijglobal.co.jp,@582clefk,,2025/12,2026/11,0,2020/12/01,20251007MO003
365,有効,済み,2020/12/15,365,パーソルクロステクノロジー株式会社,パーソルクロステクノロジー株式会社,スタンダード,スタンダード,スタンダード,,,,,pxt_shinsotsu@persol.co.jp,@tdj3919j,,2026/01,2026/12,0,2020/12/10,20251028MO005
368,有効,済み,2021/01/05,1621,日本橋梁株式会社,日本橋梁株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,uehigashi@nihon-kyoryo.co.jp,@540gisxb,,2026/02,2027/01,0,2020/12/29,20251024MO004
370,有効,済み,2021/01/05,1577,株式会社ゼニス,大学受験ディアロ,ミニマムプラン,ミニマムプラン,ライト,,,,,dialo_recruit02@zenis-ze.co.jp,@672ggjhx,,2026/01,2026/12,0,2021/01/05,20251210MO004
377,有効,済み,2021/01/12,1612,エア・ウォーター・マッハ株式会社,エア・ウォーター・マッハ株式会社,データ利用プラン,データ利用プラン,ライト,,,,,recruit@awimach.com,@503camny,,2026/02,2027/01,0,2021/01/12,20251028MO012
381,有効,済み,2021/01/15,381,オリエンタル白石株式会社,オリエンタル白石株式会社,スタンダード,スタンダード,スタンダード,,,,,saiyojinji@orsc.co.jp,@304hrndp,,2026/01,2026/12,0,2021/01/14,20251028MO001
386,有効,済み,2021/03/01,1659,国際セーフティー株式会社,国際セーフティー株式会社,データ利用プラン,データ利用プラン,ライト,,,,,recruit@kokusai-safety.co.jp,@887pktpu,,2026/02,2027/01,0,2021/02/01,20251118MO003
388,有効,済み,2021/02/01,1622,株式会社イガラシ,株式会社イガラシ,ミニマムプラン,ミニマムプラン,ライト,,,,,igarashi-recruit@igarashi-ltd.com,@358jykuj,,2026/02,2027/01,0,2021/02/01,20251104MO005
391,有効,済み,2021/02/01,545,イオンペット株式会社,イオンペット株式会社,スタンダード,スタンダード,スタンダード,,,,,recruit@aeonpet.co.jp,@023rapdz,,2026/02,2027/01,0,2021/02/01,20260113MO002
392,有効,済み,2021/02/01,1683,ホーメックス株式会社,ホーメックス株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,h-mizuno@homex-co.com,@546mmyjx,,2026/03,2027/02,0,2021/02/01,20260225MO003
393,有効,済み,2021/02/01,1625,株式会社ニッセーデリカ,株式会社ニッセーデリカ,ミニマムプラン,ミニマムプラン,ライトプラン500,,,,,saiyo.hs@nisseydelica.co.jp,@123fwlaf,,2026/02,2027/01,0,2021/02/01,20251027MO016
398,有効,済み,2021/02/01,1626,カネ井青果株式会社,カネ井青果株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,s.hayashi@kanei-seika.co.jp,@609jykfp,,2026/02,2027/01,0,2021/02/01,20251020MO005
400,有効,済み,2021/02/02,1624,株式会社魚国総本社,株式会社魚国総本社,ミニマムプラン,ミニマムプラン,ライト,,,,,j.mano@uokuni-s.co.jp,@805lbblg,,2026/02,2027/01,0,2021/02/02,20251212MO005
401,有効,未納,2021/02/03,401,株式会社N2i,株式会社N2i,スタンダード,スタンダード,,,,,,info@n2i.jp,@475igpfv,,,,0,2021/02/03,
402,有効,済み,2021/02/08,1627,株式会社オーハシテクニカ,株式会社オーハシテクニカ,ミニマムプラン,ミニマムプラン,ライト,,,,,saiyo@ohashi.co.jp,@046qnvom,,2026/02,2027/01,0,2021/02/08,20251202MO017
404,有効,済み,2021/02/16,1698,東北パイオニア株式会社,東北パイオニア株式会社,データ利用プラン,データ利用プラン,ライト,,,,,jinji.www_tpc@post.pioneer.co.jp,@794tkldn,,2026/03,2027/02,0,2021/02/16,20251210MO002
416,有効,済み,2021/03/01,1681,社会福祉法人信々会,社会福祉法人信々会,ミニマムプラン,ミニマムプラン,ライト,,,,,saka_info@midorii.jp,@451lzyrf,,2026/03,2027/02,0,2021/03/01,20251202MO002
417,有効,済み,2021/03/01,1685,アルプス中央信用金庫,アルプス中央信用金庫,ミニマムプラン,ミニマムプラン,ライト,,,,,jinji@alushin.co.jp,@588caaoc,,2026/03,2027/02,0,2021/03/01,20251106MO006
421,有効,済み,2021/03/01,1686,学校法人湘南やまゆり学園,学校法人 湘南やまゆり学園,データ利用プラン,データ利用プラン,ライト,,,,,honbu@friend.ocn.ne.jp,@923wmbbw,,2026/03,2027/02,0,2021/03/01,20251106MO005
429,有効,済み,2021/03/08,1684,株式会社コンシェルジュ,株式会社コンシェルジュ,ミニマムプラン,ミニマムプラン,ライト,,,,,info_concierge@izumi.coop,@215yqaqj,,2026/03,2027/02,0,2021/03/08,20251118MO007
435,有効,済み,2021/03/25,435,アイスター株式会社,アイスター株式会社,スタンダード,スタンダード,スタンダード,,,,,saiyou@i-star.co.jp,@174saijj,,2026/03,2027/02,0,2021/03/24,20251119MO001
436,有効,済み,2021/04/01,1316,アサヒレジャー株式会社,アサヒレジャー株式会社,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,jinji@fishing-you.com,@231agpho,,2026/04,2027/03,0,2021/03/29,20251202MO007
437,有効,済み,2021/04/01,1318,株式会社キング観光,株式会社キング観光,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,jinji@m-king.co.jp,@035lfaut,,2026/04,2027/03,0,2021/03/29,20260120MO004
441,有効,済み,2021/04/01,1334,社会福祉法人岡山千鳥福祉会,社会福祉法人岡山千鳥福祉会,データ利用プラン,データ利用プラン,データ利用プラン,,,,,sayo-hatta@shakkou.co.jp,@275drkvd,,2026/04,2027/03,0,2021/04/01,20251201MO004
443,有効,済み,2021/04/01,1317,株式会社バッファロー,株式会社バッファロー,データ利用プラン,データ利用プラン,データ利用プラン,,,,,recruit@buffalo.co.jp,@254nhswl,,2026/04,2027/03,0,2021/04/01,20251215MO005
444,有効,済み,2021/04/01,1322,東映シーエム株式会社,東映シーエム株式会社,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,cm_recruit@toei-cm.co.jp,@660lptmm,,2026/04,2027/03,0,2021/04/01,20251202MO009
445,有効,済み,2021/04/01,1321,株式会社轟組,株式会社轟組,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,c-yamanaka@todoroki.co.jp,@520xqqif,,2026/04,2027/03,0,2021/04/01,20251215MO009
446,有効,済み,2021/04/01,1320,株式会社山陰中央新報社,株式会社山陰中央新報社,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,saiyou@sanin-chuo.co.jp,@795yszxb,,2026/04,2027/03,0,2021/04/01,20260120MO006
451,有効,済み,2021/04/09,1319,鴻池メディカル株式会社,鴻池メディカル株式会社,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,j-ikusei@konoike-medical.co.jp,@770sathm,,2026/04,2027/03,0,2021/04/08,20251202MO008
458,有効,済み,2021/04/28,458,株式会社スーパー・コート,株式会社スーパー・コート,スタンダード,スタンダード,スタンダード,,,,,recruit@supercourt.co.jp,@iba5015m,,2026/05,2027/04,0,2021/04/28,20260205MO005
462,有効,済み,2021/05/06,1378,郡リース株式会社,郡リース株式会社,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,saiyo@kohri.co.jp,@281pxpxy,,2026/06,2027/05,0,2021/05/06,20260422MO002
464,有効,済み,2021/05/14,1356,株式会社あかりホールディングス,株式会社あかりホールディングス,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,k.okumoto@pa-re.co.jp,@519lokyg,,2026/05,2027/04,0,2021/05/13,20260205MO006
471,有効,未納,,471,株式会社ネオキャリア,【MOCHICA】レクチャーアカウント,スタンダード,スタンダード,,,,,,y_kitajima@mochica.jp,@948yymvl,,2024/11,2025/10,1,2021/05/25,20241003MO002
473,有効,済み,2021/06/18,1375,丸彦渡辺建設株式会社,丸彦渡辺建設株式会社,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,jinji@maruhiko.co.jp,@377jyifz,,2026/06,2027/05,0,2021/06/08,20260220MO001
476,有効,済み,2021/07/05,754,nmsエンジニアリング株式会社,nmsエンジニアリング株式会社,スタンダード,スタンダード,スタンダード,,,,,r_yoshida@eng.n-ms.co.jp,@563ypdes,,2025/08,2026/07,0,2021/06/18,20250501MO005
480,有効,済み,2021/07/01,1393,株式会社タカヤ,株式会社タカヤ,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,t_oota@takaya-net.co.jp,@310gaycb,,2026/07,2027/06,1,2021/06/24,20260421MO001
481,有効,済み,2021/07/01,1392,医療法人和光会,医療法人和光会,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,h-noda@wakokai.or.jp,@651rldxg,,2026/07,2027/06,1,2021/06/24,20260327MO003
490,有効,済み,2021/08/02,1420,スズキ岡山販売株式会社,スズキ岡山販売株式会社,データ利用プラン,データ利用プラン,ライト,,,,,recruit@s-okayama.sdr.suzuki,@810evvxq,,2025/08,2026/07,0,2021/07/27,20250514MO009
496,有効,済み,2021/08/04,1428,株式会社ヤスサキ,株式会社ヤスサキ,ミニマムプラン,ミニマムプラン,ライト,,,,,soumujinji@yasusaki.jp,@592vrxen,,2025/08,2026/07,0,2021/08/04,20250502MO003
500,有効,済み,2021/08/26,1455,株式会社ヒューマンアイズ,株式会社ヒューマンアイズ,ミニマムプラン,ミニマムプラン,ライトプラン700,,,,,a.domoto@humaneyes.co.jp,@275gffzb,,2025/09,2026/08,0,2021/08/26,20250627MO001
501,有効,済み,2021/08/26,1449,東京リスマチック株式会社,東京リスマチック株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,saiyou@lithmatic.co.jp,@155fgpbx,,2025/09,2026/08,0,2021/08/26,20250501MO001
504,有効,済み,2021/09/27,1454,株式会社中央設計技術研究所,株式会社中央設計技術研究所,ミニマムプラン,ミニマムプラン,ライト,,,,,saiyou@cser.co.jp,@182cvalq,,2025/09,2026/08,0,2021/09/13,20250612MO002
505,有効,済み,2021/09/17,505,NDSソリューション株式会社,NDSソリューション株式会社,スタンダード,スタンダード,スタンダード,,,,,new-saiyo@nsol.co.jp,@060bbewl,,2025/09,2026/08,0,2021/09/14,20250611MO005
508,有効,済み,2021/09/21,1511,一村産業株式会社,一村産業株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,saiyo.ima.mb@ima-ichimura.jp,@070tlsqw,,2025/11,2026/10,0,2021/09/21,20250804MO002
511,有効,済み,2021/10/04,1474,株式会社本久,株式会社本久,ミニマムプラン,ミニマムプラン,ライト,,,,,saiyou@motoq.co.jp,@573mvyml,,2025/10,2026/09,0,2021/09/27,20250428MO001
513,有効,済み,2021/11/01,1510,島津システムソリューションズ株式会社,島津システムソリューションズ株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,sssaiyou@sss.shimadzu.co.jp,@038oqubc,,2025/11,2026/10,0,2021/10/05,20250808MO003
517,有効,済み,2021/10/14,1509,株式会社アクティブライフ,株式会社アクティブライフ,ミニマムプラン,ミニマムプラン,ライト,,,,,toru-inoue@activelife.co.jp,@875nmcln,,2025/11,2026/10,0,2021/10/14,20250630MO004
519,有効,済み,2021/10/18,519,株式会社プレサンス,株式会社プレサンス,スタンダード,スタンダード,スタンダード,,,,,jinji@pressance.co.jp,@509orfva,,2025/11,2026/10,0,2021/10/15,20250807MO005
529,有効,済み,2021/11/18,536,株式会社明光ネットワークジャパン,株式会社明光ネットワークジャパン,スタンダード,スタンダード,スタンダード,,,,,meiko-saiyou@meikonetwork.jp,@313nvcui,,2025/12,2026/11,0,2021/11/16,20251017MO002
535,有効,済み,2021/12/01,1650,日産株式会社,日産株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,nissan-honsha@nissan23.ne.jp,@681jxrok,,2026/02,2027/01,0,2021/11/29,20251117MO003
536,有効,済み,2021/12/01,542,日本赤十字社,石巻赤十字病院,スタンダード,スタンダード,スタンダード,,,,,kengaku@ishinomaki.jrc.or.jp,@283xysjs,,2026/01,2026/12,0,2021/11/30, 20250929MO002
543,有効,済み,2022/01/01,639,AIAI Child Care株式会社,AIAI Child Care 株式会社,スタンダード,スタンダード,スタンダード,,,,,s-saiyo@aiai-group.co.jp,@293ntgev,,2026/01,2026/12,0,2021/12/17,20251016MO003
546,有効,済み,2022/01/04,1725,株式会社カインズ,株式会社カインズ,ミニマムプラン,スタンダード,スタンダード,スタンダード,2026/06,,,ch-entry@cainz.co.jp,@364qbqzg,,2026/02,2027/01,0,2021/12/23,20251219MO002　アップグレード：20260428MO005
548,有効,済み,2022/01/04,1581,Ｐ・Ｏ・Ｐホールディングス株式会社,Ｐ・Ｏ・Ｐホールディングス株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,pop-hd@pop-hd.co.jp,@542dijsn,,2026/01,2026/12,0,2021/12/23, 20250929MO001
551,有効,済み,2022/01/20,1573,株式会社島根銀行,株式会社島根銀行,ミニマムプラン,ミニマムプラン,ライト,,,,,jinji@shimagin.co.jp,@795lideb,,2026/01,2026/12,0,2022/01/11,20251007MO001
552,有効,済み,2022/01/17,565,フィールズ株式会社,フィールズ株式会社,スタンダード,スタンダード,スタンダード,,,,,f.recruit@fields.biz,@711hafau,,2026/02,2027/01,0,2022/01/13,20251121MO001
558,有効,済み,2022/02/01,1618,株式会社スズキ自販群馬,株式会社スズキ自販群馬,ミニマムプラン,ミニマムプラン,ライト,,,,,saiyou@j-gunma.sdr.suzuki,@539pgzex,,2026/02,2027/01,0,2022/01/21,20251029MO003
562,有効,済み,2022/02/01,1620,株式会社日本テクノス,テクノスグループ,ミニマムプラン,ミニマムプラン,ライトプラン500,,,,,tks_saiyoh@n-tks.com,@082lgyqb,,2026/02,2027/01,0,2022/01/26,20251023MO010
563,有効,済み,2022/02/01,1619,一般財団法人日本自動車研究所,一般財団法人日本自動車研究所,ミニマムプラン,ミニマムプラン,ライト,,,,,jarisaiyo@jari.or.jp,@385bwinp,,2026/02,2027/01,0,2022/01/28,20251202MO001
584,有効,済み,2022/02/15,1679,上伊那農業協同組合,上伊那農業協同組合,ミニマムプラン,ミニマムプラン,ライト,,,,,s-zinzi2@ina.nn-ja.or.jp,@527giuig,,2026/03,2027/02,0,2022/02/14,20251201MO003
600,有効,済み,2022/03/01,1587,社会福祉法人明石恵泉福祉会,明石恵泉福祉会,ミニマムプラン,ミニマムプラン,ライト,,,,,rouken-e@akashi-keisen.com,@621gfvhp,,2026/01,2026/12,0,2022/02/24,20251022MO004
605,有効,済み,2022/02/28,1670,株式会社ジーエスエレテック,株式会社ジーエスエレテック,ミニマムプラン,ミニマムプラン,ライト,,,,,seira.asai.j6d@jp-gse.com,@280ziitt,,2026/03,2027/02,0,2022/02/25,20251118MO005
606,有効,済み,2022/03/01,1697,株式会社ランドロームジャパン,株式会社ランドロームジャパン,ミニマムプラン,ミニマムプラン,ライト,,,,,e-kuwamoto@landrome.co.jp,@065ozmmn,,2026/03,2027/02,0,2022/02/25,20251117MO007
607,有効,済み,2022/03/01,1680,株式会社よどや,株式会社よどや,ミニマムプラン,ミニマムプラン,ライト,,,,,yodoyadrug@welcia-yakkyoku.co.jp,@099ycqif,,2026/03,2027/02,0,2022/02/28,20251117MO001
610,有効,済み,2022/03/01,1668,東亜石油株式会社,東亜石油株式会社,ミドルプラン,ミドルプラン,スタンダード,,,,,saiyou@toaoil.co.jp,@424ftkhk,,2026/03,2027/02,0,2022/02/28,20251217MO003
611,有効,済み,2022/03/01,628,株式会社Ｏｎｅ　Ｔｅｒｒａｃｅ,ダッソー・システムズ株式会社,スタンダード,スタンダード,スタンダード,,,,,dassault-systemes@m-career.com,@031ngbfr,,2026/03,2027/02,0,2022/02/28,20260127MO001
617,有効,済み,2022/04/01,1330,株式会社アズコムデータセキュリティ,株式会社アズコムデータセキュリティ,ミドルプラン,ミドルプラン,ミドルプラン,,,,,ads-jinji@momotaro.co.jp,@991qogkc,,2026/04,2027/03,0,2022/03/09,20251215MO006
623,有効,未納,,650,株式会社テスト2203,株式会社テスト2203,スタンダード,スタンダード,,,,,,support2@mochica.jp,@564sllfd,,,,0,2022/03/11,
634,有効,済み,2022/04/15,1323,ＪＸ金属株式会社,JX金属株式会社,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,tanto.saiyo@nmm.jx-group.co.jp,@439ijrid,,2026/04,2027/03,0,2022/04/13,20251202MO010
651,有効,済み,2022/06/01,691,株式会社パーク・コーポレーション,株式会社パーク・コーポレーション,スタンダード,スタンダード,スタンダード,,,,,recruit2459@park-corp.jp,@182npmjy,,2026/06,2027/05,0,2022/05/30,20260219MO003
655,有効,済み,2022/06/01,1374,株式会社福島放送,株式会社福島放送,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,saiyo@kfb.co.jp,@678abfld,,2026/06,2027/05,0,2022/05/30,20260303MO001
