法人名,業種,業種マクロ,従業員数レンジ,従業員数バンド,年間新卒採用数,採用数バンド,都道府県,地域ブロック,電話,上場,設立年,社齢,補助金採択,基本プラン,現在プラン,更新前プラン,プラン変更,アップグレード,無料トライアル経由,有料開始月,次回更新月,テナー月数,獲得コホート年,獲得チャネル,SFリード状況,メールドメイン,ドメイン種別,メール担当種別,LINE名不一致,SF突合,gBiz突合
株式会社コムテック,,,50～100人未満,06:50-100,不明,,東京都,関東,042-468-6665,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/09,2026/08,11,2019,,99：アーカイブ,comtec-inc.co.jp,独自ドメイン,個人名/その他,,○,
株式会社南西楽園リゾート,ホテル・旅館,外食・サービス・レジャー,,,51～100名,8:51-100,沖縄県,九州・沖縄,0980-74-7070,,,,,スタンダード,スタンダード,スタンダード,,,,2026/02,2027/01,11,2019,マイナビ掲載リスト,99：アーカイブ,nanseirakuen.com,独自ドメイン,採用専用,,○,
東洋ハイテック株式会社,,,,,,,,,,,,,,スタンダード,スタンダード,スタンダード,,,,2025/10,2026/09,11,2019,,,toyohitec.com,独自ドメイン,採用専用,,,
THKインテックス株式会社,,,,,,,,,,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/01,2026/12,11,2019,,,thkintechs.co.jp,独自ドメイン,個人名/その他,,,
ジャパニアス株式会社,,,1千～2千人未満,10:1000-2000,不明,,神奈川県,関東,045-670-7240,上場,,,,スタンダード,スタンダード,スタンダード,,,,2025/12,2026/11,11,2019,,99：アーカイブ,jna.co.jp,独自ドメイン,個人名/その他,,○,
日本シグマックス株式会社,,,100～300人未満,07:100-300,不明,,東京都,関東,03-5326-3205,,,,,データ利用プラン,データ利用プラン,スタンダード,あり,,,2025/12,2026/11,11,2019,,99：アーカイブ,sigmax.co.jp,独自ドメイン,採用専用,,○,
株式会社日本ハウスホールディングス,,,,,不明,,,,080-6082-8378,上場,,,,スタンダード,スタンダード,スタンダード,,,,2025/11,2026/10,11,2019,,99：アーカイブ,nihonhouse-hd.co.jp,独自ドメイン,個人名/その他,,○,
世紀東急工業株式会社,建設・設備,建設・不動産,,,不明,,東京都,関東,03-6770-4013,上場,,,,ミニマムプラン,ミニマムプラン,スタンダード,あり,,,2026/01,2026/12,11,2019,,99：アーカイブ,saiyo25.com,独自ドメイン,個人名/その他,,○,
東邦電機工業株式会社,,,100～300人未満,07:100-300,不明,,神奈川県,関東,0462-51-1313,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/11,2026/10,11,2020,,99：アーカイブ,toho-elc.co.jp,独自ドメイン,採用専用,,○,
株式会社ティエム2,,,,,,,,,,,,,,スタンダード,スタンダード,スタンダード,,,,2026/02,2027/01,11,2020,,,tm2.co.jp,独自ドメイン,採用専用,,,
株式会社渥美モータース,,,,,,,静岡県,中部・北陸,0532-39-9911,,,,,スタンダード,スタンダード,スタンダード,,,,2026/02,2027/01,11,2020,,05：コンバート,atm-car.co.jp,独自ドメイン,採用専用,,○,
中部飼料株式会社,,,,,11～15名,4:11-15,,,080-8260-0389,上場,,,,ミドルプラン,ミドルプラン,ライトプラン700,あり,,,2026/01,2026/12,11,2020,,99：アーカイブ,chubushiryo.co.jp,独自ドメイン,採用専用,,○,
株式会社システムハウス．アイエヌジー,,,,,16～20名,5:16-20,神奈川県,関東,045-410-3221,,,,,ミニマムプラン,ミニマムプラン,スタンダード,あり,,,2026/01,2026/12,11,2020,,99：アーカイブ,s-ing.co.jp,独自ドメイン,採用専用,,○,
株式会社フレスタ,スーパーマーケット,流通・小売,,,6～10名,3:6-10,広島県,中国・四国,082-207-4000,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/11,2026/10,11,2020,マイナビ掲載リスト,99：アーカイブ,fresta.co.jp,独自ドメイン,採用専用,,○,
岐阜日産自動車株式会社,,,,,不明,,岐阜県,中部・北陸,058-245-1313,,,,,ミニマムプラン,ミニマムプラン,ライトプラン700,あり,,,2026/02,2027/01,11,2020,,99：アーカイブ,gifu-nissan.co.jp,独自ドメイン,個人名/その他,,○,
日鉄鉱業株式会社,鉱業,その他,500～1千人未満,09:500-1000,16～20名,5:16-20,東京都,関東,03-3284-0525,上場,,,,スタンダード,スタンダード,スタンダード,,,あり,2025/03,2026/02,11,2020,マイナビ掲載リスト,99：アーカイブ,nittetsukou.co.jp,独自ドメイン,人事・総務,,○,
株式会社山岸,ホームセンター,その他,,,16～20名,5:16-20,福井県,中部・北陸,0776-73-1015,,,,,スタンダード,スタンダード,スタンダード,,,,2026/02,2027/01,11,2020,マイナビ掲載リスト,99：アーカイブ,yamakishi.co.jp,独自ドメイン,個人名/その他,,○,
株式会社シモジマ,,,500～1千人未満,09:500-1000,不明,,東京都,関東,03-3864-0061,上場,,,,スタンダード,スタンダード,スタンダード,,,,2026/03,2027/02,11,2020,,99：アーカイブ,shimojima.co.jp,独自ドメイン,採用専用,,○,
キューアンドエー株式会社,,,,,不明,,宮城県,北海道・東北,022-292-0522,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/03,2027/02,11,2020,,99：アーカイブ,qag.jp,独自ドメイン,個人名/その他,,○,
伸和コントロールズ株式会社,精密機器,製造・メーカー,,,6～10名,3:6-10,大阪府,近畿,06-6227-1121,,,,,データ利用プラン,データ利用プラン,データ利用プラン,,,,2026/05,2027/04,11,2020,マイナビ掲載リスト,99：アーカイブ,shinwa-cont.com,独自ドメイン,個人名/その他,,○,
堀川産業株式会社,,,,,不明,,埼玉県,関東,048-925-1141,,,,,スタンダード,スタンダード,スタンダード,,,,2026/07,2027/06,11,2020,,99：アーカイブ,horikawasangyo.co.jp,独自ドメイン,人事・総務,,○,
医療法人錦秀会,,,,,不明,,大阪府,近畿,06-6692-1327,,,,,スタンダード,スタンダード,スタンダード,,,,2026/07,2027/06,11,2020,,99：アーカイブ,kinshukai.or.jp,独自ドメイン,採用専用,,○,
大同生命保険株式会社,生命保険,金融・保険,,,51～100名,8:51-100,大阪府,近畿,06-6447-6111,,,,,スタンダード,スタンダード,スタンダード,,,,2026/07,2027/06,11,2020,マイナビ掲載リスト,99：アーカイブ,daido-life.co.jp,独自ドメイン,採用専用,,○,
NDS株式会社,,,,,,,愛知県,中部・北陸,052-263-5041,,,,,スタンダード,スタンダード,スタンダード,,,,2025/08,2026/07,11,2020,,05：コンバート,nds-g.co.jp,独自ドメイン,採用専用,,○,
武田病院グループ,,,,,16～20名,5:16-20,京都府,近畿,075-561-6520,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/10,2026/09,11,2020,,05：コンバート,takedahp.or.jp,独自ドメイン,個人名/その他,あり,○,
社会福祉法人来島会,,,,,,,,,,,,,,データ利用プラン,データ利用プラン,ライト,あり,,,2025/11,2026/10,11,2020,,,kurushimakai.or.jp,独自ドメイン,採用専用,,,
株式会社ネオキャリア,人材派遣・人材紹介,人材・専門・公共サービス,2千～5千人未満,11:2000-5000,3～5名,2:3-5,東京都,関東,03-5908-8005,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/10,2026/09,11,2020,マイナビ掲載リスト,99：アーカイブ,neo-career.co.jp,独自ドメイン,採用専用,,○,
シーレックス株式会社,その他サービス（法人向け）,その他,300～500人未満,08:300-500,不明,,東京都,関東,03-3848-3131,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/11,2026/10,11,2020,,99：アーカイブ,sealex.com,独自ドメイン,個人名/その他,,○,
明治屋産業株式会社,,,500～1千人未満,09:500-1000,不明,,福岡県,九州・沖縄,092-432-9511,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/04,2027/03,11,2020,,99：アーカイブ,mj-sangyo.co.jp,独自ドメイン,人事・総務,,○,
DHLサプライチェーン株式会社,物流・倉庫,運輸・物流,,,26～30名,6:21-30,東京都,関東,03-5792-9134,,,,,スタンダード,スタンダード,スタンダード,,,,2025/11,2026/10,11,2020,マイナビ掲載リスト,99：アーカイブ,dhl.com,独自ドメイン,採用専用,,○,
ALSOK京滋株式会社,,,,,6～10名,3:6-10,京都府,近畿,075-361-5151,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/12,2026/11,11,2020,その他リスト,99：アーカイブ,alsok.co.jp,独自ドメイン,個人名/その他,,○,
株式会社ヤスナ設計工房,その他サービス（法人向け）,その他,100～300人未満,07:100-300,不明,,兵庫県,近畿,079-283-2255,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/01,2026/12,11,2020,,99：アーカイブ,yasna.co.jp,独自ドメイン,個人名/その他,,○,
株式会社サン電工社,電気工事,製造・メーカー,,,6～10名,3:6-10,福岡県,九州・沖縄,092-771-7641,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/01,2026/12,11,2020,マイナビ掲載リスト,99：アーカイブ,sandenko.co.jp,独自ドメイン,採用専用,,○,
両備ホールディングス株式会社,,,,,不明,,岡山県,中国・四国,086-232-2122,,,,,スタンダード,スタンダード,スタンダード,,,,2025/12,2026/11,11,2020,,99：アーカイブ,ryobi-holdings.jp,独自ドメイン,採用専用,あり,○,
株式会社IIJグローバルソリューションズ,,,,,不明,,,,7076059848,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/12,2026/11,11,2020,,99：アーカイブ,iijglobal.co.jp,独自ドメイン,個人名/その他,,○,
パーソルクロステクノロジー株式会社,情報提供サービス,その他,,,301名～,9:101+,東京都,関東,03-6370-6840,,,,,スタンダード,スタンダード,スタンダード,,,,2026/01,2026/12,11,2020,マイナビ掲載リスト,99：アーカイブ,persol.co.jp,独自ドメイン,個人名/その他,,○,
日本橋梁株式会社,建設・設備,建設・不動産,50～100人未満,06:50-100,不明,,兵庫県,近畿,078-771-5270,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/02,2027/01,11,2020,,99：アーカイブ,nihon-kyoryo.co.jp,独自ドメイン,個人名/その他,,○,
株式会社ゼニス,,,,,,,東京都,関東,0364576286,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/01,2026/12,11,2021,,05：コンバート,zenis-ze.co.jp,独自ドメイン,採用専用,あり,○,
エア・ウォーター・マッハ株式会社,タイヤ・ゴム製品,製造・メーカー,,,1～2名,1:1-2,長野県,中部・北陸,0263-78-5556,,,,,データ利用プラン,データ利用プラン,ライト,あり,,,2026/02,2027/01,11,2021,マイナビ掲載リスト,99：アーカイブ,awimach.com,独自ドメイン,採用専用,,○,
オリエンタル白石株式会社,建設・設備,建設・不動産,500～1千人未満,09:500-1000,26～30名,6:21-30,東京都,関東,03-6220-0630,上場,,,,スタンダード,スタンダード,スタンダード,,,,2026/01,2026/12,11,2021,マイナビ掲載リスト,99：アーカイブ,orsc.co.jp,独自ドメイン,採用専用,,○,
国際セーフティー株式会社,セキュリティ,IT・ソフトウェア,,,51～100名,8:51-100,大阪府,近畿,06-6351-5931,,,,,データ利用プラン,データ利用プラン,ライト,あり,,,2026/02,2027/01,11,2021,マイナビ掲載リスト,99：アーカイブ,kokusai-safety.co.jp,独自ドメイン,採用専用,,○,
株式会社イガラシ,商社（その他製品）,商社・卸,50～100人未満,06:50-100,3～5名,2:3-5,福井県,中部・北陸,0776-56-4147,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/02,2027/01,11,2021,マイナビ掲載リスト,99：アーカイブ,igarashi-ltd.com,独自ドメイン,採用専用,,○,
イオンペット株式会社,その他サービス（個人向け）,その他,2千～5千人未満,11:2000-5000,,,千葉県,関東,047-700-2820,,,,,スタンダード,スタンダード,スタンダード,,,,2026/02,2027/01,11,2021,,05：コンバート,aeonpet.co.jp,独自ドメイン,採用専用,,○,
ホーメックス株式会社,環境・リサイクル,公共インフラ・エネルギー,,,6～10名,3:6-10,愛知県,中部・北陸,0565-33-2468,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/03,2027/02,11,2021,マイナビ掲載リスト,99：アーカイブ,homex-co.com,独自ドメイン,個人名/その他,,○,
株式会社ニッセーデリカ,食品,製造・メーカー,,,31～35名,7:31-50,東京都,関東,03-3253-6411,,,,,ミニマムプラン,ミニマムプラン,ライトプラン500,あり,,,2026/02,2027/01,11,2021,マイナビ掲載リスト,99：アーカイブ,nisseydelica.co.jp,独自ドメイン,採用専用,,○,
カネ井青果株式会社,青果仲卸売り,商社・卸,,,6～10名,3:6-10,愛知県,中部・北陸,052-903-3020,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/02,2027/01,11,2021,マイナビ掲載リスト,99：アーカイブ,kanei-seika.co.jp,独自ドメイン,個人名/その他,,○,
株式会社魚国総本社,給食・デリカ・フードビジネス,外食・サービス・レジャー,,,16～20名,5:16-20,大阪府,近畿,06-6478-5700,,1953,73,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/02,2027/01,11,2021,マイナビ掲載リスト,99：アーカイブ,uokuni-s.co.jp,独自ドメイン,個人名/その他,,○,○
株式会社N2i,,,,,不明,,,,527469238,,,,,スタンダード,スタンダード,,,,,,,,2021,,99：アーカイブ,n2i.jp,独自ドメイン,代表窓口,,○,
株式会社オーハシテクニカ,,,,,6～10名,3:6-10,東京都,関東,0354044410,上場,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/02,2027/01,11,2021,,05：コンバート,ohashi.co.jp,独自ドメイン,採用専用,,○,
東北パイオニア株式会社,家電・ＡＶ機器,その他,300～500人未満,08:300-500,6～10名,3:6-10,山形県,北海道・東北,023-654-9105,,,,,データ利用プラン,データ利用プラン,ライト,あり,,,2026/03,2027/02,11,2021,マイナビ掲載リスト,99：アーカイブ,post.pioneer.co.jp,独自ドメイン,人事・総務,,○,
社会福祉法人信々会,,,,,,,広島県,中国・四国,0825553001,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/03,2027/02,11,2021,,05：コンバート,midorii.jp,独自ドメイン,代表窓口,,○,
アルプス中央信用金庫,金融・保険,金融・保険,100～300人未満,07:100-300,,,長野県,中部・北陸,0265-72-4171,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/03,2027/02,11,2021,,05：コンバート,alushin.co.jp,独自ドメイン,人事・総務,,○,
学校法人湘南やまゆり学園,その他,その他,100～300人未満,07:100-300,,,神奈川県,関東,0467-85-2146,,,,,データ利用プラン,データ利用プラン,ライト,あり,,,2026/03,2027/02,11,2021,,05：コンバート,friend.ocn.ne.jp,独自ドメイン,個人名/その他,,○,
株式会社コンシェルジュ,流通・小売・物販,流通・小売,300～500人未満,08:300-500,,,大阪府,近畿,0725-53-5428,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/03,2027/02,11,2021,,05：コンバート,izumi.coop,独自ドメイン,代表窓口,,○,
アイスター株式会社,,,,,不明,,大阪府,近畿,06-6268-2222,,,,,スタンダード,スタンダード,スタンダード,,,,2026/03,2027/02,11,2021,,99：アーカイブ,i-star.co.jp,独自ドメイン,採用専用,,○,
アサヒレジャー株式会社,専門店（その他小売）,流通・小売,100～300人未満,07:100-300,6～10名,3:6-10,三重県,近畿,0598-53-0091,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/04,2027/03,11,2021,マイナビ掲載リスト,99：アーカイブ,fishing-you.com,独自ドメイン,人事・総務,,○,
株式会社キング観光,その他サービス（個人向け）,その他,300～500人未満,08:300-500,不明,,三重県,近畿,0594-23-8200,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/04,2027/03,11,2021,,99：アーカイブ,m-king.co.jp,独自ドメイン,人事・総務,,○,
社会福祉法人岡山千鳥福祉会,その他,その他,100～300人未満,07:100-300,,,岡山県,中国・四国,086-281-6631,,,,,データ利用プラン,データ利用プラン,データ利用プラン,,,,2026/04,2027/03,11,2021,,05：コンバート,shakkou.co.jp,独自ドメイン,個人名/その他,,○,
株式会社バッファロー,コンピュータ・通信機器,公共インフラ・エネルギー,,,26～30名,6:21-30,,,050-5830-8866,上場,,,,データ利用プラン,データ利用プラン,データ利用プラン,,,,2026/04,2027/03,11,2021,マイナビ掲載リスト,99：アーカイブ,buffalo.co.jp,独自ドメイン,採用専用,,○,○
東映シーエム株式会社,,,,,,,東京都,関東,03-3542-1811,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/04,2027/03,11,2021,,05：コンバート,toei-cm.co.jp,独自ドメイン,採用専用,,○,
株式会社轟組,不動産・建設・設備,建設・不動産,100～300人未満,07:100-300,,,徳島県,中国・四国,088-834-1011,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/04,2027/03,11,2021,,05：コンバート,todoroki.co.jp,独自ドメイン,個人名/その他,,○,
株式会社山陰中央新報社,マスコミ・広告・デザイン,マスコミ・広告・印刷,300～500人未満,08:300-500,,,島根県,中国・四国,0852-32-3436,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/04,2027/03,11,2021,,05：コンバート,sanin-chuo.co.jp,独自ドメイン,採用専用,,○,
鴻池メディカル株式会社,メーカー（素材・食品・医薬品他),製造・メーカー,300～500人未満,08:300-500,,,東京都,関東,03-3580-3860,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/04,2027/03,11,2021,,05：コンバート,konoike-medical.co.jp,独自ドメイン,個人名/その他,,○,
株式会社スーパー・コート,福祉・介護,医療・介護・福祉,,,26～30名,6:21-30,大阪府,近畿,06-6543-2291,,,,,スタンダード,スタンダード,スタンダード,,,,2026/05,2027/04,11,2021,,99：アーカイブ,supercourt.co.jp,独自ドメイン,採用専用,,○,
郡リース株式会社,建設・設備,建設・不動産,,,不明,,,,070-1539-8444,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/06,2027/05,11,2021,,99：アーカイブ,kohri.co.jp,独自ドメイン,採用専用,,○,
株式会社あかりホールディングス,,,,,,,,,,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/05,2027/04,11,2021,,,pa-re.co.jp,独自ドメイン,個人名/その他,,,
株式会社ネオキャリア,人材派遣・人材紹介,人材・専門・公共サービス,2千～5千人未満,11:2000-5000,3～5名,2:3-5,東京都,関東,03-5908-8005,,,,,スタンダード,スタンダード,,,,,2024/11,2025/10,11,2021,マイナビ掲載リスト,99：アーカイブ,mochica.jp,独自ドメイン,個人名/その他,あり,○,
丸彦渡辺建設株式会社,建設・設備,建設・不動産,300～500人未満,08:300-500,6～10名,3:6-10,北海道,北海道・東北,011-842-9583,,1948,78,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/06,2027/05,11,2021,マイナビ掲載リスト,99：アーカイブ,maruhiko.co.jp,独自ドメイン,人事・総務,,○,○
nmsエンジニアリング株式会社,,,,,不明,,大阪府,近畿,06-6195-2705,,,,,スタンダード,スタンダード,スタンダード,,,,2025/08,2026/07,11,2021,,99：アーカイブ,eng.n-ms.co.jp,独自ドメイン,個人名/その他,,○,
株式会社タカヤ,電気機械器具生産/卸売り,製造・メーカー,300～500人未満,08:300-500,16～20名,5:16-20,岡山県,中国・四国,0866-62-2015,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/07,2027/06,11,2021,マイナビ掲載リスト,99：アーカイブ,takaya-net.co.jp,独自ドメイン,個人名/その他,,○,
医療法人和光会,,,,,,,,,,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/07,2027/06,11,2021,,,wakokai.or.jp,独自ドメイン,個人名/その他,,,
スズキ岡山販売株式会社,その他サービス（個人向け）,その他,100～300人未満,07:100-300,,,岡山県,中国・四国,086-292-3512,,,,,データ利用プラン,データ利用プラン,ライト,あり,,,2025/08,2026/07,11,2021,,05：コンバート,s-okayama.sdr.suzuki,独自ドメイン,採用専用,,○,
株式会社ヤスサキ,スーパーマーケット,流通・小売,,,6～10名,3:6-10,福井県,中部・北陸,0776-52-8111,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/08,2026/07,11,2021,マイナビ掲載リスト,99：アーカイブ,yasusaki.jp,独自ドメイン,人事・総務,,○,
株式会社ヒューマンアイズ,人材派遣・人材紹介,人材・専門・公共サービス,,,6～10名,3:6-10,香川県,中国・四国,087-814-5091,,,,,ミニマムプラン,ミニマムプラン,ライトプラン700,あり,,,2025/09,2026/08,11,2021,マイナビ掲載リスト,99：アーカイブ,humaneyes.co.jp,独自ドメイン,個人名/その他,,○,
東京リスマチック株式会社,,,,,6～10名,3:6-10,東京都,関東,03-6853-6171,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/09,2026/08,11,2021,,99：アーカイブ,lithmatic.co.jp,独自ドメイン,採用専用,,○,
株式会社中央設計技術研究所,コンサルティング,人材・専門・公共サービス,100～300人未満,07:100-300,,,石川県,中部・北陸,076-263-6464,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/09,2026/08,11,2021,,05：コンバート,cser.co.jp,独自ドメイン,採用専用,,○,
NDSソリューション株式会社,不動産・建設・設備,建設・不動産,300～500人未満,08:300-500,,,愛知県,中部・北陸,052-249-2113,,,,,スタンダード,スタンダード,スタンダード,,,,2025/09,2026/08,11,2021,,05：コンバート,nsol.co.jp,独自ドメイン,採用専用,,○,
一村産業株式会社,商社,商社・卸,100～300人未満,07:100-300,,,大阪府,近畿,06-6229-6300,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/11,2026/10,11,2021,,05：コンバート,ima-ichimura.jp,独自ドメイン,採用専用,,○,
株式会社本久,外食・フードサービス,外食・サービス・レジャー,500～1千人未満,09:500-1000,不明,,長野県,中部・北陸,026-217-1515,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/10,2026/09,11,2021,,99：アーカイブ,motoq.co.jp,独自ドメイン,採用専用,,○,
島津システムソリューションズ株式会社,プラント・エンジニアリング,製造・メーカー,,,3～5名,2:3-5,京都府,近畿,075-823-2830,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/11,2026/10,11,2021,マイナビ掲載リスト,99：アーカイブ,sss.shimadzu.co.jp,独自ドメイン,採用専用,,○,
株式会社アクティブライフ,福祉サービス,医療・介護・福祉,300～500人未満,08:300-500,16～20名,5:16-20,大阪府,近畿,06-6264-3620,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/11,2026/10,11,2021,マイナビ掲載リスト,99：アーカイブ,activelife.co.jp,独自ドメイン,個人名/その他,,○,
株式会社プレサンス,,,,,,,,,,,,,,スタンダード,スタンダード,スタンダード,,,,2025/11,2026/10,11,2021,,,pressance.co.jp,独自ドメイン,人事・総務,,,
株式会社明光ネットワークジャパン,,,500～1千人未満,09:500-1000,3～5名,2:3-5,東京都,関東,03-5332-7090,上場,,,,スタンダード,スタンダード,スタンダード,,,,2025/12,2026/11,11,2021,,99：アーカイブ,meikonetwork.jp,独自ドメイン,採用専用,,○,
日産株式会社,商社,商社・卸,50～100人未満,06:50-100,不明,,愛知県,中部・北陸,0561-82-8101,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/02,2027/01,11,2021,,99：アーカイブ,nissan23.ne.jp,独自ドメイン,個人名/その他,,○,
日本赤十字社,介護・保育・医療法人等,医療・介護・福祉,1万人～,13:10000+,51～100名,8:51-100,長野県,中部・北陸,026-226-2073,,,,,スタンダード,スタンダード,スタンダード,,,,2026/01,2026/12,11,2021,,99：アーカイブ,ishinomaki.jrc.or.jp,独自ドメイン,個人名/その他,あり,○,
AIAI Child Care株式会社,,,,,,,大阪府,近畿,06-6121-2609,,,,,スタンダード,スタンダード,スタンダード,,,,2026/01,2026/12,11,2021,,99：アーカイブ,aiai-group.co.jp,独自ドメイン,採用専用,,○,
株式会社カインズ,流通・小売・物販,流通・小売,2千～5千人未満,11:2000-5000,,,埼玉県,関東,0495-88-7111,,,,,ミニマムプラン,スタンダード,スタンダード,,あり,,2026/02,2027/01,11,2021,,05：コンバート,cainz.co.jp,独自ドメイン,個人名/その他,,○,
Ｐ・Ｏ・Ｐホールディングス株式会社,,,,,6～10名,3:6-10,岡山県,中国・四国,086-261-2100,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/01,2026/12,11,2021,,05：コンバート,pop-hd.co.jp,独自ドメイン,個人名/その他,,○,
株式会社島根銀行,銀行（地銀）,金融・保険,300～500人未満,08:300-500,21～25名,6:21-30,島根県,中国・四国,0852-24-1234,上場,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/01,2026/12,11,2022,マイナビ掲載リスト,99：アーカイブ,shimagin.co.jp,独自ドメイン,人事・総務,,○,
フィールズ株式会社,,,,,不明,,,,0120-001-450,,,,,スタンダード,スタンダード,スタンダード,,,,2026/02,2027/01,11,2022,,99：アーカイブ,fields.biz,独自ドメイン,採用専用,,○,
