企業名,法人番号,採用担当者名,役職,部署,代表者名,メール,メール確度,担当者確度,電話番号,公式URL,Tier,取得元媒体,根拠URL,架電呼称,業種,都道府県,従業員数,補助金,設立年,取得日
日本コンセントリクス株式会社,,,,,,info@cao.go.jp,0.4,,03-5253-2111,https://www.cao.go.jp/,D,非公開,https://www.cao.go.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:08:43.977Z
TOPPANコミュニケーションプロダクツ株式会社,,,,,,,0,,048-482-4602,https://www.toppan-c.co.jp/,D,非公開,https://www.toppan-c.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:08:47.660Z
NECソリューションイノベータ株式会社,,,,,,info@nec-lavie.jp,0.4,,0120-944-035,https://www.nec-lavie.jp/,D,非公開,https://www.nec-lavie.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:08:50.120Z
日本情報産業株式会社,,,,,,info@cao.go.jp,0.4,,03-5253-2111,https://www.cao.go.jp/,D,非公開,https://www.cao.go.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:08:51.701Z
NECネッツエスアイ株式会社,,,,,,info@nec-lavie.jp,0.4,,0120-944-035,https://www.nec-lavie.jp/,D,非公開,https://www.nec-lavie.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:08:52.034Z
Sansan株式会社,,,,,,info@jp.sansan.com,0.4,,080-0100-9933,https://jp.sansan.com/,D,非公開,https://jp.sansan.com/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:21:00.229Z
株式会社KSK,,,,,,info@ksk.co.jp,0.4,,042-378-1131,https://www.ksk.co.jp/,D,非公開,https://www.ksk.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:21:52.575Z
株式会社日立システムズ,,,,,,info@hitachi-systems.com,0.4,,03-5435-7777,https://www.hitachi-systems.com/,D,非公開,https://www.hitachi-systems.com/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:21:52.995Z
CTCテクノロジー株式会社,,,,,,info@ctc-g.co.jp,0.4,,03-6403-6000,https://www.ctc-g.co.jp/,D,正規表現抽出,https://www.ctc-g.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:21:53.335Z
Sky株式会社,,,,,,info@skygroup.jp,0.4,,06-6453-0221,https://www.skygroup.jp/,D,非公開,https://www.skygroup.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:21:54.853Z
ダイワボウ情報システム株式会社,,,,,,info@pc-daiwabo.co.jp,0.4,,0120-082-681,https://www.pc-daiwabo.co.jp/,D,正規表現抽出,https://www.pc-daiwabo.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:21:55.311Z
京セラドキュメントソリューションズ株式会社,,,,,,,0,,0570046562,https://www.kyoceradocumentsolutions.co.jp/,D,非公開,https://www.kyoceradocumentsolutions.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:21:55.360Z
株式会社キーエンス,,,,,,info@keyence.co.jp,0.4,,0120-100-470,https://www.keyence.co.jp/,D,非公開,https://www.keyence.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:21:55.731Z
日本システム技術株式会社,,,,,,info@cao.go.jp,0.4,,03-5253-2111,https://www.cao.go.jp/,D,非公開,https://www.cao.go.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:21:56.948Z
日本情報通信株式会社,,,,,,info@cao.go.jp,0.4,,03-5253-2111,https://www.cao.go.jp/,D,非公開,https://www.cao.go.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:21:57.174Z
パーソルAVCテクノロジー株式会社,,,,,,info@chicken-golf.com,0.4,,0120-988-412,https://chicken-golf.com/,D,非公開,https://chicken-golf.com/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:21:57.982Z
アイテック阪急阪神株式会社,,,,,,info@itec.co.jp,0.4,,03-6877-6312,https://www.itec.co.jp/,D,非公開,https://www.itec.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:21:58.813Z
NCS&A株式会社,,,,,,info@ncsol.co.jp,0.4,,0120-889-365,https://www.ncsol.co.jp/,D,非公開,https://www.ncsol.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:21:59.081Z
株式会社ロココ,,,,,,info@rococoweb.co.jp,0.4,,06-4708-6316,https://rococoweb.co.jp/,D,非公開,https://rococoweb.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:00.585Z
フェンリル株式会社,,,,,,info@fenrir-inc.com,0.4,,06-6377-7606,https://www.fenrir-inc.com/,D,正規表現抽出,https://www.fenrir-inc.com/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:02.478Z
ノバシステム株式会社,,,,,,info@nova-system.com,0.4,,03-5545-5123,https://www.nova-system.com/,D,正規表現抽出,https://www.nova-system.com/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:02.931Z
株式会社ジェイテック,,,,,,info@j-tec.co.jp,0.4,,072-655-2785,https://www.j-tec.co.jp/,D,非公開,https://www.j-tec.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:04.042Z
NRIネットコム株式会社,,,,,,info@nri.com,0.4,,03-5877-7100,https://www.nri.com/en/,D,非公開,https://www.nri.com/en/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:04.455Z
日本コンピューターサイエンス株式会社,,,,,,info@cao.go.jp,0.4,,03-5253-2111,https://www.cao.go.jp/,D,非公開,https://www.cao.go.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:05.514Z
日本ICS株式会社,,,,,,info@cao.go.jp,0.4,,03-5253-2111,https://www.cao.go.jp/,D,非公開,https://www.cao.go.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:05.873Z
日鉄ソリューションズ関西株式会社,,,,,,info@nipponsteel.com,0.4,,03-6867-2242,https://www.nipponsteel.com/,D,非公開,https://www.nipponsteel.com/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:06.184Z
帝人株式会社,,,,,,info@teijin.co.jp,0.4,,03-3506-4529,https://www.teijin.co.jp/,D,非公開,https://www.teijin.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:07.583Z
テス・エンジニアリング株式会社,,,,,,info@tess-hd.co.jp,0.4,,06-6308-2794,https://www.tess-hd.co.jp/,D,非公開,https://www.tess-hd.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:07.729Z
大和冷機工業株式会社,,,,,,info@daiwa-dp.co.jp,0.4,,076-220-1111,https://www.daiwa-dp.co.jp/,D,非公開,https://www.daiwa-dp.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:09.290Z
中西金属株式会社,,,,,,info@nakanishi.co.jp,0.4,,06-6791-1111,https://www.nakanishi.co.jp/,D,非公開,https://www.nakanishi.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:09.319Z
東洋アルミニウム株式会社,,,,,,info@toyo.ac.jp,0.4,,03-3945-8172,https://www.toyo.ac.jp/,D,非公開,https://www.toyo.ac.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:09.493Z
和田精密歯研株式会社,,,,,,info@wadamiya.jp,0.4,,078-652-1551,https://www.wadamiya.jp/,D,非公開,https://www.wadamiya.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:10.669Z
日本精線株式会社,,,,,,info@cao.go.jp,0.4,,03-5253-2111,https://www.cao.go.jp/,D,非公開,https://www.cao.go.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:10.762Z
コンピューターマネージメント株式会社,,,,,,info@mouse-jp.co.jp,0.4,,03-6636-4321,https://www.mouse-jp.co.jp/,D,正規表現抽出,https://www.mouse-jp.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:11.554Z
瑞光株式会社,,,,,,,0,,06-6226-7539,https://zuikou.net/,D,非公開,https://zuikou.net/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:11.879Z
大同DMソリューション株式会社,,,,,,info@daido.co.jp,0.4,,0120-170-030,https://www.daido.co.jp/,D,非公開,https://www.daido.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:12.615Z
ハート封筒株式会社,,,,,,info@heart-group.co.jp,0.4,,06-6945-1029,https://www.heart-group.co.jp/,D,非公開,https://www.heart-group.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:13.145Z
大阪ガスケミカル株式会社,,,,,,info@osaka-info.jp,0.4,,06-6131-4550,https://osaka-info.jp/,D,非公開,https://osaka-info.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:14.110Z
信和株式会社,,,,,,info@shinwa-hp.co.jp,0.4,,06-6443-3430,https://www.shinwa-hp.co.jp/,D,非公開,https://www.shinwa-hp.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:15.127Z
八州電工株式会社,,,,,,info@yashimadenko.co.jp,0.4,,06-6222-3234,https://www.yashimadenko.co.jp/,D,非公開,https://www.yashimadenko.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:16.227Z
モリテックスチール株式会社,,,,,,info@doramori.co.jp,0.4,,0946-21-0008,https://www.doramori.co.jp/,D,非公開,https://www.doramori.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:18.000Z
日本ハム株式会社,,,,,,info@cao.go.jp,0.4,,03-5253-2111,https://www.cao.go.jp/,D,非公開,https://www.cao.go.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:18.368Z
ジェイ-ワイテックス株式会社,,,,,,info@js-educe.co.jp,0.4,,0120-551-918,https://www.js-educe.co.jp/,D,非公開,https://www.js-educe.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:18.784Z
環境設計株式会社,,,,,,info@env.go.jp,0.4,,03-3581-3351,https://www.env.go.jp/,D,正規表現抽出,https://www.env.go.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:20.069Z
エア・ウォーター株式会社,,,,,,info@awi.co.jp,0.4,,06-6252-5411,https://www.awi.co.jp/ja/index.html,D,非公開,https://www.awi.co.jp/ja/index.html,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:20.077Z
テスホールディングス株式会社,,,,,,info@tess-hd.co.jp,0.4,,06-6308-2794,https://www.tess-hd.co.jp/,D,非公開,https://www.tess-hd.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:20.266Z
日本ガスエンジニアリング株式会社,,,,,,info@cao.go.jp,0.4,,03-5253-2111,https://www.cao.go.jp/,D,非公開,https://www.cao.go.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:20.786Z
日本ガス工業株式会社,,,,,,info@cao.go.jp,0.4,,03-5253-2111,https://www.cao.go.jp/,D,非公開,https://www.cao.go.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:21.507Z
大和熔材株式会社,,,,,,info@daiwa-dp.co.jp,0.4,,076-220-1111,https://www.daiwa-dp.co.jp/,D,非公開,https://www.daiwa-dp.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:21.728Z
アバンテ都島株式会社,,,,,,info@abante.co.jp,0.4,,072-338-5858,https://www.abante.co.jp/,D,非公開,https://www.abante.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:21.772Z
河内長野ガス株式会社,,,,,,info@city.kawachinagano.lg.jp,0.4,,0721-53-1111,https://www.city.kawachinagano.lg.jp/,D,非公開,https://www.city.kawachinagano.lg.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:23.671Z
伸和工業株式会社,,,,,,info@napsinwa.co.jp,0.4,,077-587-2056,http://www.napsinwa.co.jp/,D,非公開,http://www.napsinwa.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:23.675Z
浪速酸素株式会社,,,,,,info@naniwa.ed.jp,0.4,,06-6693-4031,https://www.naniwa.ed.jp/,D,非公開,https://www.naniwa.ed.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:23.905Z
ガスワークオカゲ株式会社,,,,,,info@nichigas.co.jp,0.4,,0120-428-057,https://www.nichigas.co.jp/,D,非公開,https://www.nichigas.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:24.782Z
大丸エナウィン株式会社,,,,,,info@daimaru.co.jp,0.4,,050-1781-0000,https://www.daimaru.co.jp/,D,非公開,https://www.daimaru.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:25.525Z
大阪ニッタン株式会社,,,,,,info@osaka-info.jp,0.4,,06-6131-4550,https://osaka-info.jp/,D,非公開,https://osaka-info.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:25.745Z
岩谷瓦斯株式会社,,,,,,,0,,06-6530-1011,https://www.iwatanigas.co.jp/,D,非公開,https://www.iwatanigas.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:26.441Z
大阪瓦斯株式会社,,,,,,info@osaka-info.jp,0.4,,06-6131-4550,https://osaka-info.jp/,D,非公開,https://osaka-info.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:27.176Z
大阪ガスリキッド株式会社,,,,,,info@osaka-info.jp,0.4,,06-6131-4550,https://osaka-info.jp/,D,非公開,https://osaka-info.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:27.399Z
サカタウエアハウス株式会社,,,,,,info@sakataseed.co.jp,0.4,,045-945-8800,https://www.sakataseed.co.jp/,D,非公開,https://www.sakataseed.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:28.235Z
エヌ・エス・シー株式会社,,,,,,info@16ku.jp,0.4,,0120-301-116,https://www.16ku.jp/,D,非公開,https://www.16ku.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:30.863Z
CDS株式会社,,,,,,info@cds-japan.jp,0.4,,052-587-5410,https://www.cds-japan.jp/ja/,D,非公開,https://www.cds-japan.jp/ja/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:30.899Z
アビームシステムズ株式会社,,,,,,info@abbey2007.com,0.4,,03-5774-5774,https://www.abbey2007.com/,D,正規表現抽出,https://www.abbey2007.com/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:31.316Z
トーテックアメニティ株式会社,,,,,,info@jp.toto.com,0.4,,0120-101-005,https://jp.toto.com/,D,非公開,https://jp.toto.com/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:32.770Z
NDSソリューション株式会社,,,,,,info@iibf.org.in,0.4,,080-6926-0710,https://iibf.org.in/,D,非公開,https://iibf.org.in/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:33.108Z
MHIエアロスペースシステムズ株式会社,,,,,,info@mhint.jp,0.4,,03-3371-1481,https://www.mhint.jp/,D,非公開,https://www.mhint.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:33.239Z
日本インフォメーション株式会社,,,,,,info@cao.go.jp,0.4,,03-5253-2111,https://www.cao.go.jp/,D,非公開,https://www.cao.go.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:34.237Z
日本エコシステム株式会社,,,,,,info@cao.go.jp,0.4,,03-5253-2111,https://www.cao.go.jp/,D,非公開,https://www.cao.go.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:34.709Z
テクノホライゾン株式会社,,,,,,info@techno-d.jp,0.4,,096-287-4400,https://www.techno-d.jp/,D,非公開,https://www.techno-d.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:34.726Z
名古屋電機工業株式会社,,,,,,info@nagoya-info.jp,0.4,,052-202-1145,https://www.nagoya-info.jp/,D,非公開,https://www.nagoya-info.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:35.037Z
サン電子株式会社,,,,,,info@sun-gp.jp,0.4,,0944-87-0393,https://www.sun-gp.jp/,D,非公開,https://www.sun-gp.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:35.798Z
東洋電機株式会社,,,,,,info@toyo.ac.jp,0.4,,03-3945-8172,https://www.toyo.ac.jp/,D,非公開,https://www.toyo.ac.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:36.209Z
名古屋中小企業投資育成株式会社,,,,,,info@nagoya-info.jp,0.4,,052-202-1145,https://www.nagoya-info.jp/,D,非公開,https://www.nagoya-info.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:36.488Z
Qsol株式会社,,,,,,info@qsolcorp.co.jp,0.4,,092-781-9671,https://www.qsolcorp.co.jp/,D,非公開,https://www.qsolcorp.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:38.132Z
メディカル・データ・ビジョン株式会社,,,,,,info@medicalonline.jp,0.4,,03-5577-5877,https://www.medicalonline.jp/,D,非公開,https://www.medicalonline.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:38.954Z
日鉄ソリューションズ九州株式会社,,,,,,info@nipponsteel.com,0.4,,03-6867-2242,https://www.nipponsteel.com/,D,非公開,https://www.nipponsteel.com/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:39.258Z
首都高速道路株式会社,,,,,,,0,,03-5321-1111,https://www.metro.tokyo.lg.jp/,D,正規表現抽出,https://www.metro.tokyo.lg.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:39.866Z
応研株式会社,,,,,,info@ohken.co.jp,0.4,,03-3299-0789,https://www.ohken.co.jp/,D,非公開,https://www.ohken.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:40.331Z
TOTOインフォム株式会社,,,,,,info@jp.toto.com,0.4,,0120-101-005,https://jp.toto.com/,D,非公開,https://jp.toto.com/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:42.203Z
TIS西日本株式会社,,,,,,info@tis.co.jp,0.4,,080-0600-9810,https://www.tis.co.jp/,D,非公開,https://www.tis.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:42.218Z
安川メカトレック末松九機株式会社,,,,,,info@yaskawa.co.jp,0.4,,0120-502-495,https://www.yaskawa.co.jp/,D,非公開,https://www.yaskawa.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:42.493Z
日本コンピューター株式会社,,,,,,info@cao.go.jp,0.4,,03-5253-2111,https://www.cao.go.jp/,D,非公開,https://www.cao.go.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:43.665Z
久留米情報システム株式会社,,,,,,info@city.kurume.fukuoka.jp,0.4,,0942-30-9000,https://www.city.kurume.fukuoka.jp/,D,非公開,https://www.city.kurume.fukuoka.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:43.895Z
アイコムソフト株式会社,,,,,,info@icom.co.jp,0.4,,0120-156-313,https://www.icom.co.jp/,D,非公開,https://www.icom.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:44.405Z
日本足袋株式会社,,,,,,info@cao.go.jp,0.4,,03-5253-2111,https://www.cao.go.jp/,D,非公開,https://www.cao.go.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:45.717Z
スウィフト・エックスアイ株式会社,,,,,,info@suzuki.co.jp,0.4,,0120-402-253,https://www.suzuki.co.jp/,D,非公開,https://www.suzuki.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:45.890Z
埼玉高速鉄道株式会社,,,,,,info@pref.saitama.lg.jp,0.4,,048-830-8151,https://www.pref.saitama.lg.jp/,D,非公開,https://www.pref.saitama.lg.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:47.980Z
首都圏新都市鉄道株式会社,,,,,,,0,,03-5321-1111,https://www.metro.tokyo.lg.jp/,D,正規表現抽出,https://www.metro.tokyo.lg.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:48.391Z
ネットイーグル株式会社,,,,,,info@thrillophilia.com,0.4,,0123-45-6789,https://www.thrillophilia.com/,D,非公開,https://www.thrillophilia.com/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:48.395Z
東京地下鉄株式会社,,,,,,,0,,03-5321-1111,https://www.metro.tokyo.lg.jp/,D,正規表現抽出,https://www.metro.tokyo.lg.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:49.361Z
株式会社ミウラ,,,,,,info@miura1.co.jp,0.4,,0248-86-2662,https://www.miura1.co.jp/,D,非公開,https://www.miura1.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:50.157Z
東北リゾートサービス株式会社,,,,,,,0,,022-721-1291,https://www.tohokukanko.jp/,D,非公開,https://www.tohokukanko.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:51.721Z
理研産業株式会社,,,,,,info@riken.jp,0.4,,048-462-1111,https://www.riken.jp/,D,正規表現抽出,https://www.riken.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:51.748Z
福山エビス印刷株式会社,,,,,,info@city.fukuyama.hiroshima.jp,0.4,,084-921-2111,https://www.city.fukuyama.hiroshima.jp/,D,非公開,https://www.city.fukuyama.hiroshima.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:53.242Z
株式会社ネットワークシステム,,,,,,info@nwsh.co.jp,0.4,,082-276-4441,https://www.nwsh.co.jp/,D,非公開,https://www.nwsh.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:53.383Z
新川電機株式会社,,,,,,info@shinkawa.co.jp,0.4,,01-2345-6789,https://www.shinkawa.co.jp/,D,非公開,https://www.shinkawa.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:54.055Z
島田瓦斯株式会社,,,,,,,0,,0547-37-5111,https://www.city.shimada.shizuoka.jp/,D,非公開,https://www.city.shimada.shizuoka.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:55.327Z
公益社団法人静岡県観光協会,,,,,,info@koekisha.co.jp,0.4,,0120-888-627,https://www.koekisha.co.jp/,D,非公開,https://www.koekisha.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:55.661Z
株式会社メビウス,,,,,,info@mob.co.jp,0.4,,025-242-3123,https://www.mob.co.jp/,D,非公開,https://www.mob.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:55.668Z
株式会社プロテック,,,,,,info@pro-110-119.jp,0.4,,084-943-6444,https://www.pro-110-119.jp/,D,正規表現抽出,https://www.pro-110-119.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:56.075Z
新潟通信機株式会社,,,,,,info@pref.niigata.lg.jp,0.4,,025-285-5511,https://www.pref.niigata.lg.jp/,D,非公開,https://www.pref.niigata.lg.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:57.352Z
株式会社トラスト,,,,,,info@trust-ltd.co.jp,0.4,,052-219-9058,https://www.trust-ltd.co.jp/,D,非公開,https://www.trust-ltd.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:58.123Z
ソリマチ株式会社,,,,,,info@sorimachi.co.jp,0.4,,03-6773-7530,https://sorimachi.co.jp/,D,非公開,https://sorimachi.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:59.422Z
インネット株式会社,,,,,,info@toyoko-inn.com,0.4,,03-3731-4545,https://www.toyoko-inn.com/,D,非公開,https://www.toyoko-inn.com/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:22:59.695Z
CEC新潟情報サービス株式会社,,,,,,info@cec-ltd.co.jp,0.4,,03-5789-2441,https://www.cec-ltd.co.jp/,D,非公開,https://www.cec-ltd.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:23:00.906Z
ウォーターセル株式会社,,,,,,info@premium-water.net,0.4,,0120-062-032,https://premium-water.net/,D,非公開,https://premium-water.net/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:23:01.920Z
株式会社フジテック,,,,,,info@fujitec.co.jp,0.4,,0120-807-922,https://www.fujitec.co.jp/,D,非公開,https://www.fujitec.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:23:02.782Z
株式会社アイテック,,,,,,info@itec.co.jp,0.4,,03-6877-6312,https://www.itec.co.jp/,D,非公開,https://www.itec.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:23:03.664Z
自治体・学校法人,,,,,,info@jichi.ac.jp,0.4,,0285-44-2111,https://www.jichi.ac.jp/,D,非公開,https://www.jichi.ac.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:23:05.028Z
